game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
661051,2022-08-21,3.6667,2,2,0,3,2,4.91,0.55,7.36,0.0,4.91,0.0,2.3333,2,3,4,4,0,11.57,2.57,15.43,1.0,0.0,15.43
661239,2022-08-21,3.0,2,1,3,1,0,3.0,1.67,3.0,0.33,0.0,9.0,2.0,2,2,0,4,1,9.0,1.0,18.0,0.0,4.5,0.0
661480,2022-08-21,3.0,5,2,2,3,0,6.0,2.33,9.0,1.5,0.0,6.0,2.0,2,2,0,3,0,9.0,1.0,13.5,0.0,0.0,0.0
661602,2022-08-21,4.6667,8,6,2,6,3,11.57,2.14,11.57,3.0,5.79,3.86,5.0,5,2,3,2,1,3.6,1.6,3.6,0.67,1.8,5.4
661652,2022-08-21,2.6667,9,4,0,4,1,13.5,3.37,13.5,0.0,3.37,0.0,3.0,0,0,0,5,0,0.0,0.0,15.0,0.0,0.0,0.0
661860,2022-08-21,4.6667,1,0,2,5,0,0.0,0.64,9.64,2.5,0.0,3.86,4.0,4,1,1,3,0,2.25,1.25,6.75,3.0,0.0,2.25
662179,2022-08-21,2.0,2,0,0,2,0,0.0,1.0,9.0,0.0,0.0,0.0,2.6667,0,0,0,2,0,0.0,0.0,6.75,0.0,0.0,0.0
662300,2022-08-21,4.0,5,6,3,4,0,13.5,2.0,9.0,1.33,0.0,6.75,3.3333,1,0,1,5,0,0.0,0.6,13.5,5.0,0.0,2.7
662315,2022-08-21,4.0,3,2,3,3,0,4.5,1.5,6.75,1.0,0.0,6.75,3.0,4,1,0,4,0,3.0,1.33,12.0,0.0,0.0,0.0
662600,2022-08-21,3.0,2,1,1,3,1,3.0,1.0,9.0,3.0,3.0,3.0,4.3333,6,3,3,5,1,6.23,2.08,10.38,1.67,2.08,6.23
662805,2022-08-21,4.0,3,0,0,3,0,0.0,0.75,6.75,0.0,0.0,0.0,4.0,2,1,0,4,0,2.25,0.5,9.0,0.0,0.0,0.0
662878,2022-08-21,4.6667,3,1,1,3,0,1.93,0.86,5.79,3.0,0.0,1.93,4.3333,6,4,2,3,1,8.31,1.85,6.23,1.5,2.08,4.15
663115,2022-08-21,3.0,5,5,2,3,3,15.0,2.33,9.0,1.5,9.0,6.0,3.3333,1,0,0,3,0,0.0,0.3,8.1,0.0,0.0,0.0
663301,2022-08-21,3.0,5,3,3,3,0,9.0,2.67,9.0,1.0,0.0,9.0,6.3333,1,0,2,2,0,0.0,0.47,2.84,1.0,0.0,2.84
