game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
449194,2016-09-25,141,147,TOR,NYY,Blue Jays,Yankees,Toronto Blue Jays,New York Yankees,0,0,regular,regular,2016,2016,155,157,32,34,4,3,9,8,1,2,0,0,1,1,4,3,13,13,6,2,12,9,2,1,.249,.252,.329,.313,.430,.405,.759,.718,1,0,0,1,3.80,4.18,9.0,8.1,8,9,3,4,1,1,2,6,9,12,.000,.000,1.23,1.26,0,1,2016-09-25
449192,2016-09-25,116,118,DET,KC,Tigers,Royals,Detroit Tigers,Kansas City Royals,0,0,regular,regular,2016,2016,158,158,42,45,9,12,17,19,3,4,1,1,2,4,7,12,28,37,5,1,5,10,0,4,.266,.262,.330,.313,.434,.402,.764,.715,0,1,1,0,4.27,4.22,9.0,9.0,19,17,12,9,4,2,1,5,10,5,.000,.000,1.32,1.35,0,0,2016-09-25
449188,2016-09-25,139,111,TB,BOS,Rays,Red Sox,Tampa Bay Rays,Boston Red Sox,0,0,regular,regular,2016,2016,156,159,35,35,2,3,7,8,1,3,0,0,0,1,2,2,8,14,3,6,23,8,0,0,.244,.285,.308,.350,.429,.467,.737,.817,0,1,1,0,4.18,3.99,10.0,10.0,8,7,2,2,1,0,6,3,8,23,.000,.000,1.32,1.26,1,0,2016-09-25
449195,2016-09-25,121,143,NYM,PHI,Mets,Phillies,New York Mets,Philadelphia Phillies,0,0,regular,regular,2016,2016,158,156,37,30,17,0,14,3,3,0,0,0,2,0,15,0,23,3,9,2,9,11,0,1,.244,.240,.314,.300,.416,.386,.730,.686,1,0,0,1,3.59,4.56,9.0,8.0,3,14,0,17,0,2,2,9,11,9,.000,.000,1.27,1.34,1,0,2016-09-25
449189,2016-09-25,114,145,CLE,CWS,Indians,White Sox,Cleveland Indians,Chicago White Sox,0,0,regular,regular,2016,2016,158,158,28,33,0,3,2,6,0,0,0,0,0,0,0,3,2,6,3,2,14,3,0,2,.263,.257,.329,.317,.431,.408,.760,.725,0,1,1,0,3.79,4.12,9.0,9.0,6,2,1,0,0,0,2,3,3,14,.000,.000,1.24,1.35,3,0,2016-09-25
449186,2016-09-25,110,109,BAL,AZ,Orioles,D-backs,Baltimore Orioles,Arizona Diamondbacks,0,0,regular,regular,2016,2016,160,155,28,31,2,1,5,4,1,1,0,0,1,0,2,1,9,5,3,2,10,11,0,2,.256,.261,.317,.320,.445,.430,.762,.750,1,0,0,1,4.28,5.15,9.0,8.0,4,5,1,2,0,1,2,3,11,10,.000,.000,1.37,1.51,1,1,2016-09-25
449200,2016-09-25,134,120,PIT,WSH,Pirates,Nationals,Pittsburgh Pirates,Washington Nationals,0,0,regular,regular,2016,2016,159,156,32,40,7,10,7,14,1,2,1,1,1,1,6,9,13,21,5,6,10,13,0,3,.258,.256,.334,.326,.404,.427,.738,.753,0,1,1,0,4.17,3.44,9.0,9.0,14,7,9,7,1,1,6,5,13,10,.000,.000,1.38,1.18,1,0,2016-09-25
449193,2016-09-25,117,108,HOU,LAA,Astros,Angels,Houston Astros,Los Angeles Angels,0,0,regular,regular,2016,2016,158,156,28,32,4,1,9,7,0,4,0,0,3,0,4,1,18,11,2,2,5,6,0,1,.246,.260,.319,.322,.419,.404,.738,.726,1,0,0,1,4.02,4.37,9.0,8.0,7,9,1,4,0,3,2,2,6,5,.000,.000,1.28,1.40,0,0,2016-09-25
449197,2016-09-25,142,136,MIN,SEA,Twins,Mariners,Minnesota Twins,Seattle Mariners,0,0,regular,regular,2016,2016,159,155,34,33,3,4,9,6,2,2,0,0,1,3,2,4,14,17,4,2,11,5,1,0,.251,.257,.316,.325,.422,.428,.738,.753,0,1,1,0,5.11,4.02,9.0,9.0,6,9,4,3,3,1,2,4,5,11,.000,.000,1.46,1.28,3,0,2016-09-25
449190,2016-09-25,158,113,MIL,CIN,Brewers,Reds,Milwaukee Brewers,Cincinnati Reds,0,0,regular,regular,2016,2016,157,156,33,30,2,4,7,8,1,3,1,0,0,0,1,4,10,11,0,3,13,7,2,1,.243,.253,.322,.314,.405,.406,.727,.720,0,1,1,0,4.09,4.88,9.0,9.0,8,7,3,1,0,0,3,0,7,13,.000,.000,1.38,1.45,2,1,2016-09-25
449199,2016-09-25,133,140,OAK,TEX,Athletics,Rangers,Oakland Athletics,Texas Rangers,0,0,regular,regular,2016,2016,156,157,35,31,7,1,13,5,2,2,0,0,1,1,7,1,18,10,3,0,4,9,0,0,.247,.263,.305,.322,.394,.435,.699,.757,1,0,0,1,4.48,4.40,9.0,8.0,5,13,1,7,1,1,0,3,9,4,.000,.000,1.34,1.38,0,0,2016-09-25
449191,2016-09-25,119,115,LAD,COL,Dodgers,Rockies,Los Angeles Dodgers,Colorado Rockies,0,0,regular,regular,2016,2016,157,159,40,34,4,3,12,8,2,1,1,0,2,1,4,3,22,12,3,2,7,10,0,0,.250,.274,.321,.337,.412,.460,.733,.797,1,0,0,1,3.62,4.91,10.0,9.2,8,12,3,4,1,2,2,3,10,7,.000,.000,1.17,1.45,0,1,2016-09-25
449196,2016-09-25,135,137,SD,SF,Padres,Giants,San Diego Padres,San Francisco Giants,0,0,regular,regular,2016,2016,158,156,28,34,4,3,8,7,1,0,1,0,1,0,4,3,14,7,5,3,8,2,2,1,.234,.255,.298,.326,.390,.393,.688,.719,1,0,0,1,4.40,3.72,9.0,8.0,7,8,2,4,0,1,3,5,2,8,.000,.000,1.39,1.22,1,0,2016-09-25
449198,2016-09-25,112,138,CHC,STL,Cubs,Cardinals,Chicago Cubs,St. Louis Cardinals,0,0,regular,regular,2016,2016,158,157,30,31,3,1,8,5,2,1,0,0,1,0,3,1,13,6,5,3,10,11,3,0,.256,.254,.343,.324,.428,.439,.771,.763,1,0,0,1,3.10,4.05,9.0,8.0,5,8,1,3,0,1,3,5,11,10,.000,.000,1.10,1.31,0,0,2016-09-25
449187,2016-09-25,146,144,MIA,ATL,Marlins,Braves,Miami Marlins,Atlanta Braves,0,0,regular,regular,2016,2016,157,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.263,.254,.322,.320,.394,.382,.716,.702,0,0,0,0,3.97,4.56,0.0,0.0,0,0,0,0,0,0,0,0,0,0,.000,.000,1.35,1.36,0,0,2016-09-25
