Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,28,30.3,5.15,34,34,.500,4.77,68,68,68,0,5,0,22,607.0,585,350,322,89,232,10,577,30,7,14,2621,87,4.38,1.346,8.7,1.3,3.4,8.6,2.49,461
Athletics,28,28.8,5.99,26,44,.371,5.63,70,70,70,0,3,0,15,620.0,670,419,388,104,273,10,559,38,3,15,2803,74,4.96,1.521,9.7,1.5,4.0,8.1,2.05,533
Atlanta Braves,25,29.6,3.93,29,38,.433,3.73,67,67,66,1,3,0,10,591.1,505,263,245,75,218,10,595,27,4,19,2459,110,3.96,1.223,7.7,1.1,3.3,9.1,2.73,432
Baltimore Orioles,28,31.2,5.15,27,40,.403,5.00,67,67,67,0,1,0,15,586.1,614,345,326,94,219,3,541,20,3,25,2557,77,4.54,1.421,9.4,1.4,3.4,8.3,2.47,457
Boston Red Sox,23,29.8,4.67,34,36,.486,4.08,70,70,70,0,4,0,17,630.1,611,327,286,70,234,10,587,32,3,15,2708,102,3.92,1.341,8.7,1.0,3.3,8.4,2.51,507
Chicago Cubs,25,30.9,3.99,42,27,.609,3.68,69,69,69,0,6,0,16,616.2,571,275,252,73,194,6,537,23,0,13,2569,104,3.93,1.241,8.3,1.1,2.8,7.8,2.77,455
Chicago White Sox,26,27.6,4.35,23,46,.333,4.19,69,69,69,0,4,0,7,594.2,577,300,277,74,248,10,501,41,2,16,2590,99,4.47,1.387,8.7,1.1,3.8,7.6,2.02,510
Cincinnati Reds,22,29.4,4.03,35,34,.507,3.77,69,69,68,1,4,1,19,611.0,522,278,256,78,206,5,553,27,2,21,2540,118,4.07,1.191,7.7,1.1,3.0,8.1,2.68,436
Cleveland Guardians,23,27.4,4.16,35,32,.522,3.89,67,67,67,0,8,0,19,591.2,564,279,256,73,242,7,569,19,2,21,2532,105,4.08,1.362,8.6,1.1,3.7,8.7,2.35,483
Colorado Rockies,23,28.1,6.25,13,55,.191,5.63,68,68,68,0,0,0,10,591.1,695,425,370,88,242,8,457,22,2,32,2669,82,4.81,1.585,10.6,1.3,3.7,7.0,1.89,477
Detroit Tigers,21,28.0,3.53,45,25,.643,3.22,70,70,69,1,7,1,23,622.1,528,247,223,67,197,6,597,30,1,15,2565,125,3.65,1.165,7.6,1.0,2.8,8.6,3.03,458
Houston Astros,23,29.1,3.63,38,30,.559,3.50,68,68,65,3,6,0,20,599.1,486,247,233,64,212,3,664,23,1,16,2474,117,3.43,1.165,7.3,1.0,3.2,10.0,3.13,434
Kansas City Royals,20,30.0,3.65,34,35,.493,3.40,69,69,69,0,7,0,22,614.2,541,252,232,67,203,9,561,19,2,29,2550,122,3.75,1.210,7.9,1.0,3.0,8.2,2.76,465
Los Angeles Angels,27,30.0,5.00,33,34,.493,4.76,67,67,67,0,2,0,18,590.1,611,335,312,86,270,18,501,22,5,28,2601,88,4.76,1.492,9.3,1.3,4.1,7.6,1.86,500
Los Angeles Dodgers,30,29.4,4.54,41,28,.594,4.16,69,69,69,0,3,0,21,616.0,564,313,285,86,247,13,614,29,1,31,2624,94,4.24,1.317,8.2,1.3,3.6,9.0,2.49,475
Miami Marlins,22,27.6,5.41,25,41,.379,5.06,66,66,66,0,4,0,12,585.0,596,357,329,81,235,8,523,25,4,20,2563,86,4.42,1.421,9.2,1.2,3.6,8.0,2.23,462
Milwaukee Brewers,27,28.4,4.04,37,33,.529,3.80,70,70,70,0,6,0,17,620.1,555,283,262,73,253,12,576,23,5,16,2637,105,4.08,1.303,8.1,1.1,3.7,8.4,2.28,500
Minnesota Twins,22,28.7,4.01,36,32,.529,3.83,68,68,68,0,5,0,14,599.0,548,273,255,73,179,4,591,32,7,14,2520,109,3.74,1.214,8.2,1.1,2.7,8.9,3.30,458
New York Mets,26,30.5,3.25,45,24,.652,2.80,69,69,68,1,6,1,22,616.1,515,224,192,48,239,4,613,26,3,26,2573,135,3.39,1.223,7.5,0.7,3.5,9.0,2.56,511
New York Yankees,20,31.3,3.87,42,25,.627,3.67,67,67,67,0,7,0,21,593.0,486,259,242,68,223,2,626,16,3,20,2470,112,3.67,1.196,7.4,1.0,3.4,9.5,2.81,438
Philadelphia Phillies,22,30.1,4.34,39,29,.574,4.00,68,68,68,0,5,0,20,610.0,588,295,271,72,208,6,638,19,1,19,2592,105,3.64,1.305,8.7,1.1,3.1,9.4,3.07,479
Pittsburgh Pirates,21,28.4,4.00,28,42,.400,3.78,70,70,69,1,7,0,15,621.0,535,280,261,58,208,10,521,25,1,19,2574,110,3.74,1.196,7.8,0.8,3.0,7.6,2.50,444
San Diego Padres,20,29.4,3.81,38,29,.567,3.44,67,67,65,2,12,2,24,596.0,500,255,228,66,226,7,581,26,3,16,2494,118,3.84,1.218,7.6,1.0,3.4,8.8,2.57,460
Seattle Mariners,26,27.5,4.55,33,34,.493,4.06,67,67,67,0,1,0,19,607.0,600,305,274,78,209,14,544,26,1,20,2599,91,4.12,1.333,8.9,1.2,3.1,8.1,2.60,492
San Francisco Giants,17,29.3,3.57,40,29,.580,3.14,69,69,69,0,4,0,21,610.2,529,246,213,48,214,8,599,24,1,24,2542,120,3.31,1.217,7.8,0.7,3.2,8.8,2.80,474
St. Louis Cardinals,20,30.1,4.33,36,33,.522,3.98,69,69,68,1,8,1,17,612.2,599,299,271,57,187,8,484,21,2,19,2591,102,3.72,1.283,8.8,0.8,2.7,7.1,2.59,464
Tampa Bay Rays,18,27.6,3.74,36,32,.529,3.54,68,68,67,1,5,0,16,609.1,534,254,240,90,178,5,543,26,0,8,2489,111,4.22,1.168,7.9,1.3,2.6,8.0,3.05,415
Texas Rangers,21,32.0,3.36,33,36,.478,3.17,69,69,67,2,7,1,18,600.0,496,232,211,58,191,4,534,19,3,25,2450,119,3.60,1.145,7.4,0.9,2.9,8.0,2.80,418
Toronto Blue Jays,25,30.9,4.29,38,30,.559,4.06,68,68,68,0,4,0,23,607.2,539,292,274,95,202,7,610,30,4,16,2534,104,4.25,1.219,8.0,1.4,3.0,9.0,3.02,430
Washington Nationals,18,28.2,5.00,30,38,.441,4.88,68,68,68,0,6,0,19,597.0,590,340,324,69,231,1,535,45,2,33,2607,81,4.17,1.375,8.9,1.0,3.5,8.1,2.32,480
League Average,23,29.3,4.32,34,34,.500,4.02,68,68,68,0,5,0,18,606,562,295,270,74,221,8,564,26,3,20,2570,101,4.03,1.292,8.3,1.1,3.3,8.4,2.56,467
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,678,29.3,4.32,1025,1025,.500,4.02,2050,2050,2036,14,150,7,532,18168.0,16854,8849,8110,2222,6620,228,16931,785,78,605,77097,101,4.03,1.292,8.3,1.1,3.3,8.4,2.56,14008
