gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
87,87,626,940,500,166,11,125,686,327,14,815,49,.270,3024,.347,.456,.803,14,76,.844,49,13519,5.38,770.0,35,52,19,35,38,16,460,1.48,3445,2310,87,0,6,8433,.620,49,5,19,4,1378,0.67,.402,17.56,87,2.10,8.02,3.82,9.53,5.84,1.46,2,9,34,Athletics
86,86,758,820,339,149,13,73,636,256,11,658,30,.232,2836,.300,.371,.671,17,66,.795,63,12243,3.73,762.1,36,50,17,32,43,15,316,1.20,3158,2287,86,1,8,7897,.650,30,1,24,3,1052,0.92,.419,16.06,85,2.48,7.51,3.02,7.77,4.00,0.86,0,9,27,Pittsburgh Pirates
84,84,621,820,332,112,8,83,731,277,8,634,33,.229,2769,.304,.365,.669,12,55,.821,50,12102,3.65,742.0,45,39,28,39,56,11,301,1.23,3118,2226,84,2,13,7713,.640,33,3,24,5,1011,0.76,.536,16.31,82,2.64,8.87,3.36,7.69,4.03,1.01,2,11,26,San Diego Padres
84,84,722,808,369,125,10,105,689,260,18,711,36,.246,2892,.314,.405,.719,15,57,.792,65,12395,3.90,763.1,44,40,20,35,39,15,331,1.27,3227,2290,84,0,3,8024,.650,36,2,26,2,1171,0.89,.524,16.24,84,2.65,8.12,3.07,8.38,4.35,1.24,1,15,23,Seattle Mariners
85,85,769,694,321,127,15,67,721,264,9,667,27,.237,2815,.306,.364,.670,24,46,.657,45,11995,3.39,750.2,45,40,24,37,61,13,283,1.24,3143,2252,85,0,4,7732,.640,27,4,27,7,1025,1.11,.529,15.98,85,2.73,8.64,3.17,8.00,3.85,0.80,1,14,22,San Francisco Giants
86,86,818,783,365,141,19,73,627,236,10,729,24,.250,2917,.309,.386,.695,17,69,.802,51,12132,3.95,765.2,47,39,21,33,50,12,336,1.26,3220,2297,86,2,10,7800,.640,24,2,29,5,1127,1.04,.547,15.85,84,2.66,7.37,2.77,8.57,4.29,0.86,3,13,27,St. Louis Cardinals
85,85,741,756,338,115,6,110,691,233,6,673,36,.237,2842,.301,.398,.699,24,73,.753,76,11891,3.74,760.1,47,38,19,30,49,11,316,1.19,3133,2281,85,1,8,7751,.650,36,1,12,6,1130,0.98,.553,15.64,84,2.97,8.18,2.76,7.97,4.00,1.30,2,3,17,Tampa Bay Rays
85,85,729,794,302,113,7,74,670,236,14,635,24,.227,2798,.291,.352,.643,14,57,.803,59,11743,3.28,754.0,41,44,22,35,50,13,275,1.16,3089,2262,85,2,8,7635,.650,24,3,29,4,984,0.92,.482,15.57,83,2.84,8.00,2.82,7.58,3.60,0.88,1,11,19,Texas Rangers
84,84,609,808,373,122,9,113,749,268,11,668,42,.238,2807,.312,.409,.721,23,47,.671,48,12269,4.20,747.2,46,38,25,38,46,13,349,1.25,3144,2243,84,0,6,7869,.640,42,5,17,5,1147,0.75,.548,16.41,84,2.79,9.02,3.23,8.04,4.49,1.36,0,5,22,Toronto Blue Jays
84,84,621,820,370,134,5,89,725,223,6,701,41,.248,2824,.309,.394,.703,23,61,.726,35,12146,4.21,736.0,40,44,16,29,54,13,344,1.26,3131,2208,84,1,6,7914,.650,41,7,20,7,1112,0.76,.476,16.50,83,3.25,8.87,2.73,8.57,4.52,1.09,0,11,32,Minnesota Twins
