Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,27,30.3,5.25,31,34,.477,4.86,65,65,65,0,5,0,20,578.0,552,341,312,85,222,10,551,30,7,14,2499,85,4.38,1.339,8.6,1.3,3.5,8.6,2.48,433
Athletics,28,28.8,6.03,26,41,.388,5.68,67,67,67,0,3,0,15,594.1,646,404,375,101,267,9,532,35,3,15,2695,73,5.01,1.536,9.8,1.5,4.0,8.1,1.99,516
Atlanta Braves,24,29.5,4.00,27,37,.422,3.79,64,64,64,0,3,0,10,565.1,489,256,238,72,211,10,559,26,4,19,2360,107,4.00,1.238,7.8,1.1,3.4,8.9,2.65,418
Baltimore Orioles,28,31.3,5.23,26,38,.406,5.08,64,64,64,0,1,0,15,559.1,590,335,316,91,214,3,514,20,3,25,2449,76,4.60,1.437,9.5,1.5,3.4,8.3,2.40,440
Boston Red Sox,23,29.7,4.67,32,35,.478,4.13,67,67,67,0,4,0,15,601.1,588,313,276,69,222,8,562,29,3,14,2587,101,3.94,1.347,8.8,1.0,3.3,8.4,2.53,485
Chicago Cubs,25,30.8,3.97,40,25,.615,3.67,65,65,65,0,6,0,15,580.2,530,258,237,70,184,5,506,20,0,13,2417,104,3.95,1.230,8.2,1.1,2.9,7.8,2.75,426
Chicago White Sox,24,27.7,4.30,22,44,.333,4.12,66,66,66,0,4,0,6,569.2,543,284,261,72,240,10,480,41,2,16,2479,100,4.50,1.374,8.6,1.1,3.8,7.6,2.00,490
Cincinnati Reds,22,29.3,3.98,33,33,.500,3.71,66,66,66,0,3,0,18,585.0,499,263,241,75,196,5,529,24,2,21,2432,119,4.05,1.188,7.7,1.2,3.0,8.1,2.70,421
Cleveland Guardians,23,27.4,4.20,34,30,.531,3.95,64,64,64,0,8,0,19,564.2,537,269,248,69,234,6,543,18,2,21,2418,103,4.07,1.365,8.6,1.1,3.7,8.7,2.32,460
Colorado Rockies,23,28.1,6.18,12,53,.185,5.53,65,65,65,0,0,0,10,564.1,664,402,347,84,223,8,431,20,2,29,2540,83,4.77,1.572,10.6,1.3,3.6,6.9,1.93,452
Detroit Tigers,21,28.0,3.48,43,24,.642,3.15,67,67,66,1,7,1,21,596.1,502,233,209,63,189,6,568,28,1,13,2454,127,3.63,1.159,7.6,1.0,2.9,8.6,3.01,439
Houston Astros,23,29.1,3.66,36,29,.554,3.52,65,65,62,3,6,0,19,572.1,464,238,224,62,202,3,623,22,1,15,2362,116,3.47,1.164,7.3,1.0,3.2,9.8,3.08,412
Kansas City Royals,20,30.1,3.56,34,32,.515,3.31,66,66,66,0,7,0,22,587.2,512,235,216,64,191,9,538,19,2,28,2430,124,3.72,1.196,7.8,1.0,2.9,8.2,2.82,443
Los Angeles Angels,27,29.9,5.08,30,34,.469,4.85,64,64,64,0,2,0,17,562.1,592,325,303,82,263,18,475,22,5,28,2492,86,4.79,1.520,9.5,1.3,4.2,7.6,1.81,484
Los Angeles Dodgers,30,29.4,4.44,39,27,.591,4.11,66,66,66,0,3,0,19,589.0,537,293,269,85,231,13,595,27,1,29,2500,95,4.24,1.304,8.2,1.3,3.5,9.1,2.58,451
Miami Marlins,21,27.6,5.40,24,39,.381,5.03,63,63,63,0,4,0,11,560.0,568,340,313,78,227,8,501,23,4,20,2452,86,4.43,1.420,9.1,1.3,3.6,8.1,2.21,443
Milwaukee Brewers,26,28.5,4.08,35,31,.530,3.82,66,66,66,0,5,0,15,584.1,523,269,248,68,239,12,540,21,5,15,2486,104,4.07,1.304,8.1,1.0,3.7,8.3,2.26,471
Minnesota Twins,21,28.7,3.68,35,30,.538,3.51,65,65,65,0,5,0,14,572.0,508,239,223,64,164,4,575,30,6,12,2381,117,3.53,1.175,8.0,1.0,2.6,9.0,3.51,434
New York Mets,25,30.5,3.29,42,24,.636,2.85,66,66,66,0,5,0,21,588.1,494,217,186,46,233,4,590,25,3,25,2467,133,3.39,1.236,7.6,0.7,3.6,9.0,2.53,495
New York Yankees,20,31.4,3.97,39,25,.609,3.78,64,64,64,0,6,0,19,566.0,464,254,238,66,216,2,607,16,2,20,2362,107,3.67,1.201,7.4,1.0,3.4,9.7,2.81,416
Philadelphia Phillies,21,30.2,4.34,37,28,.569,4.01,65,65,65,0,5,0,20,581.0,562,282,259,66,199,6,611,19,1,17,2470,104,3.57,1.310,8.7,1.0,3.1,9.5,3.07,455
Pittsburgh Pirates,21,28.4,4.08,26,40,.394,3.84,66,66,65,1,7,0,14,586.0,509,269,250,53,200,10,488,25,1,18,2434,108,3.73,1.210,7.8,0.8,3.1,7.5,2.44,420
