Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.3,5.19,28,31,.475,4.81,59,59,59,0,5,0,18,525.2,505,306,281,74,198,9,502,28,6,11,2272,87,4.29,1.337,8.6,1.3,3.4,8.6,2.54,397
Athletics,27,28.8,6.05,23,37,.383,5.71,60,60,60,0,3,0,14,531.1,580,363,337,91,236,9,471,31,3,10,2409,72,5.04,1.536,9.8,1.5,4.0,8.0,2.00,460
Atlanta Braves,23,29.5,3.84,27,31,.466,3.66,58,58,58,0,3,0,10,512.0,445,223,208,63,188,10,507,24,3,17,2139,113,3.94,1.236,7.8,1.1,3.3,8.9,2.70,389
Baltimore Orioles,28,31.2,5.43,22,36,.379,5.27,58,58,58,0,1,0,12,507.1,541,315,297,88,200,3,456,18,3,24,2232,72,4.82,1.461,9.6,1.6,3.5,8.1,2.28,399
Boston Red Sox,23,29.8,4.43,29,32,.475,3.91,61,61,61,0,4,0,13,547.1,530,270,238,57,199,8,512,27,2,14,2344,107,3.80,1.332,8.7,0.9,3.3,8.4,2.57,446
Chicago Cubs,25,30.9,4.14,37,22,.627,3.84,59,59,59,0,6,0,15,529.2,487,244,226,67,176,5,473,19,0,13,2217,101,4.04,1.252,8.3,1.1,3.0,8.0,2.69,393
Chicago White Sox,22,27.7,4.29,18,41,.305,4.09,59,59,59,0,4,0,5,505.2,471,253,230,61,218,9,425,39,2,14,2203,100,4.49,1.363,8.4,1.1,3.9,7.6,1.95,436
Cincinnati Reds,20,29.3,4.05,29,31,.483,3.75,60,60,60,0,3,0,16,530.0,458,243,221,66,181,5,478,24,2,21,2215,120,4.05,1.206,7.8,1.1,3.1,8.1,2.64,388
Cleveland Guardians,23,27.5,4.33,32,26,.552,4.06,58,58,58,0,7,0,18,511.2,494,251,231,64,216,4,502,16,1,20,2202,99,4.10,1.388,8.7,1.1,3.8,8.8,2.32,420
Colorado Rockies,23,28.1,6.25,9,50,.153,5.59,59,59,59,0,0,0,7,510.1,603,369,317,75,204,8,389,17,2,28,2299,82,4.76,1.581,10.6,1.3,3.6,6.9,1.91,406
Detroit Tigers,19,27.9,3.50,39,21,.650,3.17,60,60,59,1,6,1,19,534.0,449,210,188,57,169,5,516,27,1,13,2203,126,3.63,1.157,7.6,1.0,2.8,8.7,3.05,397
Houston Astros,23,29.1,3.80,32,27,.542,3.66,59,59,56,3,5,0,16,519.1,423,224,211,59,185,2,560,19,1,15,2149,111,3.58,1.171,7.3,1.0,3.2,9.7,3.03,371
Kansas City Royals,19,30.0,3.35,31,29,.517,3.13,60,60,60,0,7,0,19,535.1,465,201,186,56,166,8,488,16,2,24,2199,132,3.63,1.179,7.8,0.9,2.8,8.2,2.94,402
Los Angeles Angels,26,29.8,5.03,26,32,.448,4.82,58,58,58,0,2,0,13,508.0,526,292,272,77,241,16,425,19,5,27,2245,86,4.91,1.510,9.3,1.4,4.3,7.5,1.76,432
Los Angeles Dodgers,28,29.3,4.46,36,23,.610,4.16,59,59,59,0,3,0,18,526.0,479,263,243,76,208,11,542,22,1,27,2228,95,4.21,1.306,8.2,1.3,3.6,9.3,2.61,396
Miami Marlins,21,27.6,5.46,23,34,.404,5.11,57,57,57,0,4,0,11,507.0,517,311,288,69,218,8,454,21,4,18,2232,87,4.47,1.450,9.2,1.2,3.9,8.1,2.08,410
Milwaukee Brewers,26,28.4,4.27,32,28,.533,3.98,60,60,60,0,5,0,14,531.1,484,256,235,64,218,11,484,21,5,14,2272,103,4.17,1.321,8.2,1.1,3.7,8.2,2.22,429
Minnesota Twins,20,28.8,3.50,31,27,.534,3.32,58,58,58,0,5,0,13,510.0,450,203,188,55,138,4,515,27,6,11,2112,124,3.43,1.153,7.9,1.0,2.4,9.1,3.73,387
New York Mets,24,30.6,3.27,37,22,.627,2.85,59,59,59,0,5,0,18,525.0,434,193,166,40,213,2,526,23,3,24,2202,135,3.41,1.232,7.4,0.7,3.7,9.0,2.47,442
New York Yankees,20,31.4,3.81,36,22,.621,3.60,58,58,58,0,5,0,17,512.0,410,221,205,56,197,2,547,12,2,20,2128,110,3.59,1.186,7.2,1.0,3.5,9.6,2.78,377
Philadelphia Phillies,19,30.3,4.39,36,23,.610,4.00,59,59,59,0,5,0,20,530.2,515,259,236,60,181,6,571,18,1,16,2260,105,3.52,1.312,8.7,1.0,3.1,9.7,3.15,419
Pittsburgh Pirates,21,28.5,4.20,22,38,.367,3.96,60,60,59,1,6,0,12,532.0,473,252,234,48,190,9,436,25,1,17,2230,107,3.82,1.246,8.0,0.8,3.2,7.4,2.29,395
San Diego Padres,20,29.5,3.96,33,24,.579,3.61,57,57,55,2,9,2,21,506.0,430,226,203,60,181,5,503,21,3,13,2111,112,3.83,1.208,7.6,1.1,3.2,8.9,2.78,373
Seattle Mariners,26,27.6,4.40,32,26,.552,3.86,58,58,58,0,1,0,18,528.2,523,255,227,62,179,12,466,23,1,13,2263,96,3.99,1.328,8.9,1.1,3.0,7.9,2.60,439
San Francisco Giants,16,29.7,3.49,33,26,.559,3.11,59,59,59,0,4,0,17,518.0,444,206,179,41,178,6,512,19,1,19,2144,125,3.27,1.201,7.7,0.7,3.1,8.9,2.88,391
St. Louis Cardinals,19,30.2,4.12,33,26,.559,3.78,59,59,58,1,7,1,17,521.2,482,243,219,45,165,6,426,19,2,17,2188,109,3.62,1.240,8.3,0.8,2.8,7.3,2.58,388
Tampa Bay Rays,17,27.6,3.64,30,29,.508,3.48,59,59,58,1,5,0,14,527.1,457,215,204,78,158,3,452,23,0,7,2150,113,4.32,1.166,7.8,1.3,2.7,7.7,2.86,358
Texas Rangers,20,32.2,3.35,29,31,.483,3.10,60,60,59,1,6,1,17,523.1,428,201,180,50,172,4,462,17,3,22,2142,121,3.64,1.146,7.4,0.9,3.0,7.9,2.69,371
Toronto Blue Jays,24,31.0,4.29,31,28,.525,4.03,59,59,59,0,4,0,18,526.2,466,253,236,81,171,7,537,26,4,16,2189,104,4.16,1.209,8.0,1.4,2.9,9.2,3.14,366
Washington Nationals,18,28.2,5.12,28,31,.475,5.02,59,59,59,0,4,0,17,518.0,518,302,289,58,203,1,468,40,1,32,2267,80,4.13,1.392,9.0,1.0,3.5,8.1,2.31,414
League Average,22,29.4,4.31,29,29,.500,4.01,59,59,59,0,4,0,15,522,483,254,232,63,192,7,487,23,2,18,2215,102,4.02,1.293,8.3,1.1,3.3,8.4,2.54,403
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,650,29.4,4.31,884,884,.500,4.01,1768,1768,1758,10,134,5,457,15651.1,14487,7623,6975,1898,5747,198,14605,681,71,537,66446,102,4.02,1.293,8.3,1.1,3.3,8.4,2.54,12091
