gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team,caughtStealingPercentage
122,122,894,1269,637,223,13,173,988,429,20,1063,62,.256,4155,.331,.441,.772,25,101,.802,72,18665,4.88,1080.1,54,68,25,42,47,17,586,1.38,4707,3241,122,0,8,11698,.630,62,7,22,4,1831,0.70,.443,17.28,122,2.30,8.23,3.57,8.86,5.31,1.44,2,12,47,Athletics,
121,121,1012,1170,505,229,20,122,937,352,12,967,50,.240,4037,.306,.397,.703,19,80,.808,72,17419,3.99,1069.0,51,70,25,44,54,19,474,1.23,4489,3207,121,1,14,11277,.650,50,1,33,4,1602,0.86,.421,16.29,120,2.66,7.89,2.96,8.14,4.25,1.03,1,15,34,Pittsburgh Pirates,
120,120,898,1172,456,162,13,116,1031,392,19,895,51,.227,3943,.303,.363,.666,21,77,.786,77,17237,3.57,1063.0,68,52,40,55,84,15,422,1.21,4442,3189,120,2,15,11035,.640,51,4,34,8,1431,0.77,.567,16.22,118,2.63,8.73,3.32,7.58,3.86,0.98,3,17,36,San Diego Padres,
120,120,1014,1136,510,178,13,140,1027,359,23,976,55,.238,4101,.306,.390,.696,24,82,.774,81,17615,3.77,1089.2,67,53,32,52,68,20,457,1.23,4568,3269,120,0,9,11462,.650,55,3,39,2,1600,0.89,.558,16.17,120,2.86,8.48,2.97,8.06,4.21,1.16,1,20,32,Seattle Mariners,
120,120,1089,986,486,212,17,105,1016,379,11,984,43,.244,4029,.314,.383,.697,28,72,.720,77,17303,3.66,1063.0,59,61,28,45,69,17,432,1.28,4498,3189,120,1,6,11125,.640,43,6,39,7,1545,1.10,.492,16.28,119,2.68,8.60,3.21,8.33,4.11,0.89,1,16,30,San Francisco Giants,
121,121,1153,1088,541,199,28,117,874,313,10,1053,33,.256,4116,.311,.403,.714,22,84,.792,76,16976,4.17,1068.2,61,60,30,45,65,15,495,1.28,4519,3206,121,2,12,10955,.650,33,3,39,6,1659,1.06,.504,15.89,119,2.79,7.36,2.64,8.87,4.56,0.99,5,20,32,St. Louis Cardinals,
121,121,1012,1059,501,173,8,155,1016,348,9,954,50,.238,4013,.305,.401,.706,29,117,.801,97,16978,3.92,1069.2,58,63,26,47,68,21,466,1.22,4443,3209,121,1,9,11035,.650,50,5,19,9,1608,0.96,.479,15.87,120,2.92,8.55,2.93,8.03,4.22,1.30,3,6,23,Tampa Bay Rays,
121,121,1006,1135,432,165,12,118,991,359,19,902,36,.226,3992,.294,.362,.656,18,91,.835,87,16982,3.30,1077.1,61,60,29,51,65,22,395,1.17,4430,3232,121,2,11,10988,.650,36,4,35,4,1445,0.89,.504,15.76,119,2.76,8.28,3.00,7.54,3.61,0.99,1,15,27,Texas Rangers,
120,120,865,1163,540,180,11,161,1066,380,23,964,60,.240,4015,.313,.411,.724,29,71,.710,72,17478,4.25,1063.2,70,50,34,53,73,19,502,1.26,4500,3191,120,1,7,11199,.640,60,7,22,6,1649,0.74,.583,16.43,119,2.81,9.02,3.22,8.16,4.57,1.36,2,10,33,Toronto Blue Jays,.290
119,119,873,1184,533,193,11,140,1003,318,13,1026,51,.255,4028,.314,.412,.726,33,98,.748,52,17253,4.31,1045.0,56,63,22,39,77,17,500,1.29,4455,3135,119,1,7,11223,.650,51,7,33,9,1661,0.74,.471,16.51,118,3.15,8.64,2.74,8.84,4.59,1.21,0,16,42,Minnesota Twins,
