gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team,caughtStealingPercentage
121,121,1040,1121,591,254,18,149,980,384,17,1060,49,.255,4160,.323,.432,.755,21,82,.796,84,17763,4.54,1077.0,59,62,33,55,62,22,543,1.34,4636,3231,121,0,7,11270,.630,49,8,23,9,1797,0.93,.488,16.49,121,2.55,8.19,3.21,8.86,4.94,1.25,2,17,24,Arizona Diamondbacks,
120,120,996,1081,597,197,22,164,984,389,10,1085,38,.265,4099,.332,.444,.776,19,83,.814,75,17674,4.80,1053.1,54,66,28,44,81,16,562,1.40,4575,3160,120,1,4,11320,.640,38,5,44,9,1818,0.92,.450,16.78,119,2.53,8.41,3.32,9.27,5.10,1.40,2,14,33,Baltimore Orioles,
122,122,1071,1089,521,154,5,123,1000,407,15,1013,57,.245,4128,.319,.375,.694,34,102,.750,89,17884,3.75,1091.0,66,56,32,54,64,22,454,1.30,4645,3273,122,2,7,11482,.640,57,5,35,2,1546,0.98,.541,16.39,120,2.46,8.25,3.36,8.36,4.30,1.01,8,12,33,Boston Red Sox,
119,119,931,1226,488,167,13,148,900,305,8,975,37,.245,3985,.302,.405,.707,27,58,.682,82,16719,3.87,1056.2,68,51,27,40,79,13,454,1.21,4376,3170,119,0,13,10992,.660,37,0,21,17,1612,0.76,.571,15.82,119,2.95,7.67,2.60,8.30,4.16,1.26,2,15,32,Chicago Cubs,
122,122,938,1217,503,210,12,133,1009,380,9,948,47,.233,4060,.304,.389,.693,24,85,.780,61,17830,3.82,1077.2,64,58,29,44,77,15,458,1.23,4541,3233,122,3,7,11443,.640,47,2,31,8,1581,0.77,.525,16.55,119,2.66,8.43,3.17,7.92,4.20,1.11,2,21,31,Cincinnati Reds,
119,119,943,1129,501,180,14,130,1003,422,16,960,40,.241,3985,.317,.391,.708,30,84,.737,70,17630,3.89,1059.2,62,57,35,51,83,16,458,1.30,4498,3179,119,1,10,11220,.640,40,7,37,13,1558,0.84,.521,16.64,118,2.38,8.52,3.58,8.15,4.26,1.10,1,15,35,Cleveland Guardians,
120,120,1106,1126,773,254,26,175,785,416,13,1272,45,.300,4233,.366,.497,.863,26,101,.795,105,17776,6.00,1046.1,32,88,22,42,47,20,698,1.61,4753,3139,120,0,2,11232,.630,45,6,52,7,2103,0.98,.267,16.99,120,1.89,6.75,3.58,10.94,6.65,1.51,3,12,44,Colorado Rockies,.205
122,122,1037,1068,508,179,14,137,1040,349,12,978,49,.240,4079,.305,.391,.696,27,62,.697,83,17502,3.84,1080.1,70,52,33,49,57,16,461,1.23,4523,3241,122,1,11,11355,.650,49,1,35,7,1596,0.97,.574,16.20,121,2.98,8.66,2.91,8.15,4.23,1.14,2,14,30,Detroit Tigers,
121,121,901,1097,480,196,10,142,1147,366,6,928,47,.231,4020,.300,.391,.691,19,124,.867,66,17505,3.76,1076.0,68,53,36,48,72,12,450,1.20,4489,3228,121,3,9,11189,.640,47,4,29,8,1570,0.82,.562,16.27,118,3.13,9.59,3.06,7.76,4.01,1.19,3,21,32,Houston Astros,
121,121,1025,1158,470,186,20,123,953,367,16,969,32,.238,4070,.305,.384,.689,19,34,.642,83,17362,3.66,1077.0,60,61,34,49,62,15,438,1.24,4505,3231,121,0,10,11138,.640,32,2,38,7,1564,0.89,.496,16.12,121,2.60,7.96,3.07,8.10,3.93,1.03,1,15,20,Kansas City Royals,
121,121,979,1073,546,194,23,146,1079,422,22,994,52,.244,4076,.320,.410,.730,30,86,.741,70,18008,4.17,1076.1,68,53,35,55,92,20,499,1.32,4599,3229,121,0,5,11418,.630,52,3,50,9,1672,0.91,.562,16.73,121,2.56,9.02,3.53,8.31,4.57,1.22,0,14,35,Los Angeles Dodgers,.259
120,120,995,1155,663,202,26,149,912,407,4,1117,70,.271,4117,.344,.442,.786,33,81,.711,82,18006,5.36,1053.1,48,72,22,37,49,15,627,1.45,4656,3160,120,0,7,11452,.640,70,3,53,5,1818,0.86,.400,17.09,120,2.24,7.79,3.48,9.54,5.66,1.27,0,17,45,Washington Nationals,
120,120,1065,1014,499,178,17,110,1022,433,6,965,57,.240,4027,.320,.374,.694,29,54,.651,76,18060,3.75,1064.0,64,56,35,55,78,20,443,1.31,4560,3192,120,1,7,11384,.630,57,4,46,5,1507,1.05,.533,16.97,119,2.36,8.64,3.66,8.16,4.22,0.93,4,11,28,New York Mets,.349
