Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.4,5.16,27,30,.474,4.77,57,57,57,0,5,0,17,507.2,486,294,269,74,192,9,484,23,6,11,2189,88,4.34,1.336,8.6,1.3,3.4,8.6,2.52,380
Athletics,27,28.9,5.98,23,35,.397,5.62,58,58,58,0,3,0,14,515.1,557,347,322,86,233,9,463,30,3,9,2337,74,4.98,1.533,9.7,1.5,4.1,8.1,1.99,452
Atlanta Braves,23,29.6,3.93,26,30,.464,3.73,56,56,56,0,2,0,10,494.0,433,220,205,63,185,10,481,24,3,17,2070,110,4.06,1.251,7.9,1.1,3.4,8.8,2.60,377
Baltimore Orioles,28,31.2,5.55,20,36,.357,5.41,56,56,56,0,1,0,10,489.1,526,311,294,87,193,3,436,18,2,22,2155,70,4.90,1.469,9.7,1.6,3.5,8.0,2.26,380
Boston Red Sox,23,29.8,4.47,28,31,.475,3.94,59,59,59,0,4,0,12,530.1,514,264,232,54,194,8,489,27,2,13,2273,106,3.81,1.335,8.7,0.9,3.3,8.3,2.52,432
Chicago Cubs,25,30.8,4.23,35,22,.614,3.92,57,57,57,0,5,0,14,511.2,482,241,223,66,173,5,456,19,0,13,2155,100,4.10,1.280,8.5,1.2,3.0,8.0,2.64,388
Chicago White Sox,22,27.6,4.32,18,39,.316,4.10,57,57,57,0,4,0,5,489.2,458,246,223,59,214,9,413,39,2,14,2140,100,4.51,1.372,8.4,1.1,3.9,7.6,1.93,428
Cincinnati Reds,20,29.3,4.03,29,29,.500,3.75,58,58,58,0,3,0,16,514.0,440,234,214,65,173,4,464,22,2,21,2143,120,4.06,1.193,7.7,1.1,3.0,8.1,2.68,373
Cleveland Guardians,23,27.5,4.36,30,26,.536,4.12,56,56,56,0,7,0,16,493.2,483,244,226,61,209,4,482,15,1,20,2130,98,4.10,1.402,8.8,1.1,3.8,8.8,2.31,409
Colorado Rockies,23,28.2,6.25,9,48,.158,5.53,57,57,57,0,0,0,7,494.1,587,356,304,69,198,8,371,16,2,27,2229,83,4.69,1.588,10.7,1.3,3.6,6.8,1.87,397
Detroit Tigers,19,27.9,3.60,38,20,.655,3.26,58,58,57,1,5,1,18,517.0,436,209,187,57,168,5,505,27,1,13,2141,121,3.69,1.168,7.6,1.0,2.9,8.8,3.01,387
Houston Astros,23,29.2,3.65,31,26,.544,3.50,57,57,54,3,4,0,15,501.1,403,208,195,54,176,1,539,19,1,14,2069,115,3.50,1.155,7.2,1.0,3.2,9.7,3.06,361
Kansas City Royals,19,30.1,3.45,30,28,.517,3.22,58,58,58,0,6,0,18,517.1,458,200,185,56,161,8,470,16,2,23,2134,128,3.70,1.197,8.0,1.0,2.8,8.2,2.92,392
Los Angeles Angels,26,29.7,5.02,26,30,.464,4.77,56,56,56,0,2,0,13,492.0,509,281,261,73,233,14,412,17,5,26,2169,87,4.86,1.508,9.3,1.3,4.3,7.5,1.77,415
Los Angeles Dodgers,27,29.4,4.46,35,22,.614,4.15,57,57,57,0,3,0,18,508.0,461,254,234,73,197,11,522,20,1,26,2147,96,4.18,1.295,8.2,1.3,3.5,9.2,2.65,378
Miami Marlins,21,27.6,5.58,22,33,.400,5.23,55,55,55,0,3,0,10,489.0,501,307,284,68,210,8,438,20,4,18,2157,85,4.51,1.454,9.2,1.3,3.9,8.1,2.09,393
Milwaukee Brewers,26,28.4,4.26,30,28,.517,3.96,58,58,58,0,5,0,13,513.1,468,247,226,62,214,11,471,21,5,14,2198,104,4.19,1.329,8.2,1.1,3.8,8.3,2.20,418
Minnesota Twins,20,28.7,3.50,31,25,.554,3.33,56,56,56,0,5,0,13,491.1,434,196,182,52,134,3,495,27,6,11,2036,124,3.42,1.156,7.9,1.0,2.5,9.1,3.69,372
New York Mets,24,30.5,3.30,35,22,.614,2.86,57,57,57,0,5,0,17,507.0,426,188,161,37,209,2,509,22,3,23,2137,134,3.39,1.252,7.6,0.7,3.7,9.0,2.44,436
New York Yankees,19,31.5,3.57,35,21,.625,3.35,56,56,56,0,5,0,17,495.0,383,200,184,48,190,2,532,12,2,20,2045,119,3.42,1.158,7.0,0.9,3.5,9.7,2.80,366
Philadelphia Phillies,18,30.4,4.16,36,21,.632,3.81,57,57,57,0,5,0,20,512.2,483,237,217,57,176,6,559,17,0,16,2171,109,3.48,1.285,8.5,1.0,3.1,9.8,3.18,406
Pittsburgh Pirates,21,28.4,4.24,21,37,.362,3.98,58,58,57,1,5,0,12,515.0,463,246,228,47,183,9,426,25,1,17,2164,106,3.82,1.254,8.1,0.8,3.2,7.4,2.33,386
San Diego Padres,19,29.6,3.95,32,23,.582,3.58,55,55,53,2,9,2,20,488.0,411,217,194,57,175,5,483,20,3,13,2033,113,3.82,1.201,7.6,1.1,3.2,8.9,2.76,358
Seattle Mariners,26,27.6,4.46,30,26,.536,3.95,56,56,56,0,1,0,18,508.2,505,250,223,61,173,12,446,19,1,12,2179,94,4.02,1.333,8.9,1.1,3.1,7.9,2.58,418
San Francisco Giants,16,29.7,3.56,32,25,.561,3.16,57,57,57,0,4,0,16,501.0,432,203,176,41,170,6,494,19,0,18,2076,122,3.30,1.202,7.8,0.7,3.1,8.9,2.91,377
St. Louis Cardinals,19,30.1,4.12,32,25,.561,3.83,57,57,56,1,6,1,16,504.2,469,235,215,44,158,6,408,19,2,16,2119,108,3.65,1.242,8.4,0.8,2.8,7.3,2.58,378
Tampa Bay Rays,17,27.6,3.70,29,28,.509,3.54,57,57,57,0,5,0,14,510.1,443,211,201,76,154,3,435,22,0,7,2081,111,4.35,1.170,7.8,1.3,2.7,7.7,2.82,344
Texas Rangers,20,32.1,3.41,28,30,.483,3.15,58,58,57,1,6,1,17,505.1,418,198,177,50,165,4,451,17,3,21,2072,119,3.66,1.154,7.4,0.9,2.9,8.0,2.73,358
Toronto Blue Jays,23,31.1,4.25,29,28,.509,3.98,57,57,57,0,4,0,17,508.2,444,242,225,78,163,7,516,25,4,15,2106,104,4.15,1.193,7.9,1.4,2.9,9.1,3.17,348
Washington Nationals,18,28.3,5.12,27,30,.474,5.01,57,57,57,0,4,0,17,501.0,505,292,279,55,196,1,457,39,1,32,2196,80,4.09,1.399,9.1,1.0,3.5,8.2,2.33,404
League Average,22,29.4,4.32,28,28,.500,4.01,57,57,57,0,4,0,15,504,467,246,225,61,186,6,470,22,2,17,2142,102,4.02,1.295,8.3,1.1,3.3,8.4,2.53,390
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,646,29.4,4.32,854,854,.500,4.01,1708,1708,1699,9,126,5,440,15126.2,14018,7378,6746,1830,5569,193,14107,656,68,522,64251,102,4.02,1.295,8.3,1.1,3.3,8.4,2.53,11711
