gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
107,107,778,1131,590,205,12,157,858,381,19,962,59,.262,3677,.337,.452,.789,19,87,.821,63,16444,5.14,947.0,45,62,24,41,46,17,541,1.42,4171,2841,107,0,6,10297,.630,59,6,21,4,1662,0.69,.421,17.36,107,2.25,8.15,3.62,9.14,5.61,1.49,2,12,40,Athletics
105,105,892,1013,413,190,15,98,795,302,12,811,40,.234,3470,.300,.382,.682,19,71,.789,66,14904,3.75,927.2,43,62,22,38,49,16,387,1.20,3854,2783,105,1,12,9659,.650,40,1,28,4,1325,0.88,.410,16.07,104,2.63,7.71,2.93,7.87,4.01,0.95,1,11,30,Pittsburgh Pirates
105,105,789,1032,404,145,12,103,883,345,14,793,44,.230,3452,.305,.368,.673,18,73,.802,66,15062,3.60,926.0,56,49,36,48,71,12,370,1.23,3888,2778,105,2,14,9599,.640,44,3,30,7,1271,0.76,.533,16.27,103,2.56,8.58,3.35,7.71,3.93,1.00,2,16,29,San Diego Padres
105,105,893,999,460,156,11,117,888,326,21,877,48,.243,3608,.312,.390,.702,21,75,.781,74,15526,3.87,953.2,56,49,25,44,56,19,410,1.26,4032,2861,105,0,7,10071,.650,48,3,33,2,1406,0.89,.533,16.28,105,2.72,8.38,3.08,8.28,4.34,1.10,1,17,32,Seattle Mariners
105,105,941,867,422,178,17,89,891,335,10,844,37,.241,3500,.312,.378,.690,26,62,.705,62,15001,3.63,927.2,54,51,26,40,66,14,374,1.27,3916,2783,105,1,5,9666,.640,37,5,37,7,1323,1.09,.514,16.17,104,2.66,8.64,3.25,8.19,4.09,0.86,1,16,27,San Francisco Giants
106,106,1014,938,475,180,24,101,776,282,10,923,30,.256,3603,.313,.404,.717,18,78,.813,67,14900,4.17,936.2,54,52,26,40,63,14,434,1.29,3968,2810,106,2,11,9612,.650,30,2,36,5,1454,1.08,.509,15.91,104,2.75,7.46,2.71,8.87,4.56,0.97,5,19,29,St. Louis Cardinals
105,105,892,930,432,154,7,137,870,298,7,836,43,.239,3504,.305,.404,.709,27,95,.779,86,14728,3.89,932.2,53,52,23,40,57,17,403,1.22,3872,2798,105,1,8,9569,.650,43,3,16,7,1415,0.96,.505,15.79,104,2.92,8.40,2.88,8.07,4.17,1.32,2,5,20,Tampa Bay Rays
105,105,886,982,362,137,10,94,848,301,18,785,26,.227,3464,.291,.353,.644,15,69,.821,73,14595,3.17,934.1,55,50,27,45,61,18,329,1.16,3829,2803,105,2,10,9484,.650,26,3,32,4,1224,0.90,.524,15.62,103,2.82,8.17,2.90,7.56,3.49,0.91,1,12,25,Texas Rangers
105,105,756,1015,449,150,10,139,939,324,20,828,51,.236,3508,.308,.403,.711,26,59,.694,64,15225,4.04,933.2,63,42,31,48,63,17,419,1.23,3915,2801,105,1,7,9775,.640,51,6,19,5,1415,0.74,.600,16.31,104,2.90,9.05,3.12,7.98,4.33,1.34,2,6,24,Toronto Blue Jays
104,104,760,1029,452,165,7,113,885,268,10,876,43,.250,3498,.309,.399,.708,30,78,.722,44,14845,4.17,911.2,50,54,20,35,73,15,422,1.25,3861,2735,104,1,7,9722,.650,43,7,27,8,1394,0.74,.481,16.28,103,3.30,8.74,2.65,8.65,4.46,1.12,0,15,37,Minnesota Twins
104,104,853,884,415,158,11,111,971,302,7,863,32,.244,3538,.307,.389,.696,25,65,.722,59,15169,3.72,928.1,60,44,27,44,48,17,384,1.25,3905,2785,104,2,9,9851,.650,32,3,26,8,1376,0.96,.577,16.34,102,3.22,9.41,2.93,8.37,4.02,1.08,0,11,22,Philadelphia Phillies
103,103,852,852,442,168,13,121,938,343,17,813,44,.238,3416,.313,.401,.714,24,87,.784,54,15161,4.10,911.2,44,59,14,30,37,16,415,1.27,3842,2735,103,1,5,9719,.640,44,6,29,10,1370,1.00,.427,16.63,102,2.73,9.26,3.39,8.03,4.36,1.19,0,13,26,Atlanta Braves
105,105,827,1057,464,192,19,112,766,385,17,876,58,.251,3488,.333,.413,.746,21,87,.806,81,15239,4.10,914.2,38,67,13,29,44,16,417,1.38,3971,2744,105,0,5,9501,.620,58,5,28,12,1442,0.78,.362,16.66,105,1.99,7.54,3.79,8.62,4.57,1.10,2,7,31,Chicago White Sox
103,103,888,978,490,182,17,110,808,319,10,878,44,.250,3512,.317,.405,.722,19,123,.866,61,15114,4.44,918.0,50,53,26,42,56,16,453,1.30,3917,2754,103,0,6,9645,.640,44,5,32,3,1424,0.91,.485,16.46,103,2.53,7.92,3.13,8.61,4.80,1.08,2,6,34,Miami Marlins
104,104,868,915,445,151,14,115,913,357,8,792,34,.229,3460,.306,.380,.686,17,65,.793,60,15106,4.01,918.2,56,48,27,39,57,12,409,1.25,3883,2756,104,0,10,9568,.630,34,3,33,12,1316,0.95,.538,16.44,104,2.56,8.94,3.50,7.76,4.36,1.13,4,11,17,New York Yankees
104,104,814,980,403,140,11,111,901,341,14,801,37,.232,3456,.306,.375,.681,22,56,.718,66,15261,3.59,924.1,61,43,28,40,73,12,369,1.24,3876,2773,104,0,10,9697,.640,37,5,22,4,1296,0.83,.587,16.51,104,2.64,8.77,3.32,7.80,3.92,1.08,2,15,25,Milwaukee Brewers
105,105,910,965,525,153,11,140,821,403,35,933,32,.260,3585,.338,.426,.764,16,79,.832,96,15654,4.65,931.0,50,55,23,47,56,24,481,1.44,4065,2793,105,0,5,9979,.640,32,6,39,3,1528,0.94,.476,16.81,105,2.04,7.94,3.90,9.02,5.08,1.35,1,12,32,Los Angeles Angels
105,105,900,950,510,210,15,132,877,336,16,900,46,.250,3593,.321,.427,.748,19,71,.789,73,15426,4.49,935.2,51,54,29,47,54,18,467,1.32,4010,2807,105,0,7,9770,.630,46,8,20,9,1536,0.95,.486,16.49,105,2.61,8.44,3.23,8.66,4.91,1.27,1,13,21,Arizona Diamondbacks
104,104,876,930,529,177,17,146,851,345,10,943,34,.265,3562,.333,.447,.780,15,79,.840,63,15410,4.94,913.1,46,58,25,38,73,13,501,1.41,3981,2740,104,0,4,9825,.640,34,4,44,9,1592,0.94,.442,16.87,104,2.47,8.39,3.40,9.29,5.21,1.44,2,10,28,Baltimore Orioles
106,106,934,926,463,136,4,107,890,343,13,885,44,.246,3594,.317,.376,.693,33,88,.727,77,15520,3.78,949.2,56,50,28,48,57,20,399,1.29,4030,2849,106,2,7,9973,.640,44,5,29,2,1350,1.01,.528,16.34,104,2.59,8.43,3.25,8.39,4.39,1.01,8,11,30,Boston Red Sox
104,104,818,1083,433,146,12,133,775,274,8,865,34,.247,3504,.306,.409,.715,25,53,.679,76,14694,3.89,926.2,61,43,24,35,65,11,401,1.23,3851,2780,104,0,12,9627,.660,34,0,20,14,1434,0.76,.587,15.86,104,2.83,7.53,2.66,8.40,4.21,1.29,2,12,25,Chicago Cubs
105,105,800,1063,439,186,10,119,857,331,8,819,41,.234,3493,.306,.396,.702,22,82,.788,52,15378,3.88,926.2,55,50,24,36,66,12,399,1.24,3913,2780,105,3,6,9842,.640,41,2,26,7,1382,0.75,.524,16.59,102,2.59,8.32,3.21,7.95,4.26,1.16,2,19,27,Cincinnati Reds
104,104,817,985,437,157,12,113,870,370,15,848,35,.244,3477,.320,.393,.713,28,78,.736,64,15444,3.93,924.2,52,52,30,43,73,13,404,1.32,3926,2774,104,1,9,9823,.640,35,6,32,12,1368,0.83,.500,16.70,103,2.35,8.47,3.60,8.25,4.25,1.10,1,13,30,Cleveland Guardians
104,104,965,974,639,217,23,143,681,357,12,1078,33,.296,3646,.360,.485,.845,24,90,.789,93,15333,5.61,909.0,27,77,19,37,44,18,567,1.58,4091,2727,104,0,1,9678,.630,33,5,47,6,1770,0.99,.260,16.87,104,1.91,6.74,3.53,10.67,6.33,1.42,3,12,40,Colorado Rockies
106,106,898,930,442,154,12,114,908,305,11,860,41,.242,3556,.307,.388,.695,22,58,.725,71,15266,3.82,939.1,60,46,28,42,50,14,399,1.24,3944,2818,106,1,10,9901,.650,41,1,30,6,1380,0.97,.566,16.25,105,2.98,8.70,2.92,8.24,4.23,1.09,2,12,28,Detroit Tigers
105,105,776,949,410,170,10,122,1006,314,6,800,42,.229,3489,.299,.389,.688,15,111,.881,58,15130,3.70,935.0,60,45,33,45,68,12,384,1.19,3890,2805,105,3,9,9692,.640,42,1,26,5,1356,0.82,.571,16.18,102,3.20,9.68,3.02,7.70,3.95,1.17,3,18,24,Houston Astros
105,105,884,983,394,164,16,106,850,311,14,828,29,.236,3512,.302,.382,.684,16,29,.644,74,14979,3.51,933.1,51,54,29,43,52,14,364,1.22,3886,2800,105,0,8,9619,.640,29,2,36,6,1342,0.90,.486,16.05,105,2.73,8.20,3.00,7.98,3.80,1.02,1,13,20,Kansas City Royals
105,105,857,942,486,175,21,128,921,370,19,869,47,.245,3548,.322,.414,.736,27,79,.745,63,15709,4.26,937.1,61,44,31,47,79,16,444,1.32,4006,2812,105,0,3,9947,.630,47,3,39,9,1470,0.91,.581,16.76,105,2.49,8.84,3.55,8.34,4.67,1.23,0,11,30,Los Angeles Dodgers
