gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
118,118,1018,1075,578,247,18,146,964,375,16,1038,49,.256,4055,.325,.434,.759,21,77,.786,82,17291,4.55,1049.2,57,61,31,52,60,21,531,1.35,4521,3149,118,0,7,10970,.630,49,8,23,9,1759,0.95,.483,16.47,118,2.57,8.27,3.22,8.90,4.96,1.25,2,17,23,Arizona Diamondbacks
118,118,981,1059,593,197,21,164,970,387,10,1073,38,.266,4037,.333,.447,.780,18,80,.816,73,17427,4.85,1035.1,53,65,28,43,79,15,558,1.41,4510,3106,118,1,4,11146,.640,38,5,44,9,1804,0.93,.449,16.83,117,2.51,8.43,3.36,9.33,5.15,1.43,2,14,32,Baltimore Orioles
119,119,1046,1061,509,151,5,119,980,399,15,990,57,.246,4032,.320,.374,.694,34,100,.746,86,17501,3.73,1066.0,65,54,32,54,64,22,442,1.30,4541,3198,119,2,7,11224,.640,57,5,35,2,1508,0.99,.546,16.42,117,2.46,8.27,3.37,8.36,4.30,1.00,8,12,33,Boston Red Sox
117,117,916,1204,482,164,13,146,888,301,8,961,36,.245,3922,.302,.405,.707,27,58,.682,80,16474,3.88,1039.2,67,50,26,39,76,13,448,1.21,4308,3119,117,0,13,10827,.660,36,0,21,17,1589,0.76,.573,15.85,117,2.95,7.69,2.61,8.32,4.17,1.26,2,15,32,Chicago Cubs
119,119,912,1190,498,204,12,131,983,379,9,932,46,.235,3965,.307,.392,.699,24,85,.780,60,17454,3.88,1050.2,62,57,29,44,77,15,453,1.25,4444,3152,119,3,6,11190,.640,46,2,30,8,1553,0.77,.521,16.61,116,2.59,8.42,3.25,7.98,4.27,1.12,2,21,31,Cincinnati Reds
117,117,928,1106,485,175,13,126,987,412,16,938,38,.240,3909,.316,.388,.704,30,83,.735,70,17297,3.83,1041.2,61,56,35,51,83,16,443,1.30,4410,3125,117,1,10,11020,.640,38,7,36,12,1517,0.84,.521,16.61,116,2.40,8.53,3.56,8.10,4.19,1.09,1,15,35,Cleveland Guardians
117,117,1082,1094,765,250,26,173,767,409,13,1248,44,.302,4135,.367,.500,.867,26,96,.787,102,17385,6.09,1020.1,30,87,20,39,46,19,690,1.62,4647,3061,117,0,1,10974,.630,44,6,52,7,2069,0.99,.256,17.04,117,1.88,6.77,3.61,11.01,6.75,1.53,3,12,44,Colorado Rockies
119,119,1013,1041,498,178,14,135,1014,340,12,959,49,.241,3984,.306,.394,.700,27,62,.697,82,17097,3.86,1054.1,68,51,31,47,55,16,452,1.23,4418,3163,119,1,10,11084,.650,49,1,34,7,1570,0.97,.571,16.22,118,2.98,8.66,2.90,8.19,4.25,1.15,2,13,30,Detroit Tigers
118,118,878,1064,459,190,10,136,1125,353,6,897,45,.229,3912,.298,.387,.685,17,119,.875,64,17030,3.69,1049.0,66,52,34,46,69,12,430,1.19,4365,3147,118,3,9,10895,.640,45,3,29,7,1515,0.83,.559,16.23,115,3.19,9.65,3.03,7.70,3.94,1.17,3,21,31,Houston Astros
118,118,995,1127,453,181,18,119,934,355,16,940,32,.237,3961,.304,.382,.686,18,33,.647,82,16917,3.62,1050.0,58,60,32,47,58,15,422,1.23,4384,3150,118,0,10,10865,.640,32,2,37,7,1514,0.88,.492,16.11,118,2.63,8.01,3.04,8.06,3.88,1.02,1,15,20,Kansas City Royals
118,118,957,1048,526,187,23,142,1052,406,20,969,51,.243,3980,.319,.409,.728,28,86,.754,70,17537,4.11,1051.1,68,50,35,53,91,18,480,1.31,4483,3154,118,0,5,11131,.630,51,3,47,9,1628,0.91,.576,16.68,118,2.59,9.01,3.48,8.30,4.50,1.22,0,13,33,Los Angeles Dodgers
117,117,967,1130,641,198,26,144,894,389,4,1089,68,.271,4022,.342,.440,.782,33,78,.703,78,17530,5.29,1028.1,47,70,22,36,47,14,605,1.44,4537,3085,117,0,7,11178,.640,68,3,52,5,1771,0.86,.402,17.05,117,2.30,7.82,3.40,9.53,5.61,1.26,0,17,41,Washington Nationals
118,118,1046,999,483,174,17,108,1003,420,6,950,56,.240,3959,.320,.374,.694,29,52,.642,75,17736,3.70,1046.0,63,55,34,54,78,20,430,1.31,4478,3138,118,1,7,11192,.630,56,4,46,5,1482,1.05,.534,16.96,117,2.39,8.63,3.61,8.17,4.16,0.93,4,11,28,New York Mets
