gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
128,128,1078,1192,636,181,19,176,1015,489,38,1133,35,.260,4362,.336,.431,.767,21,90,.811,.189,115,19105,4.66,1136.0,61,67,30,58,68,28,588,1.43,4943,3408,128,0,5,12175,.640,35,8,48,6,1880,0.90,.477,16.82,128,2.08,8.04,3.87,8.98,5.04,1.39,1,14,42,Los Angeles Angels
129,129,1121,1196,628,265,22,157,1034,402,19,1123,52,.253,4431,.321,.429,.750,22,88,.800,.200,88,18833,4.54,1149.0,63,66,34,59,66,25,579,1.33,4930,3447,129,0,7,11958,.630,52,8,25,9,1903,0.94,.488,16.39,129,2.57,8.10,3.15,8.80,4.92,1.23,2,18,25,Arizona Diamondbacks
128,128,1083,1153,628,206,22,171,1050,417,14,1144,40,.261,4380,.329,.435,.764,21,84,.800,.200,80,18868,4.69,1130.0,59,69,30,47,86,17,589,1.38,4889,3390,128,1,6,12090,.640,40,6,49,9,1907,0.94,.461,16.70,127,2.52,8.36,3.32,9.11,5.00,1.36,2,16,34,Baltimore Orioles
129,129,1145,1151,545,164,8,130,1055,426,15,1067,62,.244,4373,.318,.374,.692,35,106,.752,.248,92,18885,3.71,1156.0,70,59,35,58,68,23,477,1.29,4914,3468,129,2,8,12133,.640,62,5,38,2,1637,0.99,.543,16.34,127,2.48,8.21,3.32,8.31,4.24,1.01,8,12,33,Boston Red Sox
129,129,1029,1304,518,181,13,157,983,338,8,1038,41,.241,4303,.301,.399,.700,28,64,.696,.304,88,18095,3.79,1145.2,74,55,33,48,86,15,483,1.20,4735,3437,129,0,13,11860,.660,41,0,23,18,1716,0.79,.574,15.79,129,2.91,7.72,2.66,8.15,4.07,1.23,2,19,32,Chicago Cubs
129,129,996,1281,534,222,13,142,1076,402,10,1008,49,.234,4307,.305,.391,.696,26,88,.772,.228,69,18905,3.78,1143.2,67,62,31,50,83,19,480,1.23,4815,3431,129,3,7,12132,.640,49,2,36,8,1682,0.78,.519,16.53,126,2.68,8.47,3.16,7.93,4.20,1.12,3,22,32,Cincinnati Reds
127,127,1004,1212,536,193,18,136,1062,445,17,1031,43,.242,4256,.318,.392,.710,34,88,.721,.279,72,18816,3.87,1130.0,64,63,37,55,90,18,486,1.31,4798,3390,127,1,10,11964,.640,43,7,39,13,1668,0.83,.504,16.65,126,2.39,8.46,3.54,8.21,4.27,1.08,1,16,37,Cleveland Guardians
129,129,1184,1213,831,278,27,188,855,446,15,1367,50,.300,4558,.365,.496,.861,28,112,.800,.200,110,19209,6.02,1126.1,37,92,25,46,50,21,753,1.61,5118,3379,129,0,2,12123,.630,50,6,53,7,2263,0.98,.287,17.05,129,1.92,6.83,3.56,10.92,6.64,1.50,3,14,47,Colorado Rockies
130,130,1103,1143,531,188,16,143,1111,377,12,1029,51,.237,4340,.304,.387,.691,29,65,.691,.309,90,18640,3.77,1154.1,77,53,34,50,59,16,483,1.22,4818,3463,130,1,14,12070,.650,51,1,35,7,1678,0.97,.592,16.15,129,2.95,8.66,2.94,8.02,4.14,1.11,4,15,31,Detroit Tigers
129,129,976,1167,530,203,15,154,1212,400,7,1009,53,.234,4308,.305,.396,.701,20,129,.866,.134,73,18767,3.90,1149.2,71,58,37,50,74,13,498,1.23,4820,3449,129,3,9,11968,.640,53,4,32,8,1704,0.84,.550,16.32,126,3.03,9.49,3.13,7.90,4.15,1.21,3,21,35,Houston Astros
129,129,1097,1228,497,196,21,130,1012,388,16,1042,36,.240,4344,.306,.384,.690,20,35,.636,.364,90,18565,3.61,1148.0,66,63,38,55,71,17,460,1.25,4804,3444,129,0,10,11900,.640,36,2,40,9,1670,0.89,.512,16.17,129,2.61,7.93,3.04,8.17,3.90,1.02,1,15,20,Kansas City Royals
129,129,1055,1138,575,210,24,152,1135,437,22,1061,56,.245,4331,.320,.410,.730,34,88,.721,.279,74,19096,4.15,1145.2,73,56,36,57,100,21,528,1.31,4882,3437,129,0,6,12126,.640,56,5,51,9,1775,0.93,.566,16.67,129,2.60,8.92,3.43,8.33,4.52,1.19,0,19,39,Los Angeles Dodgers
128,128,1065,1230,701,215,26,162,974,433,4,1188,75,.270,4392,.343,.442,.785,36,85,.702,.298,88,19173,5.31,1125.1,53,75,26,41,56,15,664,1.44,4965,3376,128,0,8,12194,.640,75,3,55,6,1941,0.87,.414,17.04,128,2.25,7.79,3.46,9.50,5.61,1.30,0,18,47,Washington Nationals
128,128,1135,1075,540,199,19,118,1096,454,6,1035,62,.241,4299,.320,.378,.698,30,58,.659,.341,81,19220,3.83,1134.0,68,60,36,58,80,22,483,1.31,4862,3402,128,1,7,12142,.630,62,4,47,5,1626,1.06,.531,16.95,127,2.41,8.70,3.60,8.21,4.29,0.94,5,12,30,New York Mets
