Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.3,5.15,29,31,.483,4.75,60,60,60,0,5,0,18,534.2,511,309,282,75,199,9,507,28,6,11,2307,88,4.27,1.328,8.6,1.3,3.3,8.5,2.55,402
Athletics,27,28.8,6.18,23,39,.371,5.85,62,62,62,0,3,0,14,549.1,606,383,357,94,246,9,490,34,3,12,2502,70,5.04,1.551,9.9,1.5,4.0,8.0,1.99,479
Atlanta Braves,23,29.5,3.92,27,32,.458,3.73,59,59,59,0,3,0,10,521.0,456,231,216,67,192,10,514,24,4,17,2178,110,4.01,1.244,7.9,1.2,3.3,8.9,2.68,393
Baltimore Orioles,28,31.3,5.36,23,36,.390,5.19,59,59,59,0,1,0,12,516.1,548,316,298,89,201,3,464,18,3,24,2265,73,4.79,1.451,9.6,1.6,3.5,8.1,2.31,404
Boston Red Sox,23,29.7,4.46,29,34,.460,3.93,63,63,63,0,4,0,13,566.1,546,281,247,61,205,8,523,28,2,14,2423,107,3.86,1.326,8.7,1.0,3.3,8.3,2.55,458
Chicago Cubs,25,30.8,4.12,38,22,.633,3.83,60,60,60,0,6,0,15,538.2,495,247,229,67,177,5,477,19,0,13,2251,100,4.01,1.248,8.3,1.1,3.0,8.0,2.69,397
Chicago White Sox,23,27.6,4.38,19,42,.311,4.19,61,61,61,0,4,0,5,523.2,494,267,244,66,226,9,442,39,2,14,2286,98,4.54,1.375,8.5,1.1,3.9,7.6,1.96,451
Cincinnati Reds,20,29.3,4.00,30,32,.484,3.71,62,62,62,0,3,0,17,548.0,468,248,226,68,187,5,494,24,2,21,2285,120,4.04,1.195,7.7,1.1,3.1,8.1,2.64,399
Cleveland Guardians,23,27.5,4.31,32,27,.542,4.05,59,59,59,0,7,0,18,519.2,499,254,234,66,219,4,508,16,1,20,2234,100,4.12,1.382,8.6,1.1,3.8,8.8,2.32,425
Colorado Rockies,23,28.1,6.15,11,50,.180,5.49,61,61,61,0,0,0,9,528.1,620,375,322,75,210,8,400,17,2,28,2375,84,4.69,1.571,10.6,1.3,3.6,6.8,1.90,422
Detroit Tigers,20,27.9,3.53,40,22,.645,3.20,62,62,61,1,6,1,19,551.0,464,219,196,58,177,5,530,28,1,13,2275,124,3.63,1.163,7.6,0.9,2.9,8.7,2.99,409
Houston Astros,23,29.2,3.73,33,27,.550,3.59,60,60,57,3,6,0,17,528.1,427,224,211,59,186,2,569,20,1,15,2181,113,3.54,1.160,7.3,1.0,3.2,9.7,3.06,376
Kansas City Royals,19,30.1,3.41,32,29,.525,3.19,61,61,61,0,7,0,20,544.1,477,208,193,58,171,8,496,16,2,25,2243,130,3.66,1.190,7.9,1.0,2.8,8.2,2.90,412
Los Angeles Angels,26,29.9,5.02,28,32,.467,4.80,60,60,60,0,2,0,15,527.0,547,301,281,79,251,17,445,19,5,28,2329,87,4.87,1.514,9.3,1.3,4.3,7.6,1.77,451
Los Angeles Dodgers,29,29.4,4.46,37,24,.607,4.10,61,61,61,0,3,0,18,546.0,495,272,249,78,214,12,556,23,1,28,2310,96,4.19,1.299,8.2,1.3,3.5,9.2,2.60,411
Miami Marlins,21,27.6,5.42,23,36,.390,5.07,59,59,59,0,4,0,11,525.0,536,320,296,72,220,8,468,22,4,18,2308,86,4.45,1.440,9.2,1.2,3.8,8.0,2.13,423
Milwaukee Brewers,26,28.5,4.23,33,29,.532,3.96,62,62,62,0,5,0,15,548.1,500,262,241,66,225,12,505,21,5,14,2344,104,4.14,1.322,8.2,1.1,3.7,8.3,2.24,444
Minnesota Twins,20,28.8,3.50,33,27,.550,3.32,60,60,60,0,5,0,13,528.0,464,210,195,56,148,4,534,29,6,11,2189,125,3.43,1.159,7.9,1.0,2.5,9.1,3.61,403
New York Mets,25,30.5,3.31,38,23,.623,2.86,61,61,61,0,5,0,19,544.1,450,202,173,43,221,3,548,23,3,24,2284,133,3.43,1.233,7.4,0.7,3.7,9.1,2.48,459
New York Yankees,20,31.4,3.78,37,22,.627,3.58,59,59,59,0,5,0,18,521.0,417,223,207,56,199,2,556,12,2,20,2163,111,3.55,1.182,7.2,1.0,3.4,9.6,2.79,383
Philadelphia Phillies,19,30.3,4.37,37,23,.617,3.99,60,60,60,0,5,0,20,539.2,520,262,239,62,187,6,578,18,1,16,2297,104,3.56,1.310,8.7,1.0,3.1,9.6,3.09,426
Pittsburgh Pirates,21,28.4,4.18,22,39,.361,3.94,61,61,60,1,6,0,12,541.0,478,255,237,50,191,9,444,25,1,17,2263,107,3.83,1.237,8.0,0.8,3.2,7.4,2.32,398
San Diego Padres,20,29.5,3.86,35,24,.593,3.51,59,59,57,2,10,2,22,526.0,441,228,205,61,190,6,517,23,3,14,2190,115,3.83,1.200,7.5,1.0,3.3,8.8,2.72,392
Seattle Mariners,26,27.6,4.41,32,27,.542,3.88,59,59,59,0,1,0,18,537.2,536,260,232,63,181,12,470,23,1,13,2302,96,3.98,1.334,9.0,1.1,3.0,7.9,2.60,446
San Francisco Giants,16,29.6,3.44,33,28,.541,3.03,61,61,61,0,4,0,17,538.0,460,210,181,41,184,6,529,21,1,20,2225,126,3.24,1.197,7.7,0.7,3.1,8.8,2.88,410
St. Louis Cardinals,19,30.1,4.22,33,27,.550,3.88,60,60,59,1,7,1,17,530.2,495,253,229,47,167,6,431,19,2,17,2230,105,3.65,1.247,8.4,0.8,2.8,7.3,2.58,393
Tampa Bay Rays,17,27.6,3.60,31,29,.517,3.44,60,60,59,1,5,0,14,536.1,461,216,205,78,159,3,464,23,0,7,2182,113,4.25,1.156,7.7,1.3,2.7,7.8,2.92,362
Texas Rangers,21,32.1,3.38,29,32,.475,3.13,61,61,60,1,6,1,17,531.1,436,206,185,52,174,4,471,17,3,23,2176,120,3.65,1.148,7.4,0.9,2.9,8.0,2.71,376
Toronto Blue Jays,24,31.0,4.35,31,29,.517,4.08,60,60,60,0,4,0,18,535.2,477,261,243,84,175,7,547,27,4,16,2232,103,4.20,1.217,8.0,1.4,2.9,9.2,3.13,374
Washington Nationals,18,28.2,5.17,28,32,.467,5.07,60,60,60,0,4,0,17,527.0,527,310,297,59,208,1,477,40,1,32,2309,79,4.13,1.395,9.0,1.0,3.6,8.1,2.29,421
League Average,22,29.4,4.31,30,30,.500,4.01,60,60,60,0,5,0,16,535,495,260,238,65,196,7,498,23,2,18,2271,101,4.02,1.292,8.3,1.1,3.3,8.4,2.54,413
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,654,29.4,4.31,906,906,.500,4.01,1812,1812,1802,10,136,5,468,16052.2,14851,7813,7150,1950,5890,203,14954,696,72,545,68138,101,4.02,1.292,8.3,1.1,3.3,8.4,2.54,12399
