gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
138,138,1006,1439,716,251,15,195,1135,489,20,1193,67,.253,4709,.329,.437,.766,26,112,.812,.188,78,21196,4.83,1226.1,63,75,30,47,51,17,658,1.37,5331,3679,138,0,9,13289,.630,67,7,26,4,2059,0.70,.457,17.28,138,2.32,8.33,3.59,8.76,5.25,1.43,2,14,50,Athletics
138,138,1142,1317,562,252,20,132,1089,396,14,1082,65,.236,4576,.304,.387,.691,25,92,.786,.214,82,19723,3.88,1216.2,61,77,30,51,60,21,525,1.21,5092,3650,138,1,16,12795,.650,65,1,36,5,1770,0.87,.442,16.21,137,2.75,8.06,2.93,8.00,4.16,0.98,1,17,37,Pittsburgh Pirates
137,137,1017,1345,527,175,15,142,1171,449,19,1002,56,.224,4477,.300,.365,.665,23,89,.795,.205,85,19677,3.63,1209.0,76,61,43,58,90,15,488,1.20,5043,3627,137,2,15,12560,.640,56,5,34,8,1633,0.76,.555,16.28,135,2.61,8.72,3.34,7.46,3.92,1.06,3,17,41,San Diego Padres
137,137,1158,1277,602,211,15,166,1170,409,24,1137,62,.243,4682,.310,.401,.711,25,103,.805,.195,91,20028,3.96,1235.2,73,64,36,58,77,22,544,1.25,5215,3707,137,0,9,13034,.650,62,3,46,3,1876,0.91,.533,16.21,137,2.86,8.52,2.98,8.28,4.38,1.21,2,22,38,Seattle Mariners
137,137,1231,1142,569,245,18,121,1151,431,12,1132,55,.246,4604,.316,.386,.702,32,82,.719,.281,90,19869,3.77,1212.2,68,69,32,50,72,18,508,1.29,5143,3638,137,1,6,12800,.640,55,7,44,9,1776,1.08,.496,16.38,136,2.67,8.54,3.20,8.40,4.22,0.90,1,18,34,San Francisco Giants
138,138,1299,1229,636,228,31,142,1022,387,11,1208,40,.257,4697,.317,.410,.727,29,108,.788,.212,90,19535,4.27,1218.2,68,70,35,54,78,19,578,1.31,5190,3656,138,2,12,12578,.640,40,4,45,8,1924,1.06,.493,16.03,136,2.64,7.55,2.86,8.92,4.70,1.05,5,22,39,St. Louis Cardinals
136,136,1126,1175,564,190,8,177,1179,389,10,1070,54,.237,4518,.303,.400,.703,35,130,.788,.212,105,19152,3.89,1204.1,67,69,31,53,78,22,521,1.21,4997,3613,136,1,10,12471,.650,54,6,23,11,1807,0.96,.493,15.90,135,3.03,8.81,2.91,8.00,4.21,1.32,3,8,25,Tampa Bay Rays
138,138,1134,1286,504,192,12,145,1141,406,20,1032,43,.227,4548,.295,.370,.665,19,98,.838,.162,97,19374,3.43,1225.1,71,67,31,56,71,25,467,1.17,5043,3676,138,2,13,12528,.650,43,4,38,5,1683,0.88,.514,15.81,136,2.81,8.38,2.98,7.58,3.70,1.07,1,17,28,Texas Rangers
137,137,1008,1316,619,206,12,187,1216,434,24,1107,68,.241,4598,.313,.413,.726,31,92,.748,.252,81,20027,4.25,1216.2,79,58,38,60,81,22,574,1.27,5151,3650,137,1,7,12827,.640,68,7,29,8,1898,0.77,.577,16.46,136,2.80,9.00,3.21,8.19,4.58,1.38,2,12,37,Toronto Blue Jays
136,136,1002,1361,636,227,11,162,1137,380,15,1192,56,.258,4625,.319,.417,.736,34,109,.762,.238,68,19975,4.46,1197.0,62,74,26,46,82,20,593,1.31,5128,3591,136,1,7,12940,.650,56,7,37,9,1927,0.74,.456,16.69,135,2.99,8.55,2.86,8.96,4.78,1.22,0,17,50,Minnesota Twins
137,137,1130,1159,551,209,13,146,1256,368,8,1140,46,.245,4646,.306,.390,.696,35,80,.696,.304,73,19675,3.81,1216.1,79,58,37,58,66,21,515,1.24,5099,3649,137,2,11,12787,.650,46,4,29,14,1813,0.97,.577,16.18,135,3.41,9.29,2.72,8.44,4.08,1.08,0,13,26,Philadelphia Phillies
137,137,1140,1201,621,220,20,165,1175,457,20,1128,58,.245,4595,.319,.410,.729,32,127,.799,.201,73,20242,4.38,1212.1,62,75,27,45,57,18,590,1.31,5159,3637,137,1,7,12918,.640,58,7,35,15,1883,0.95,.453,16.70,136,2.57,8.72,3.39,8.37,4.61,1.22,0,15,34,Atlanta Braves
137,137,1050,1378,628,250,19,154,1056,507,25,1131,69,.248,4564,.330,.412,.742,26,120,.822,.178,99,20128,4.24,1198.1,49,88,18,38,56,20,564,1.37,5196,3595,137,0,8,12571,.620,69,7,34,15,1881,0.76,.358,16.80,137,2.08,7.93,3.81,8.49,4.72,1.16,5,11,40,Chicago White Sox
137,137,1176,1298,682,243,20,160,1079,434,14,1162,65,.249,4665,.319,.413,.732,19,169,.899,.101,80,20235,4.68,1216.1,65,72,34,54,73,20,632,1.31,5218,3649,137,0,9,12949,.640,65,6,48,3,1925,0.91,.474,16.64,137,2.49,7.98,3.21,8.60,5.05,1.18,4,9,41,Miami Marlins
137,137,1150,1189,585,206,19,149,1226,477,11,1053,49,.230,4582,.308,.381,.689,23,86,.789,.211,84,20155,3.92,1217.2,76,61,35,55,83,20,530,1.26,5149,3653,137,0,10,12784,.630,49,7,41,16,1744,0.97,.555,16.55,137,2.57,9.06,3.53,7.78,4.32,1.10,5,11,25,New York Yankees
138,138,1080,1297,540,193,13,146,1204,454,17,1060,52,.231,4592,.305,.374,.679,26,69,.726,.274,89,20233,3.60,1228.2,85,53,39,57,95,18,492,1.23,5149,3686,138,0,12,12906,.640,52,5,29,6,1717,0.83,.616,16.47,138,2.65,8.82,3.33,7.76,3.96,1.07,2,17,32,Milwaukee Brewers
136,136,1149,1270,682,197,19,186,1067,517,38,1207,40,.261,4631,.337,.432,.769,21,91,.813,.188,123,20250,4.72,1205.0,64,72,32,60,72,28,632,1.43,5251,3615,136,0,7,12889,.640,40,8,51,6,2000,0.90,.471,16.80,136,2.06,7.97,3.86,9.01,5.09,1.39,1,15,47,Los Angeles Angels
138,138,1196,1284,663,281,24,165,1100,431,19,1202,52,.254,4735,.321,.428,.749,22,93,.809,.191,94,20210,4.49,1227.2,68,70,38,63,73,25,612,1.33,5267,3683,138,0,8,12817,.630,52,8,27,9,2026,0.93,.493,16.46,138,2.55,8.06,3.16,8.81,4.86,1.21,2,20,27,Arizona Diamondbacks
137,137,1157,1237,683,218,23,187,1125,439,14,1233,42,.263,4696,.329,.438,.767,23,89,.795,.205,86,20116,4.73,1209.0,61,76,31,49,87,18,636,1.38,5235,3627,137,1,6,12894,.640,42,7,50,9,2058,0.94,.445,16.64,136,2.56,8.37,3.27,9.18,5.08,1.39,2,17,39,Baltimore Orioles
138,138,1217,1220,576,182,8,139,1148,456,16,1135,67,.243,4672,.317,.375,.692,37,109,.747,.253,98,20115,3.68,1236.0,76,62,39,63,73,24,506,1.29,5251,3708,138,2,9,12930,.640,67,5,40,2,1750,1.00,.551,16.27,136,2.52,8.36,3.32,8.26,4.19,1.01,8,14,34,Boston Red Sox
137,137,1084,1388,559,194,16,169,1043,355,8,1110,44,.243,4569,.301,.403,.704,28,67,.705,.295,94,19153,3.86,1214.0,78,59,36,51,91,15,521,1.21,5026,3642,137,0,13,12546,.660,44,1,24,18,1843,0.78,.569,15.78,137,2.94,7.73,2.63,8.23,4.14,1.25,2,19,37,Chicago Cubs
137,137,1048,1354,578,236,16,155,1158,426,11,1073,53,.235,4574,.305,.395,.700,29,92,.760,.240,71,20128,3.84,1212.2,69,68,32,51,86,19,518,1.24,5116,3638,137,3,7,12918,.640,53,2,40,8,1806,0.77,.504,16.60,134,2.72,8.59,3.16,7.96,4.29,1.15,4,22,37,Cincinnati Reds
135,135,1070,1286,574,208,18,149,1122,470,18,1101,45,.243,4525,.318,.396,.714,37,95,.720,.280,79,19982,3.92,1201.0,68,67,39,57,92,18,523,1.31,5095,3603,135,1,11,12713,.640,45,7,40,15,1792,0.83,.504,16.64,134,2.39,8.41,3.52,8.25,4.30,1.12,1,16,38,Cleveland Guardians
137,137,1240,1293,869,292,30,202,912,478,17,1437,53,.298,4818,.365,.497,.862,29,117,.801,.199,116,20322,5.96,1194.1,39,98,25,47,51,22,791,1.60,5416,3583,137,0,2,12818,.630,53,6,55,7,2395,0.96,.285,17.02,137,1.91,6.87,3.60,10.83,6.55,1.52,3,14,50,Colorado Rockies
138,138,1172,1213,571,204,16,155,1173,400,13,1099,52,.238,4608,.305,.391,.696,32,65,.670,.330,98,19721,3.80,1223.2,80,58,36,54,62,18,517,1.23,5113,3671,138,1,15,12771,.650,52,1,42,7,1800,0.97,.580,16.12,137,2.93,8.63,2.94,8.08,4.20,1.14,4,17,32,Detroit Tigers
137,137,1040,1229,557,209,15,163,1296,431,7,1058,56,.232,4566,.304,.391,.695,22,140,.864,.136,75,19934,3.83,1220.2,75,62,40,54,77,14,519,1.22,5114,3662,137,3,11,12693,.640,56,4,35,9,1786,0.85,.547,16.33,134,3.01,9.56,3.18,7.80,4.11,1.20,4,22,35,Houston Astros
