Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,24,30.3,5.08,30,31,.492,4.68,61,61,61,0,5,0,19,543.2,514,310,283,75,204,10,520,29,6,12,2343,89,4.24,1.321,8.5,1.2,3.4,8.6,2.55,410
Athletics,27,28.8,6.17,23,40,.365,5.84,63,63,63,0,3,0,14,558.1,614,389,362,96,250,9,499,34,3,12,2541,71,5.05,1.547,9.9,1.5,4.0,8.0,2.00,485
Atlanta Braves,23,29.6,3.88,27,33,.450,3.70,60,60,60,0,3,0,10,530.0,461,233,218,67,199,10,526,25,4,17,2217,110,4.00,1.245,7.8,1.1,3.4,8.9,2.64,403
Baltimore Orioles,28,31.2,5.30,24,36,.400,5.14,60,60,60,0,1,0,13,525.1,553,318,300,89,204,3,475,19,3,24,2299,75,4.74,1.441,9.5,1.5,3.5,8.1,2.33,409
Boston Red Sox,23,29.7,4.53,30,34,.469,4.00,64,64,64,0,4,0,13,575.1,557,290,256,62,209,8,531,28,2,14,2465,105,3.86,1.331,8.7,1.0,3.3,8.3,2.54,464
Chicago Cubs,25,30.9,4.08,38,23,.623,3.80,61,61,61,0,6,0,15,546.2,499,249,231,68,178,5,483,19,0,13,2279,101,4.01,1.238,8.2,1.1,2.9,8.0,2.71,399
Chicago White Sox,23,27.6,4.39,19,43,.306,4.21,62,62,62,0,4,0,5,532.2,504,272,249,66,229,9,449,40,2,14,2327,99,4.51,1.376,8.5,1.1,3.9,7.6,1.96,460
Cincinnati Reds,21,29.3,4.08,30,33,.476,3.80,63,63,63,0,3,0,17,557.0,481,257,235,71,189,5,501,24,2,21,2328,117,4.08,1.203,7.8,1.1,3.1,8.1,2.65,406
Cleveland Guardians,23,27.5,4.23,33,27,.550,3.98,60,60,60,0,8,0,18,528.2,504,254,234,66,222,4,518,16,1,20,2267,102,4.09,1.373,8.6,1.1,3.8,8.8,2.33,431
Colorado Rockies,23,28.1,6.08,12,50,.194,5.39,62,62,62,0,0,0,10,537.1,625,377,322,75,210,8,406,18,2,28,2406,85,4.65,1.554,10.5,1.3,3.5,6.8,1.93,424
Detroit Tigers,21,28.0,3.54,41,22,.651,3.21,63,63,62,1,6,1,20,560.0,471,223,200,58,179,5,537,28,1,13,2310,123,3.61,1.161,7.6,0.9,2.9,8.6,3.00,413
Houston Astros,23,29.1,3.72,33,28,.541,3.59,61,61,58,3,6,0,17,536.1,435,227,214,59,188,2,576,21,1,15,2214,113,3.53,1.162,7.3,1.0,3.2,9.7,3.06,382
Kansas City Royals,19,30.1,3.41,32,29,.525,3.19,61,61,61,0,7,0,20,544.1,477,208,193,58,171,8,496,16,2,25,2243,130,3.67,1.190,7.9,1.0,2.8,8.2,2.90,412
Los Angeles Angels,27,29.9,5.11,28,33,.459,4.88,61,61,61,0,2,0,15,535.1,559,312,290,80,256,17,451,21,5,28,2372,85,4.88,1.522,9.4,1.3,4.3,7.6,1.76,458
Los Angeles Dodgers,29,29.4,4.48,37,25,.597,4.12,62,62,62,0,3,0,18,555.0,499,278,254,80,218,12,563,25,1,28,2347,95,4.23,1.292,8.1,1.3,3.5,9.1,2.58,415
Miami Marlins,21,27.6,5.38,23,37,.383,5.04,60,60,60,0,4,0,11,534.0,542,323,299,72,221,8,476,22,4,19,2341,86,4.41,1.429,9.1,1.2,3.7,8.0,2.15,426
Milwaukee Brewers,26,28.5,4.17,34,29,.540,3.91,63,63,63,0,5,0,15,557.1,504,263,242,66,230,12,512,21,5,15,2379,104,4.13,1.317,8.1,1.1,3.7,8.3,2.23,451
Minnesota Twins,20,28.8,3.46,34,27,.557,3.28,61,61,61,0,5,0,13,537.0,469,211,196,56,152,4,548,29,6,11,2224,126,3.40,1.156,7.9,0.9,2.5,9.2,3.61,410
New York Mets,25,30.5,3.27,39,23,.629,2.83,62,62,62,0,5,0,19,553.1,456,203,174,44,222,3,558,24,3,24,2319,134,3.42,1.225,7.4,0.7,3.6,9.1,2.51,466
New York Yankees,20,31.4,3.78,37,23,.617,3.58,60,60,60,0,5,0,18,530.0,429,227,211,58,200,2,568,12,2,20,2202,111,3.55,1.187,7.3,1.0,3.4,9.6,2.84,391
Philadelphia Phillies,19,30.2,4.33,37,24,.607,3.96,61,61,61,0,5,0,20,548.1,525,264,241,62,187,6,582,18,1,17,2328,105,3.54,1.298,8.6,1.0,3.1,9.6,3.11,429
