Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,28,30.3,5.09,35,34,.507,4.70,69,69,69,0,5,0,22,616.0,591,351,322,89,234,10,582,30,7,14,2654,89,4.35,1.339,8.6,1.3,3.4,8.5,2.49,466
Athletics,28,28.8,5.96,27,44,.380,5.61,71,71,71,0,3,0,15,629.0,677,423,392,104,277,10,561,38,3,15,2840,74,4.95,1.517,9.7,1.5,4.0,8.0,2.03,539
Atlanta Braves,25,29.5,3.93,30,38,.441,3.73,68,68,67,1,3,0,10,600.1,519,267,249,76,222,10,603,29,4,19,2502,110,3.97,1.234,7.8,1.1,3.3,9.0,2.72,444
Baltimore Orioles,28,31.3,5.07,28,40,.412,4.93,68,68,68,0,2,0,16,595.1,622,345,326,94,220,3,556,20,3,25,2591,77,4.47,1.414,9.4,1.4,3.3,8.4,2.53,464
Boston Red Sox,23,29.8,4.62,35,36,.493,4.03,71,71,71,0,4,0,17,640.1,615,328,287,71,235,10,595,32,3,15,2742,103,3.91,1.327,8.6,1.0,3.3,8.4,2.53,511
Chicago Cubs,25,30.9,3.96,42,28,.600,3.63,70,70,70,0,6,0,16,626.2,577,277,253,73,197,6,544,23,0,13,2606,105,3.91,1.235,8.3,1.0,2.8,7.8,2.76,461
Chicago White Sox,26,27.7,4.33,23,47,.329,4.18,70,70,70,0,4,0,7,602.2,584,303,280,75,252,10,504,42,2,16,2624,99,4.49,1.387,8.7,1.1,3.8,7.5,2.00,517
Cincinnati Reds,22,29.4,4.13,35,35,.500,3.88,70,70,69,1,4,1,19,619.0,538,289,267,82,211,6,558,28,2,21,2585,115,4.15,1.210,7.8,1.2,3.1,8.1,2.64,446
Cleveland Guardians,23,27.4,4.21,35,33,.515,3.95,68,68,68,0,8,0,19,599.2,580,286,263,75,246,7,572,19,2,21,2576,104,4.12,1.377,8.7,1.1,3.7,8.6,2.33,496
Colorado Rockies,23,28.1,6.33,13,56,.188,5.72,69,69,69,0,0,0,10,599.1,710,437,381,90,245,8,467,22,2,34,2711,80,4.81,1.593,10.7,1.4,3.7,7.0,1.91,483
Detroit Tigers,22,28.0,3.55,46,25,.648,3.25,71,71,70,1,7,1,23,631.1,540,252,228,69,200,6,607,30,1,16,2608,124,3.67,1.172,7.7,1.0,2.9,8.7,3.04,469
Houston Astros,23,29.1,3.62,39,30,.565,3.49,69,69,66,3,6,0,20,608.1,494,250,236,67,213,3,672,23,1,16,2508,117,3.46,1.162,7.3,1.0,3.2,9.9,3.15,438
Kansas City Royals,20,30.0,3.69,34,36,.486,3.43,70,70,70,0,7,0,22,623.2,552,258,238,69,206,9,569,20,2,29,2592,121,3.78,1.215,8.0,1.0,3.0,8.2,2.76,474
Los Angeles Angels,27,29.9,4.96,33,35,.485,4.72,68,68,68,0,2,0,18,598.1,617,337,314,88,273,19,507,22,5,28,2633,89,4.77,1.487,9.3,1.3,4.1,7.6,1.86,506
Los Angeles Dodgers,30,29.4,4.56,41,29,.586,4.19,70,70,70,0,3,0,21,625.0,574,319,291,89,252,13,623,29,1,31,2665,94,4.28,1.322,8.3,1.3,3.6,9.0,2.47,483
Miami Marlins,22,27.6,5.46,26,41,.388,5.12,67,67,67,0,4,0,13,594.0,612,366,338,82,237,8,534,26,4,20,2609,85,4.40,1.429,9.3,1.2,3.6,8.1,2.25,472
Milwaukee Brewers,27,28.4,4.01,38,33,.535,3.78,71,71,71,0,6,0,18,629.1,562,285,264,73,255,12,587,24,5,17,2674,106,4.05,1.298,8.0,1.0,3.6,8.4,2.30,508
Minnesota Twins,22,28.7,4.10,36,33,.522,3.91,69,69,69,0,5,0,14,607.0,563,283,264,74,182,4,600,32,7,14,2560,107,3.74,1.227,8.3,1.1,2.7,8.9,3.30,464
New York Mets,26,30.5,3.30,45,25,.643,2.86,70,70,69,1,6,1,22,625.1,528,231,199,50,242,4,617,26,3,26,2614,133,3.43,1.231,7.6,0.7,3.5,8.9,2.55,518
New York Yankees,20,31.3,3.84,42,26,.618,3.63,68,68,68,0,7,0,21,602.2,492,261,243,68,229,3,635,16,3,21,2510,113,3.66,1.196,7.3,1.0,3.4,9.5,2.77,448
Philadelphia Phillies,22,30.1,4.28,40,29,.580,3.94,69,69,69,0,6,0,20,619.0,593,295,271,72,211,6,645,19,1,19,2627,106,3.62,1.299,8.6,1.0,3.1,9.4,3.06,487
Pittsburgh Pirates,21,28.4,3.96,29,42,.408,3.74,71,71,70,1,7,0,16,631.0,543,281,262,58,211,10,528,25,1,19,2613,112,3.72,1.195,7.7,0.8,3.0,7.5,2.50,453
San Diego Padres,20,29.4,3.82,38,30,.559,3.46,68,68,66,2,12,2,24,604.0,507,260,232,68,229,7,590,27,3,17,2530,119,3.86,1.219,7.6,1.0,3.4,8.8,2.58,467
Seattle Mariners,26,27.5,4.51,34,34,.500,4.03,68,68,68,0,1,0,19,616.0,604,307,276,80,212,14,552,26,1,20,2632,93,4.13,1.325,8.8,1.2,3.1,8.1,2.60,496
San Francisco Giants,17,29.3,3.54,41,29,.586,3.12,70,70,70,0,4,0,21,619.2,531,248,215,49,218,8,604,24,1,25,2574,121,3.33,1.209,7.7,0.7,3.2,8.8,2.77,477
St. Louis Cardinals,20,30.2,4.31,36,34,.514,4.00,70,70,69,1,8,1,17,620.2,605,302,276,57,188,8,492,21,2,19,2621,102,3.70,1.278,8.8,0.8,2.7,7.1,2.62,467
Tampa Bay Rays,18,27.6,3.75,37,32,.536,3.49,69,69,68,1,5,0,17,618.1,541,259,240,90,185,5,556,27,1,8,2533,112,4.20,1.174,7.9,1.3,2.7,8.1,3.01,427
Texas Rangers,21,32.0,3.33,34,36,.486,3.13,70,70,68,2,7,1,19,609.0,502,233,212,58,193,4,543,19,3,25,2485,120,3.58,1.141,7.4,0.9,2.9,8.0,2.81,425
Toronto Blue Jays,25,30.9,4.35,38,31,.551,4.12,69,69,69,0,4,0,23,615.2,549,300,282,96,207,7,620,30,4,16,2572,102,4.24,1.228,8.0,1.4,3.0,9.1,3.00,436
Washington Nationals,18,28.1,5.09,30,39,.435,4.96,69,69,69,0,6,0,19,606.0,607,351,334,71,236,1,541,45,2,33,2653,80,4.21,1.391,9.0,1.1,3.5,8.0,2.29,488
League Average,23,29.3,4.32,35,35,.500,4.02,69,69,69,0,5,0,18,614,571,299,274,75,224,8,572,26,3,20,2608,101,4.03,1.294,8.4,1.1,3.3,8.4,2.55,474
Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
,679,29.3,4.32,1040,1040,.500,4.02,2080,2080,2066,14,152,7,538,18432.2,17129,8984,8235,2257,6718,231,17164,794,79,612,78244,101,4.03,1.294,8.4,1.1,3.3,8.4,2.55,14230
