gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
139,139,1008,1452,719,252,15,196,1147,490,20,1201,68,.253,4744,.329,.437,.766,26,112,.812,.188,78,21342,4.82,1235.1,64,75,30,47,52,17,661,1.37,5368,3706,139,0,9,13385,.630,68,7,27,4,2071,0.69,.460,17.28,139,2.34,8.36,3.57,8.75,5.24,1.43,2,14,50,Athletics
138,138,1142,1317,562,252,20,132,1089,396,14,1082,65,.236,4576,.304,.387,.691,25,92,.786,.214,82,19723,3.88,1216.2,61,77,30,51,60,21,525,1.21,5092,3650,138,1,16,12795,.650,65,1,36,5,1770,0.87,.442,16.21,137,2.75,8.06,2.93,8.00,4.16,0.98,1,17,37,Pittsburgh Pirates
138,138,1023,1352,531,178,15,143,1184,451,19,1013,56,.224,4514,.300,.366,.666,23,89,.795,.205,85,19849,3.64,1218.0,76,62,43,58,90,15,492,1.20,5082,3654,138,2,15,12674,.640,56,5,35,8,1650,0.76,.551,16.30,136,2.63,8.75,3.33,7.49,3.92,1.06,3,17,41,San Diego Padres
138,138,1167,1283,612,215,15,168,1178,410,24,1150,62,.244,4718,.310,.403,.713,25,104,.806,.194,92,20175,3.99,1243.2,73,65,36,58,77,22,552,1.25,5252,3731,138,0,9,13130,.650,62,3,46,3,1899,0.91,.529,16.22,138,2.87,8.52,2.97,8.32,4.43,1.22,2,22,38,Seattle Mariners
138,138,1237,1150,571,248,18,121,1161,431,12,1145,55,.247,4641,.316,.386,.702,32,82,.719,.281,93,20007,3.76,1221.2,69,69,32,50,72,18,510,1.29,5180,3665,138,1,6,12896,.640,55,7,44,9,1792,1.08,.500,16.38,137,2.69,8.55,3.18,8.44,4.21,0.89,1,18,34,San Francisco Giants
139,139,1313,1235,647,233,31,145,1028,390,11,1223,40,.258,4737,.318,.412,.730,30,108,.783,.217,91,19657,4.30,1227.2,68,71,35,54,78,19,586,1.31,5234,3683,139,2,12,12660,.640,40,4,45,8,1953,1.06,.489,16.01,137,2.64,7.54,2.86,8.97,4.74,1.06,5,23,39,St. Louis Cardinals
137,137,1134,1181,566,192,8,178,1189,391,10,1080,54,.237,4552,.304,.400,.704,36,131,.784,.216,107,19282,3.88,1213.1,68,69,31,53,78,22,523,1.21,5033,3640,137,1,10,12555,.650,54,6,23,12,1822,0.96,.496,15.89,136,3.04,8.82,2.90,8.01,4.20,1.32,3,8,25,Tampa Bay Rays
139,139,1146,1293,509,193,13,148,1151,407,20,1039,43,.227,4584,.294,.371,.665,19,100,.840,.160,98,19519,3.44,1235.1,72,67,32,57,71,25,472,1.17,5080,3706,139,2,13,12624,.650,43,4,38,5,1702,0.89,.518,15.80,137,2.83,8.39,2.97,7.57,3.71,1.08,1,17,28,Texas Rangers
138,138,1016,1325,624,209,13,187,1224,436,24,1118,68,.241,4634,.313,.413,.726,31,92,.748,.252,81,20188,4.25,1225.0,79,59,38,61,82,23,579,1.27,5189,3675,138,1,7,12924,.640,68,7,29,8,1914,0.77,.572,16.48,137,2.81,8.99,3.20,8.21,4.58,1.37,2,12,37,Toronto Blue Jays
137,137,1011,1373,642,231,11,164,1142,383,15,1204,56,.258,4663,.319,.418,.737,34,109,.762,.238,69,20118,4.47,1206.0,62,75,26,47,82,21,599,1.32,5169,3618,137,1,7,13035,.650,56,7,37,9,1949,0.74,.453,16.68,136,2.98,8.52,2.86,8.99,4.79,1.22,0,17,50,Minnesota Twins
