gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
77,77,563,819,451,150,9,113,608,291,10,736,45,.274,2685,.351,.463,.814,12,70,.854,40,11979,5.52,679.1,30,46,16,31,35,15,417,1.51,3063,2038,77,0,4,7484,.620,45,5,15,4,1243,0.69,.395,17.63,76,2.09,8.05,3.86,9.75,5.97,1.50,1,8,33,Athletics
76,76,672,723,306,137,12,65,565,226,11,582,27,.232,2508,.300,.374,.674,15,62,.805,53,10800,3.82,674.1,30,46,16,30,39,14,286,1.20,2795,2023,76,1,7,6980,.650,27,1,21,3,938,0.93,.395,16.02,75,2.50,7.54,3.02,7.77,4.08,0.87,0,9,25,Pittsburgh Pirates
74,74,543,719,288,99,8,74,642,244,8,550,30,.227,2421,.303,.366,.669,10,44,.815,47,10588,3.58,650.1,39,34,24,33,48,9,259,1.22,2730,1951,74,2,12,6731,.640,30,3,18,3,887,0.76,.534,16.28,71,2.63,8.88,3.38,7.61,3.99,1.02,2,9,24,San Diego Padres
73,73,631,692,315,110,10,84,596,223,14,625,28,.249,2510,.315,.401,.716,13,53,.803,59,10711,3.87,661.0,37,36,19,31,34,12,284,1.28,2796,1983,73,0,3,6923,.650,28,1,21,2,1007,0.91,.507,16.20,73,2.67,8.11,3.04,8.51,4.29,1.14,1,13,21,Seattle Mariners
75,75,684,600,272,106,15,57,642,235,9,570,24,.231,2466,.302,.356,.658,23,42,.646,42,10530,3.23,662.2,42,33,22,34,54,12,238,1.21,2756,1988,75,0,4,6775,.640,24,1,25,6,877,1.14,.560,15.89,75,2.73,8.72,3.19,7.74,3.69,0.77,1,10,20,San Francisco Giants
75,75,721,677,322,126,16,62,540,202,9,646,23,.254,2548,.311,.389,.700,15,61,.803,45,10572,3.97,665.2,40,35,19,30,45,11,294,1.27,2812,1997,75,1,8,6830,.650,23,2,24,3,990,1.06,.533,15.88,74,2.67,7.30,2.73,8.73,4.35,0.84,3,12,24,St. Louis Cardinals
75,75,660,666,281,91,3,98,605,203,6,587,30,.234,2504,.298,.391,.689,21,68,.764,71,10466,3.49,672.1,41,34,17,27,46,10,261,1.18,2754,2017,75,1,6,6822,.650,30,1,9,5,978,0.99,.547,15.57,74,2.98,8.10,2.72,7.86,3.76,1.31,2,3,12,Tampa Bay Rays
75,75,638,685,254,96,7,66,585,207,7,540,19,.223,2426,.287,.350,.637,14,54,.794,49,10284,3.20,656.0,36,39,20,32,46,12,233,1.14,2675,1968,75,2,7,6651,.650,19,3,26,4,848,0.93,.480,15.68,73,2.83,8.03,2.84,7.41,3.48,0.91,1,7,15,Texas Rangers
74,74,547,703,328,104,6,101,659,228,8,594,36,.239,2481,.310,.408,.718,21,41,.661,38,10801,4.24,658.2,40,34,23,34,39,11,310,1.25,2767,1976,74,0,4,6936,.640,36,5,16,5,1013,0.78,.541,16.40,74,2.89,9.00,3.12,8.12,4.48,1.38,0,3,19,Toronto Blue Jays
74,74,545,719,303,116,3,77,641,197,4,595,34,.241,2472,.303,.383,.686,20,55,.733,31,10676,3.90,648.0,37,37,14,27,50,13,281,1.22,2731,1944,74,1,5,6941,.650,34,7,16,6,948,0.76,.500,16.48,73,3.25,8.90,2.74,8.26,4.21,1.07,0,8,20,Minnesota Twins
75,75,625,643,314,124,10,75,692,222,6,637,22,.248,2571,.311,.391,.702,22,55,.714,40,11031,3.87,672.0,45,30,24,39,37,15,289,1.28,2841,2016,75,0,6,7163,.650,22,1,19,8,1006,0.97,.600,16.42,75,3.12,9.27,2.97,8.53,4.21,1.00,0,8,18,Philadelphia Phillies
73,73,615,581,283,114,9,79,669,232,10,551,31,.230,2392,.305,.385,.690,21,66,.759,41,10542,3.66,646.1,34,39,10,22,27,12,263,1.21,2679,1939,73,1,4,6799,.640,31,5,19,9,920,1.06,.466,16.31,72,2.88,9.32,3.23,7.67,3.94,1.10,0,9,15,Atlanta Braves
75,75,572,761,335,143,14,81,548,278,13,637,46,.256,2490,.339,.422,.761,18,62,.775,55,10957,4.24,649.1,23,52,7,21,37,14,306,1.41,2844,1948,75,0,4,6800,.620,46,2,18,10,1051,0.75,.307,16.87,75,1.97,7.60,3.85,8.83,4.64,1.12,2,4,24,Chicago White Sox
73,73,620,697,384,130,14,87,570,258,9,658,31,.261,2518,.335,.428,.763,12,101,.894,44,10988,4.94,648.0,29,44,15,28,37,13,356,1.41,2836,1944,73,0,4,6944,.630,31,4,23,2,1077,0.89,.397,16.96,73,2.21,7.92,3.58,9.14,5.33,1.21,2,4,23,Miami Marlins
74,74,605,636,278,102,9,74,688,244,5,533,20,.218,2441,.293,.358,.651,14,51,.785,40,10600,3.52,656.2,43,31,21,28,44,7,257,1.18,2728,1970,74,0,7,6736,.640,20,3,22,10,875,0.95,.581,16.14,74,2.82,9.43,3.34,7.31,3.81,1.01,2,7,14,New York Yankees
75,75,577,735,307,103,8,81,620,267,12,595,29,.238,2495,.317,.384,.701,18,40,.690,48,11124,3.85,664.1,40,35,20,30,49,10,284,1.30,2825,1993,75,0,6,7045,.630,29,5,19,3,957,0.79,.533,16.74,75,2.32,8.40,3.62,8.06,4.16,1.10,2,13,19,Milwaukee Brewers
74,74,635,671,363,107,8,97,565,290,22,667,24,.266,2507,.345,.431,.776,10,54,.844,76,11093,4.67,651.1,36,38,20,33,46,13,338,1.47,2853,1954,74,0,4,7002,.630,24,5,29,2,1081,0.95,.486,17.03,74,1.95,7.81,4.01,9.22,5.02,1.34,1,6,25,Los Angeles Angels
74,74,650,654,384,150,11,99,619,250,12,643,36,.253,2546,.327,.437,.764,14,45,.763,49,11032,4.80,659.1,37,37,22,36,43,14,352,1.35,2853,1978,74,0,5,6942,.630,36,7,14,6,1112,0.99,.500,16.73,74,2.48,8.45,3.41,8.78,5.24,1.35,1,7,13,Arizona Diamondbacks
74,74,608,654,373,136,15,101,611,240,3,682,24,.270,2530,.337,.455,.792,10,49,.831,49,10950,4.92,647.1,32,42,18,26,61,8,354,1.42,2820,1942,74,0,2,6949,.630,24,3,28,8,1151,0.93,.432,16.92,74,2.55,8.49,3.34,9.48,5.19,1.40,1,8,17,Baltimore Orioles
76,76,671,665,340,103,2,72,645,252,10,645,32,.249,2594,.320,.373,.693,21,71,.772,59,11243,3.93,684.1,39,37,21,35,38,14,299,1.31,2915,2053,76,0,6,7196,.640,32,3,17,2,968,1.01,.513,16.43,76,2.56,8.48,3.31,8.48,4.47,0.95,5,8,24,Boston Red Sox
74,74,592,747,291,103,12,78,573,209,7,607,24,.244,2491,.306,.389,.695,19,44,.698,59,10547,3.62,663.2,45,29,18,26,49,8,267,1.23,2754,1991,74,0,6,6895,.650,24,0,13,9,968,0.79,.608,15.89,74,2.74,7.77,2.83,8.23,3.95,1.06,2,11,17,Chicago Cubs
75,75,568,768,313,127,7,91,596,229,6,579,32,.234,2479,.305,.401,.706,18,60,.769,38,10917,3.91,661.0,39,36,20,28,47,8,287,1.22,2774,1983,75,2,4,6985,.640,32,2,21,7,993,0.74,.520,16.52,73,2.60,8.11,3.12,7.88,4.26,1.24,2,15,17,Cincinnati Reds
73,73,548,695,302,116,5,77,610,269,9,613,26,.251,2440,.330,.398,.728,21,62,.747,43,10986,3.91,642.1,37,36,21,28,56,7,279,1.37,2762,1927,73,0,8,6935,.630,26,4,22,6,970,0.79,.507,17.10,73,2.27,8.55,3.77,8.59,4.23,1.08,1,8,18,Cleveland Guardians
75,75,709,681,457,147,12,97,498,262,8,755,22,.290,2601,.356,.468,.824,20,78,.796,65,11051,5.48,654.0,17,58,12,25,30,13,398,1.56,2928,1962,75,0,0,6968,.630,22,2,36,3,1217,1.04,.227,16.90,75,1.90,6.85,3.61,10.39,6.29,1.33,1,9,33,Colorado Rockies
76,76,655,669,284,98,9,77,648,217,7,586,30,.232,2525,.298,.370,.668,16,33,.673,55,10874,3.36,677.1,48,28,23,33,39,10,253,1.19,2807,2032,76,1,7,7047,.650,30,1,18,5,933,0.98,.632,16.05,75,2.99,8.61,2.88,7.79,3.77,1.02,2,10,23,Detroit Tigers
75,75,529,664,265,119,7,74,727,227,3,529,27,.218,2425,.291,.365,.656,13,80,.860,42,10612,3.42,658.1,43,31,20,27,45,7,250,1.15,2706,1975,75,3,6,6812,.640,27,1,17,4,884,0.80,.581,16.12,71,3.20,9.94,3.10,7.23,3.62,1.01,3,8,16,Houston Astros
75,75,637,695,270,115,9,73,613,216,9,587,23,.234,2512,.299,.374,.673,12,16,.571,54,10721,3.36,668.2,37,38,24,31,42,7,250,1.20,2772,2006,75,0,7,6917,.650,23,2,29,3,939,0.92,.493,16.03,75,2.84,8.25,2.91,7.90,3.63,0.98,1,8,12,Kansas City Royals
76,76,629,661,342,118,13,94,668,268,15,613,33,.241,2546,.319,.408,.727,17,59,.776,47,11269,4.16,675.0,46,29,24,36,61,12,312,1.31,2872,2025,76,0,3,7137,.630,33,2,33,6,1039,0.95,.613,16.69,75,2.49,8.91,3.57,8.17,4.56,1.25,0,6,19,Los Angeles Dodgers
75,75,609,722,380,109,21,85,596,247,1,666,49,.260,2557,.334,.419,.753,21,59,.738,44,11227,4.91,662.0,31,44,19,29,33,10,361,1.38,2889,1986,75,0,6,7171,.640,49,2,34,3,1072,0.84,.413,16.96,75,2.41,8.10,3.36,9.05,5.17,1.16,0,11,25,Washington Nationals
75,75,652,639,265,103,13,54,652,272,5,571,28,.230,2488,.311,.346,.657,21,30,.588,52,11088,3.05,669.0,45,30,22,36,50,14,227,1.26,2816,2007,75,1,6,6993,.630,28,3,31,3,862,1.02,.600,16.57,74,2.40,8.77,3.66,7.68,3.57,0.73,2,9,17,New York Mets
