gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
92,92,666,989,524,175,11,135,731,343,19,857,53,.268,3200,.345,.456,.801,15,80,.842,50,14301,5.32,815.0,37,55,21,38,38,17,482,1.47,3641,2445,92,0,6,8930,.620,53,6,20,4,1459,0.67,.402,17.55,92,2.13,8.07,3.79,9.46,5.79,1.49,2,9,34,Athletics
91,91,792,865,347,160,13,78,680,268,12,690,34,.231,2991,.299,.371,.670,18,67,.788,63,12911,3.61,804.1,38,53,18,33,43,15,323,1.19,3329,2413,91,1,10,8328,.650,34,1,25,3,1110,0.92,.418,16.05,90,2.54,7.61,3.00,7.72,3.88,0.87,0,9,27,Pittsburgh Pirates
89,89,661,878,351,117,10,88,764,292,10,678,34,.230,2942,.305,.367,.672,13,63,.829,53,12822,3.66,787.0,48,41,30,41,60,11,320,1.23,3309,2361,89,2,13,8177,.640,34,3,26,7,1079,0.75,.539,16.29,87,2.62,8.74,3.34,7.75,4.01,1.01,2,12,27,San Diego Padres
90,90,773,862,380,133,10,105,747,277,18,744,39,.241,3087,.309,.393,.702,15,62,.805,65,13258,3.77,817.1,48,42,23,39,44,16,342,1.25,3443,2452,90,0,6,8589,.650,39,2,28,2,1212,0.90,.533,16.22,90,2.70,8.23,3.05,8.19,4.18,1.16,1,16,23,Seattle Mariners
91,91,818,741,351,143,16,78,780,286,9,714,28,.237,3015,.307,.372,.679,24,46,.657,52,12835,3.44,803.2,49,42,24,38,64,14,307,1.24,3368,2411,91,1,4,8265,.640,28,4,28,7,1123,1.10,.538,15.97,90,2.73,8.73,3.20,8.00,3.93,0.87,1,14,24,San Francisco Giants
91,91,866,825,399,150,20,84,660,251,10,776,25,.252,3085,.310,.395,.705,17,74,.813,52,12855,4.08,806.2,48,43,22,35,51,13,366,1.27,3407,2420,91,2,10,8253,.640,25,2,34,5,1218,1.05,.527,15.94,89,2.63,7.36,2.80,8.66,4.45,0.94,4,13,29,St. Louis Cardinals
90,90,778,791,362,121,6,120,751,249,6,716,38,.238,3014,.302,.401,.703,26,78,.750,79,12617,3.77,805.1,49,41,21,35,50,14,337,1.20,3326,2416,90,1,8,8226,.650,38,1,14,6,1209,0.98,.544,15.67,89,3.02,8.39,2.78,8.00,4.05,1.34,2,5,18,Tampa Bay Rays
90,90,772,841,315,118,8,77,710,253,17,677,24,.228,2968,.292,.351,.643,15,61,.803,60,12483,3.23,798.2,44,46,25,39,53,14,287,1.16,3278,2396,90,2,9,8114,.650,24,3,29,4,1042,0.92,.489,15.63,88,2.81,8.00,2.85,7.63,3.55,0.87,1,11,21,Texas Rangers
90,90,654,871,400,132,10,118,807,299,16,725,46,.239,3028,.315,.407,.722,24,51,.680,54,13260,4.19,804.2,52,38,28,45,53,17,375,1.27,3402,2414,90,0,6,8495,.640,46,6,18,5,1231,0.75,.578,16.48,90,2.70,9.03,3.34,8.11,4.47,1.32,0,6,23,Toronto Blue Jays
90,90,665,886,392,142,6,93,766,234,8,755,41,.250,3023,.309,.393,.702,27,67,.713,38,12942,4.15,789.0,43,47,17,31,58,14,364,1.25,3347,2367,90,1,6,8446,.650,41,7,21,7,1188,0.75,.478,16.40,89,3.27,8.74,2.67,8.61,4.47,1.06,0,13,36,Minnesota Twins
90,90,740,770,358,140,10,91,832,262,6,745,25,.243,3060,.307,.385,.692,23,57,.713,50,13131,3.70,803.0,53,37,26,42,40,16,330,1.25,3374,2409,90,1,8,8528,.650,25,1,24,8,1178,0.96,.589,16.35,89,3.18,9.33,2.94,8.35,4.01,1.02,0,8,19,Philadelphia Phillies
89,89,744,715,353,142,11,99,819,288,12,685,37,.234,2932,.308,.391,.699,23,77,.770,50,12963,3.77,787.1,39,50,12,24,32,12,330,1.24,3288,2362,89,1,5,8344,.640,37,5,26,9,1146,1.04,.438,16.46,88,2.84,9.36,3.29,7.83,4.04,1.13,0,11,20,Atlanta Braves
90,90,706,907,395,165,17,96,648,327,13,756,52,.253,2987,.335,.416,.751,19,71,.789,69,13022,4.10,780.0,30,60,11,26,42,15,355,1.39,3398,2340,90,0,5,8110,.620,52,3,23,12,1243,0.78,.333,16.69,90,1.98,7.48,3.77,8.72,4.56,1.11,2,4,26,Chicago White Sox
88,88,756,837,441,151,17,99,695,289,10,770,40,.255,3021,.325,.414,.739,15,114,.884,52,13086,4.71,785.0,40,48,21,35,49,14,411,1.35,3389,2355,88,0,5,8332,.640,40,5,27,2,1252,0.90,.455,16.67,88,2.40,7.97,3.31,8.83,5.06,1.14,2,6,31,Miami Marlins
