gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,caughtStealingPercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,catchersInterference,sacBunts,sacFlies,team
135,135,982,1405,693,243,15,189,1113,479,20,1158,67,.252,4596,.328,.435,.763,26,111,.810,.190,76,20700,4.78,1199.1,63,72,30,47,51,17,637,1.36,5206,3598,135,0,9,12975,.630,67,7,26,4,1998,0.70,.467,17.26,135,2.32,8.35,3.59,8.69,5.20,1.42,2,14,48,Athletics
134,134,1109,1285,548,246,20,128,1056,386,14,1050,62,.236,4446,.304,.387,.691,22,90,.804,.196,80,19190,3.93,1182.2,59,75,29,50,58,21,516,1.21,4949,3548,134,1,16,12452,.650,62,1,36,5,1720,0.86,.440,16.23,133,2.74,8.04,2.94,7.99,4.17,0.97,1,17,37,Pittsburgh Pirates
134,134,994,1314,510,172,15,139,1150,437,19,977,54,.223,4378,.299,.365,.664,22,83,.790,.210,85,19210,3.60,1184.0,75,59,43,58,90,15,473,1.19,4929,3552,134,2,15,12273,.640,54,4,34,8,1596,0.76,.560,16.22,132,2.63,8.74,3.32,7.43,3.88,1.06,3,17,40,San Diego Padres
134,134,1137,1246,591,208,15,162,1146,403,24,1121,61,.244,4591,.311,.402,.713,25,100,.800,.200,91,19648,3.97,1210.1,72,62,35,56,74,21,534,1.26,5116,3631,134,0,9,12788,.650,61,3,45,3,1845,0.91,.537,16.23,134,2.84,8.52,3.00,8.34,4.39,1.20,2,22,37,Seattle Mariners
133,133,1202,1107,545,235,17,115,1113,417,12,1091,55,.245,4462,.315,.382,.697,30,80,.727,.273,87,19227,3.70,1176.2,65,68,31,49,72,18,484,1.28,4986,3530,133,1,6,12377,.640,55,7,42,8,1705,1.09,.489,16.34,132,2.67,8.51,3.19,8.34,4.17,0.88,1,18,33,San Francisco Giants
134,134,1265,1189,621,222,30,135,990,370,11,1173,38,.257,4559,.316,.408,.724,29,107,.787,.213,87,18910,4.31,1182.2,65,69,32,50,74,18,566,1.30,5030,3548,134,2,12,12172,.640,38,4,43,8,1860,1.06,.485,15.99,132,2.68,7.53,2.82,8.93,4.73,1.03,5,20,38,St. Louis Cardinals
133,133,1106,1155,558,186,8,177,1142,378,10,1047,54,.237,4419,.303,.403,.706,35,126,.783,.217,102,18675,3.96,1177.1,64,69,28,50,73,22,518,1.21,4886,3532,133,1,10,12172,.650,54,5,23,11,1780,0.96,.481,15.86,132,3.02,8.73,2.89,8.00,4.27,1.35,3,8,24,Tampa Bay Rays
135,135,1107,1258,493,184,12,143,1116,400,20,1010,43,.227,4446,.296,.370,.666,19,98,.838,.162,96,18957,3.42,1198.1,68,67,30,55,70,25,456,1.18,4935,3595,135,2,13,12250,.650,43,4,38,5,1647,0.88,.504,15.82,133,2.79,8.38,3.00,7.59,3.70,1.07,1,17,28,Texas Rangers
134,134,983,1291,604,200,12,182,1188,429,24,1074,68,.239,4487,.313,.411,.724,30,91,.752,.248,79,19558,4.23,1189.2,78,56,38,60,81,22,559,1.26,5035,3569,134,1,7,12526,.640,68,7,27,7,1844,0.76,.582,16.44,133,2.77,8.99,3.25,8.12,4.57,1.38,2,12,37,Toronto Blue Jays
133,133,976,1331,618,222,11,159,1113,368,15,1161,55,.257,4516,.318,.417,.735,34,109,.762,.238,65,19448,4.44,1170.0,60,73,25,44,81,19,577,1.31,5004,3510,133,1,7,12602,.650,55,7,37,9,1882,0.73,.451,16.62,132,3.02,8.56,2.83,8.93,4.75,1.22,0,16,49,Minnesota Twins
133,133,1093,1124,541,204,13,144,1224,359,7,1107,46,.245,4510,.306,.392,.698,35,79,.693,.307,68,19099,3.85,1179.1,76,57,36,56,65,20,505,1.24,4953,3538,133,2,11,12409,.650,46,4,29,15,1769,0.97,.571,16.19,131,3.41,9.34,2.74,8.45,4.13,1.10,0,12,26,Philadelphia Phillies
133,133,1110,1161,596,215,18,156,1141,444,19,1091,57,.245,4455,.319,.406,.725,32,124,.795,.205,73,19660,4.33,1177.2,61,72,26,43,56,17,566,1.30,5004,3533,133,1,7,12538,.640,57,7,35,15,1810,0.96,.459,16.69,132,2.57,8.72,3.39,8.34,4.55,1.19,0,15,33,Atlanta Braves
133,133,1028,1331,601,242,19,146,1011,483,24,1100,69,.249,4423,.330,.411,.741,26,114,.814,.186,96,19449,4.20,1160.1,48,85,17,37,56,20,541,1.36,5026,3481,133,0,8,12159,.630,69,7,34,15,1818,0.77,.361,16.76,133,2.09,7.84,3.75,8.53,4.66,1.13,4,10,37,Chicago White Sox
133,133,1135,1268,650,234,19,149,1047,417,14,1119,62,.248,4519,.317,.407,.724,19,162,.895,.105,79,19592,4.58,1181.1,62,71,32,51,71,19,601,1.30,5052,3544,133,0,9,12542,.640,62,5,48,3,1838,0.90,.466,16.58,133,2.51,7.98,3.18,8.53,4.95,1.14,4,9,41,Miami Marlins
133,133,1123,1145,573,200,19,146,1187,469,11,1023,47,.230,4442,.309,.382,.691,23,85,.787,.213,82,19570,3.99,1180.2,73,60,34,53,81,19,523,1.26,4999,3542,133,0,10,12408,.630,47,7,39,16,1699,0.98,.549,16.58,133,2.53,9.05,3.58,7.80,4.37,1.11,5,11,25,New York Yankees
134,134,1050,1254,523,187,13,146,1178,444,17,1025,47,.230,4459,.304,.376,.680,25,68,.731,.269,83,19652,3.61,1193.2,83,51,38,56,95,18,479,1.23,5000,3581,134,0,12,12536,.640,47,5,29,6,1676,0.84,.619,16.46,134,2.65,8.88,3.35,7.73,3.94,1.10,2,17,31,Milwaukee Brewers
133,133,1121,1241,679,193,19,186,1049,506,38,1189,39,.262,4540,.338,.436,.774,21,91,.813,.188,119,19867,4.81,1179.0,62,71,30,58,71,28,630,1.44,5146,3537,133,0,6,12653,.640,39,8,49,6,1978,0.90,.466,16.85,133,2.07,8.01,3.86,9.08,5.18,1.42,1,14,46,Los Angeles Angels
134,134,1166,1244,653,275,23,163,1068,417,19,1173,52,.255,4604,.322,.431,.753,22,93,.809,.191,91,19619,4.56,1192.2,65,69,36,61,68,25,604,1.33,5122,3578,134,0,7,12446,.630,52,8,26,9,1983,0.94,.485,16.45,134,2.56,8.06,3.15,8.85,4.93,1.23,2,20,27,Arizona Diamondbacks
133,133,1120,1202,651,212,22,181,1096,426,14,1186,41,.261,4552,.327,.436,.763,22,88,.800,.200,82,19510,4.68,1175.0,60,73,31,49,87,18,611,1.37,5073,3525,133,1,6,12500,.640,41,7,50,9,1985,0.93,.451,16.60,132,2.57,8.39,3.26,9.08,4.99,1.39,2,17,35,Baltimore Orioles
134,134,1187,1187,558,172,8,136,1108,437,15,1098,64,.242,4533,.316,.374,.690,35,107,.754,.246,94,19516,3.67,1200.0,74,60,37,60,71,23,489,1.28,5089,3600,134,2,9,12548,.640,64,5,38,2,1694,1.00,.552,16.26,132,2.54,8.31,3.28,8.24,4.19,1.02,8,13,34,Boston Red Sox
