Model,Approach,Threshold,Total_Picks,Wins,Losses,Win_Rate,Total_Profit,ROI,Picks_Per_Day,Favorite_Picks,Favorite_Wins,Favorite_Win_Rate,Favorite_Profit,Favorite_ROI,Underdog_Picks,Underdog_Wins,Underdog_Win_Rate,Underdog_Profit,Underdog_ROI,Home_Picks,Home_Wins,Home_Win_Rate,Home_Profit,Home_ROI,Away_Picks,Away_Wins,Away_Win_Rate,Away_Profit,Away_ROI
CatBoost,RAW,1%,552,271,281,49.094202898550726,52.096834228654494,9.437832287799727,11.26530612244898,123,74,60.16260162601627,14.0768342286545,11.444580673702845,429,197,45.92074592074592,38.019999999999996,8.862470862470861,284,142,50.0,10.449492090049048,3.679398623256707,268,129,48.134328358208954,41.64734213860545,15.540053036793081
CatBoost,RAW,2%,441,216,225,48.97959183673469,48.88188043701554,11.08432662970874,9.0,82,51,62.19512195121951,12.951880437015538,15.794976142701875,359,165,45.96100278551532,35.93,10.008356545961004,227,115,50.66079295154186,14.616447144229463,6.438963499660557,214,101,47.19626168224299,34.26543329278608,16.011884716255175
CatBoost,RAW,3%,317,152,165,47.94952681388013,39.630558936887184,12.501753607850846,6.469387755102041,43,25,58.139534883720934,4.220558936887181,9.815253341598094,274,127,46.35036496350365,35.41,12.923357664233576,162,78,48.148148148148145,8.047162710472085,4.9673843891803,155,74,47.74193548387097,31.583396226415093,20.376384662203286
CatBoost,RAW,4%,233,112,121,48.06866952789699,35.97195516305746,15.438607366119081,4.755102040816326,26,19,73.07692307692307,10.111955163057456,38.892135242528674,207,93,44.927536231884055,25.86,12.492753623188406,116,57,49.137931034482754,10.388558936642362,8.955654255726174,117,55,47.008547008547005,25.583396226415093,21.8661506208676
CatBoost,RAW,5%,173,87,86,50.28901734104046,40.06628727090806,23.15970362480235,3.5306122448979593,14,11,78.57142857142857,6.776287270908074,48.40205193505767,159,76,47.79874213836478,33.29,20.937106918238992,89,44,49.43820224719101,10.55289104449298,11.857180948868518,84,43,51.19047619047619,29.513396226415086,35.13499550763701
CatBoost,REGRESSED,1%,330,157,173,47.57575757575758,36.16595851129357,10.959381367058658,6.73469387755102,50,30,60.0,6.755958511293567,13.511917022587133,280,127,45.357142857142854,29.409999999999997,10.503571428571428,169,82,48.5207100591716,8.647982845626139,5.117149612796531,161,75,46.58385093167702,27.517975665667436,17.091910351346236
CatBoost,REGRESSED,2%,138,67,71,48.55072463768116,30.08027102821358,21.79729784653158,2.816326530612245,10,7,70.0,3.3302710282135815,33.30271028213582,128,60,46.875,26.749999999999996,20.898437499999996,73,34,46.57534246575342,6.056874801798486,8.297088769586967,65,33,50.76923076923077,24.023396226415095,36.959071117561685
CatBoost,REGRESSED,3%,57,29,28,50.877192982456144,23.159999999999997,40.63157894736841,1.163265306122449,1,0,0.0,-1.0,-100.0,56,29,51.78571428571429,24.16,43.142857142857146,26,11,42.30769230769231,3.37,12.961538461538463,31,18,58.06451612903226,19.790000000000003,63.83870967741936
CatBoost,REGRESSED,4%,27,12,15,44.44444444444444,8.23,30.48148148148148,0.5510204081632653,0,0,0.0,0.0,0.0,27,12,44.44444444444444,8.23,30.48148148148148,12,4,33.33333333333333,0.29000000000000004,2.416666666666667,15,8,53.333333333333336,7.939999999999998,52.93333333333332
CatBoost,REGRESSED,5%,8,3,5,37.5,1.3900000000000003,17.375000000000004,0.16326530612244897,0,0,0.0,0.0,0.0,8,3,37.5,1.3900000000000003,17.375000000000004,5,3,60.0,4.390000000000001,87.80000000000001,3,0,0.0,-3.0,-100.0
