Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2021-04-21,CIN,ARI,5,8,-170,148,-166,152,9.0,9.0,8.0,8.0,100,-120,-101,-111
2021-04-21,DET,PIT,5,2,-120,100,-135,124,8.5,8.5,6.0,6.0,100,-120,-115,103
2021-04-21,SD,MIL,2,4,-200,170,-184,168,7.5,7.5,7.5,7.5,100,-120,103,-116
2021-04-21,COL,HOU,6,3,115,-135,128,-139,10.5,10.5,10.0,10.0,-110,-110,-107,-105
2021-04-21,CHC,NYM,16,4,115,-135,116,-126,7.5,7.5,7.5,7.5,-113,-107,-101,-112
2021-04-21,NYY,ATL,1,4,-130,110,-146,135,9.0,9.0,9.0,9.0,100,-120,104,-117
2021-04-21,MIA,BAL,3,0,-135,115,-153,140,8.0,8.0,7.5,7.5,-110,-110,-101,-111
2021-04-21,LAA,TEX,4,7,-160,140,-171,156,9.0,9.0,9.0,9.0,-120,100,-115,102
2021-04-21,OAK,MIN,13,12,100,-120,-109,101,8.5,8.5,7.5,7.5,100,-120,-109,-103
2021-04-21,WAS,STL,1,0,-185,160,-164,150,8.5,8.5,7.5,7.5,-110,-110,-106,-106
2021-04-21,KC,TB,9,8,-109,-101,-102,-106,8.5,8.5,8.0,8.0,-110,-110,-101,-111
2021-04-21,PHI,SF,6,5,-120,100,-119,110,8.0,8.0,8.0,8.0,-120,100,-107,-105
2021-04-21,BOS,TOR,3,6,-126,106,-123,113,10.0,10.0,10.0,10.0,-105,-115,-103,-109
2021-04-21,DET,PIT,2,3,-121,101,-130,120,6.0,6.0,6.0,6.0,100,-120,-106,-106
