Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2019-05-14,MIA,TB,0,4,130,-150,129,-139,6.5,6.5,6.5,6.5,-119,-101,-103,-107
2019-05-14,ATL,STL,3,14,-105,-115,114,-123,9.0,9.0,9.0,9.0,-115,-105,-109,-101
2019-05-14,CHW,CLE,0,9,160,-185,187,-204,9.0,9.0,8.0,8.0,-105,-115,104,-115
2019-05-14,WAS,NYM,2,6,135,-155,133,-144,8.5,8.5,8.0,8.0,100,-120,-107,-103
2019-05-14,PHI,MIL,1,6,-125,105,103,-112,8.5,8.5,8.0,8.0,-110,-110,-114,103
2019-05-14,LAD,SD,6,3,-165,144,-156,144,6.5,6.5,7.0,7.0,-119,-101,-120,109
2019-05-14,SEA,OAK,4,3,-110,-110,103,-112,8.5,8.5,9.0,9.0,100,-120,-110,-100
2019-05-14,MIN,LAA,4,3,-125,105,-126,116,8.5,8.5,9.5,9.5,-110,-110,105,-116
2019-05-14,CIN,CHC,1,3,110,-130,-106,-102,8.5,8.5,9.5,9.5,-110,-110,104,-115
2019-05-14,BOS,COL,4,5,-230,192,-253,230,8.5,8.5,8.5,8.5,-110,-110,-103,-107
2019-05-14,SF,TOR,3,7,-101,-119,-129,120,8.0,8.0,7.5,7.5,-119,-101,109,-120
2019-05-14,DET,HOU,4,11,170,-200,197,-215,9.5,9.5,10.5,10.5,-115,-105,-107,-103
2019-05-14,KC,TEX,11,5,-125,105,-138,127,9.5,9.5,10.0,10.0,-115,-105,-102,-109
2019-05-14,ARI,PIT,2,6,-145,125,-155,143,9.0,9.0,9.0,9.0,-110,-110,-102,-108
