game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
5058856,2026-06-16,5113,389,Jesús Luzardo,Tyler Phillips,21,15,PHI,MIA,2026,2026,0,0,regular,regular,14,3,14,3,6,0,8,1,5,1,4.46,1.98,0,0,0,0,78.7,13.7,80,10,39,3,8,0,25,5,1.33,1.1,88,11,10.07,7.24,,
5058857,2026-06-16,8416,106,Foster Griffin,Michael Wacha,30,12,WSH,KC,2026,2026,0,0,regular,regular,14,14,14,14,6,9,10,4,4,10,3.46,3.58,0,0,0,0,78.0,88.0,64,75,30,35,15,10,21,27,1.09,1.16,74,69,8.54,7.06,,
5058858,2026-06-16,3143201,224,Payton Tolle,Dylan Cease,4,29,BOS,TOR,2026,2026,0,0,regular,regular,9,12,9,12,5,5,3,7,6,5,3.04,2.91,0,0,0,0,53.3,68.0,43,52,18,22,3,5,14,27,1.07,1.16,54,103,9.11,13.63,,
5058859,2026-06-16,380,618,Gerrit Cole,Davis Martin,19,6,NYY,CHW,2026,2026,0,0,regular,regular,4,13,4,13,2,9,1,11,2,2,2.45,2.41,0,0,0,0,22.0,78.3,17,69,6,21,3,3,6,17,1.05,1.1,18,79,7.36,9.08,,
5058860,2026-06-16,67,287,Brady Singer,Kodai Senga,7,18,CIN,NYM,2026,2026,0,0,regular,regular,13,5,13,5,3,1,4,1,5,1,5.61,9.0,0,0,0,0,61.0,20.0,80,26,38,20,17,5,20,13,1.64,1.95,47,23,6.93,10.35,,
5058861,2026-06-16,664,1813,Grant Holmes,Adrian Houser,2,24,ATL,SF,2026,2026,0,0,regular,regular,13,13,13,13,5,2,6,3,3,7,4.05,5.54,0,0,0,0,66.7,65.0,60,77,30,40,13,11,29,24,1.33,1.55,59,46,7.96,6.37,,
5058862,2026-06-16,7177,11,Robert Gasser,Slade Cecconi,16,8,MIL,CLE,2026,2026,0,0,regular,regular,4,14,4,14,0,3,0,3,4,9,6.38,4.83,0,0,0,0,18.3,72.7,20,82,13,39,6,10,9,23,1.58,1.44,19,61,9.33,7.56,,
5058863,2026-06-16,293,291,Andre Pallante,Michael King,26,23,STL,SD,2026,2026,0,0,regular,regular,13,14,13,14,4,6,7,6,5,7,4.0,3.35,0,0,0,0,69.7,80.7,64,61,31,30,9,10,25,32,1.28,1.15,56,72,7.23,8.03,,
5058864,2026-06-16,298,979,Edward Cabrera,Ryan Feltner,5,9,CHC,COL,2026,2026,0,0,regular,regular,12,8,12,8,4,2,7,3,2,3,4.86,5.2,0,0,0,0,63.0,36.3,66,31,34,21,13,6,23,13,1.41,1.21,58,26,8.29,6.44,,
5058865,2026-06-16,83,816,Kumar Rocker,Zebby Matthews,28,17,TEX,MIN,2026,2026,0,0,regular,regular,12,6,12,6,3,4,4,2,5,4,4.03,5.2,0,0,0,0,58.0,36.3,56,34,26,21,6,8,25,9,1.4,1.18,45,30,6.98,7.43,,
5058866,2026-06-16,379,481,Hunter Brown,Framber Valdez,11,10,HOU,DET,2026,2026,0,0,regular,regular,2,14,2,14,1,7,1,6,1,7,0.84,4.4,0,0,0,0,10.7,77.7,5,74,1,38,0,9,6,29,1.03,1.33,17,61,14.34,7.07,,
5058867,2026-06-16,13,527,Merrill Kelly,Reid Detmers,1,13,ARI,LAA,2026,2026,0,0,regular,regular,11,14,11,14,5,6,5,5,6,8,5.46,4.11,0,0,0,0,64.3,81.0,66,62,39,37,13,7,27,24,1.45,1.06,38,97,5.32,10.78,,
5058869,2026-06-16,1867296,588,Jack Perkins,Mitch Keller,20,22,OAK,PIT,2026,2026,0,0,regular,regular,2,14,2,14,0,7,0,6,1,7,9.0,5.14,0,0,0,0,8.0,77.0,10,74,8,44,3,6,5,27,1.88,1.31,10,58,11.25,6.78,,
5058868,2026-06-16,393,668262,Logan Gilbert,Brandon Young,25,3,SEA,BAL,2026,2026,0,0,regular,regular,14,10,14,10,5,5,7,8,6,1,3.62,3.51,0,0,0,0,79.7,56.3,67,52,32,22,13,6,19,19,1.08,1.26,82,42,9.26,6.71,,
5058870,2026-06-16,5668,1005,Justin Wrobleski,Drew Rasmussen,14,27,LAD,TB,2026,2026,0,0,regular,regular,11,13,11,13,7,7,7,7,3,5,2.73,2.71,0,0,0,0,69.3,73.0,57,50,21,22,6,8,15,13,1.04,0.86,43,77,5.58,9.49,,
