game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
348164,2013-07-14,475243,425794,Travis Wood,Adam Wainwright,112,138,CHC,STL,2013,2013,0,0,regular,regular,18,19,18,19,17,16,7,13,11,6,2.69,2.3,0,0,0,0,117.0,140.7,79,125,35,36,9,5,35,14,0.97,0.99,85,126,6.54,8.06,,
348169,2013-07-14,547874,430599,Hisashi Iwakuma,Joe Blanton,136,108,SEA,LAA,2013,2013,0,0,regular,regular,19,18,19,18,12,9,11,3,7,14,2.97,5.4,0,0,0,0,124.3,108.3,97,143,41,65,20,22,18,22,0.92,1.52,106,91,7.67,7.56,,
348168,2013-07-14,430935,500779,Cole Hamels,Jose Quintana,143,145,PHI,CWS,2013,2013,0,0,regular,regular,19,18,19,18,13,7,5,7,14,10,4.17,3.67,0,0,0,0,121.0,108.0,116,96,56,44,14,13,34,31,1.24,1.18,111,85,8.26,7.08,,
348167,2013-07-14,506693,518863,Henderson Alvarez,Taylor Jordan,146,120,MIA,WSH,2013,2013,0,0,regular,regular,2,3,2,3,0,0,1,1,1,2,5.73,3.45,0,0,0,0,11.0,15.7,13,19,7,6,0,0,4,3,1.55,1.4,7,6,5.73,3.45,,
348166,2013-07-14,444857,435178,Scott Feldman,Josh Johnson,110,141,BAL,TOR,2013,2013,0,0,regular,regular,17,11,17,11,10,5,9,3,8,6,3.87,4.62,0,0,0,0,102.3,60.3,94,69,44,31,11,8,26,22,1.17,1.51,75,60,6.6,8.95,,
348165,2013-07-14,434378,527048,Justin Verlander,Martín Pérez,116,140,DET,TEX,2013,2013,0,0,regular,regular,19,5,19,5,12,3,10,4,8,1,3.71,2.08,0,0,0,0,119.0,30.3,123,34,49,7,10,2,42,7,1.39,1.35,122,16,9.23,4.75,,
348163,2013-07-14,445590,217096,Eric Stults,Barry Zito,135,137,SD,SF,2013,2013,0,0,regular,regular,19,18,19,18,11,6,10,8,7,8,3.5,4.62,0,0,0,0,121.0,101.3,113,126,47,52,8,8,25,39,1.14,1.63,74,67,5.5,5.95,,
348155,2013-07-14,112526,519443,Bartolo Colon,Brandon Workman,133,111,OAK,BOS,2013,2013,0,0,regular,regular,18,0,18,0,15,0,14,0,4,0,2.69,0.0,0,0,0,0,120.3,0.0,118,0,36,0,9,0,15,0,1.11,0.0,66,0,4.94,0.0,,
348161,2013-07-14,282332,502043,CC Sabathia,Kyle Gibson,147,142,NYY,MIN,2013,2013,0,0,regular,regular,19,3,19,3,10,1,11,1,7,2,3.99,7.27,0,0,0,0,133.0,17.3,131,23,59,14,20,0,28,5,1.2,1.62,112,10,7.58,5.19,,
348160,2013-07-14,453178,503449,Ian Kennedy,Wily Peralta,109,158,AZ,MIL,2013,2013,0,0,regular,regular,17,19,17,19,8,9,7,7,10,10,5.31,4.82,0,0,0,0,101.7,106.3,102,117,60,57,15,10,38,43,1.38,1.5,87,62,7.7,5.25,,
348159,2013-07-14,434622,448306,Ubaldo Jiménez,James Shields,114,118,CLE,KC,2013,2013,0,0,regular,regular,18,19,18,19,6,15,12,11,4,8,4.37,3.12,0,0,0,0,94.7,129.7,86,118,46,45,13,12,51,37,1.45,1.2,92,112,8.75,7.77,,
348158,2013-07-14,502042,407853,Chris Archer,Erik Bedard,139,117,TB,HOU,2013,2013,0,0,regular,regular,8,16,8,16,4,6,5,5,3,8,3.59,4.95,0,0,0,0,42.7,80.0,34,83,17,44,5,13,21,42,1.29,1.56,32,68,6.75,7.65,,
348157,2013-07-14,445060,468504,Ricky Nolasco,Jhoulys Chacín,119,115,LAD,COL,2013,2013,0,0,regular,regular,19,17,19,17,11,9,7,10,12,7,3.7,3.62,0,0,0,0,119.3,107.0,116,100,49,43,11,3,25,33,1.18,1.24,95,62,7.16,5.21,,
348156,2013-07-14,527054,571561,Julio Teheran,Tony Cingrani,144,113,ATL,CIN,2013,2013,0,0,regular,regular,17,9,17,9,11,4,11,5,6,3,3.09,3.08,0,0,0,0,107.7,52.7,109,36,37,18,13,10,21,16,1.21,0.99,91,61,7.61,10.42,,
348162,2013-07-14,543037,518716,Gerrit Cole,Dillon Gee,134,121,PIT,NYM,2013,2013,0,0,regular,regular,6,18,6,18,4,7,4,9,2,8,3.68,4.6,0,0,0,0,36.7,103.7,39,122,15,53,2,14,7,31,1.25,1.48,20,87,4.91,7.55,,
