balldontlie_game_id,game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_starter_id,home_starter_full_name,home_starter_first_name,home_starter_last_name,home_starter_jersey,away_starter_id,away_starter_full_name,away_starter_first_name,away_starter_last_name,away_starter_jersey
5082,778429,2025-04-06,120,109,WSH,AZ,Washington Nationals,Arizona Diamondbacks,592866,Trevor Williams,,,32,669203,Corbin Burnes,,,39
599174,778443,2025-04-06,111,138,BOS,STL,Boston Red Sox,St. Louis Cardinals,656794,Sean Newcomb,,,19,669467,Andre Pallante,,,53
5087,778432,2025-04-06,111,138,BOS,STL,Boston Red Sox,St. Louis Cardinals,690928,Hunter Dobbins,,,,571945,Miles Mikolas,,,39
5084,778434,2025-04-06,143,119,PHI,LAD,Philadelphia Phillies,Los Angeles Dodgers,650911,Cristopher Sánchez,,,61,607192,Tyler Glasnow,,,31
5086,778428,2025-04-06,134,147,PIT,NYY,Pittsburgh Pirates,New York Yankees,571760,Andrew Heaney,,,45,701542,Will Warren,,,98
5088,778435,2025-04-06,121,141,NYM,TOR,New York Mets,Toronto Blue Jays,656849,David Peterson,,,23,670102,Bowden Francis,,,44
5083,778433,2025-04-06,116,145,DET,CWS,Detroit Tigers,Chicago White Sox,695549,Jackson Jobe,,,21,527048,Martín Pérez,,,54
5089,778422,2025-04-06,118,110,KC,BAL,Kansas City Royals,Baltimore Orioles,663460,Kris Bubic,,,50,700249,Cade Povich,,,37
5091,778419,2025-04-06,142,117,MIN,HOU,Minnesota Twins,Houston Astros,663978,Chris Paddack,,,20,669854,Ronel Blanco,,,56
5090,778421,2025-04-06,158,113,MIL,CIN,Milwaukee Brewers,Cincinnati Reds,694477,Chad Patrick,,,39,686730,Carson Spiers,,,68
5092,778430,2025-04-06,112,135,CHC,SD,Chicago Cubs,San Diego Padres,676962,Ben Brown,,,32,606996,Kyle Hart,,,68
5093,778420,2025-04-06,140,139,TEX,TB,Texas Rangers,Tampa Bay Rays,677958,Kumar Rocker,,,80,656876,Drew Rasmussen,,,57
5094,778423,2025-04-06,115,133,COL,ATH,Colorado Rockies,Athletics,801403,Chase Dollander,,,32,683155,Joey Estes,,,68
5096,778427,2025-04-06,137,136,SF,SEA,San Francisco Giants,Seattle Mariners,663855,Jordan Hicks,,,12,693433,Bryan Woo,,,22
5095,778425,2025-04-06,108,114,LAA,CLE,Los Angeles Angels,Cleveland Guardians,542881,Tyler Anderson,,,31,682847,Luis Ortiz,,,45
599174,778443,2025-04-06,111,138,BOS,STL,Boston Red Sox,St. Louis Cardinals,656794,Sean Newcomb,,,19,669467,Andre Pallante,,,53
