game_pk,home_batting_hr_per_g_rolling_5,away_batting_hr_per_g_rolling_5
566083,,
566084,3.0,2.0
565220,,
565702,,
565799,,
565895,,
566086,1.5,
566275,,
566372,2.0,
566664,,
566763,,
566864,,
566962,,
567059,,
567359,,
567456,,
567552,,
565800,8.0,2.0
566087,1.6666666666666667,0.0
566276,1.0,0.0
566373,3.0,0.0
566665,1.0,3.0
566865,0.0,1.0
567360,3.0,1.0
567553,3.0,3.0
565703,0.0,0.0
565801,4.5,1.5
565896,0.0,1.0
566088,1.5,0.0
566277,1.0,0.5
566374,3.0,2.0
566666,1.0,1.5
566764,2.0,3.0
566866,0.0,0.5
566963,0.0,0.0
567060,3.0,1.0
567361,2.0,0.5
567457,2.0,0.0
567554,2.5,3.0
565222,2.0,1.0
565704,0.0,1.0
565802,4.333333333333333,2.3333333333333335
565897,0.5,0.5
566089,1.4,0.0
566278,0.6666666666666666,0.3333333333333333
566375,2.6,1.3333333333333333
566667,0.6666666666666666,1.3333333333333333
566765,2.0,2.0
566867,0.3333333333333333,0.3333333333333333
566964,0.0,0.5
567061,3.0,1.5
567362,1.3333333333333333,0.3333333333333333
567458,1.5,0.0
567555,2.6666666666666665,2.0
565223,1.0,2.25
565316,0.3333333333333333,1.3333333333333333
565803,3.5,0.25
566090,1.0,1.5
566180,0.5,2.25
566279,0.5,2.0
566376,2.6,0.25
566668,0.75,0.25
566766,2.3333333333333335,1.25
566868,0.5,1.0
567157,1.0,2.0
567363,1.25,0.3333333333333333
567459,1.3333333333333333,0.25
565224,0.6666666666666666,1.8
565705,0.0,0.3333333333333333
565804,3.2,0.4
565898,1.0,2.6666666666666665
566091,1.8,1.2
566280,0.6,1.8
566377,2.4,0.2
566669,1.0,0.2
566767,2.0,1.2
566869,0.8,1.25
567364,1.2,0.75
567460,1.5,0.2
565225,0.75,1.4
565317,0.25,1.25
565706,0.5,0.25
565805,1.8,0.6
565899,1.0,2.5
566092,1.6,1.2
566181,0.6666666666666666,2.0
566281,1.0,2.4
566670,0.8,0.0
566768,1.8,0.6
566870,1.0,1.0
567158,1.25,1.5
567365,0.8,0.6
567461,1.2,0.0
564734,0.2,1.6
564930,1.2,0.8
565318,0.4,1.4
565510,0.2,0.6
565990,0.6,1.4
566093,1.6,0.6
566182,0.75,0.6
567159,1.4,1.4
564735,0.6,1.6
564833,2.2,0.8
565319,0.4,1.2
565413,0.2,1.8
565606,0.6,1.6
566183,0.6,0.2
566471,0.8,0.6
566567,1.8,1.0
567062,2.0,0.2
567160,1.2,0.6
567263,1.2,1.6
567556,1.0,1.2
564736,1.0,1.2
564834,2.4,0.8
564931,1.4,1.4
565320,0.6,1.2
565414,0.8,1.6
565511,0.2,0.8
565607,0.6,1.4
565991,0.6,1.6
566184,0.4,0.2
566472,0.8,1.0
566568,1.6,1.4
567063,1.4,0.6
567161,1.2,0.6
567264,1.4,1.8
567557,1.4,1.6
564737,1.2,1.0
564835,2.2,0.8
564932,1.0,1.8
565321,0.6,1.0
565415,1.0,1.6
565512,0.4,1.4
565608,1.0,0.6
565992,1.6,1.8
566185,0.6,0.6
566473,1.0,0.8
566569,1.8,2.0
567064,1.0,1.2
567162,1.2,1.0
567265,1.4,2.2
567558,1.8,2.0
564738,1.6,2.0
564933,0.6,1.0
565124,2.2,0.8
565416,1.0,1.2
565609,1.2,2.8
565707,1.4,2.4
566474,0.8,1.8
566570,1.2,1.6
567065,0.8,1.6
567266,1.2,0.6
564739,2.2,2.0
564836,2.0,1.0
564934,1.0,1.2
565027,1.0,0.8
565226,1.0,1.0
565417,1.4,1.0
565513,0.4,0.6
565610,1.4,3.0
565708,1.0,3.2
565993,1.6,1.2
566475,0.8,1.8
566571,1.2,1.4
567066,1.0,1.8
567267,1.2,0.6
564740,2.2,2.6
564837,1.6,0.8
564935,0.8,1.4
565125,2.2,0.6
565227,2.0,0.8
565514,0.4,1.2
565611,1.6,3.2
565709,0.8,3.2
565994,2.4,2.4
566476,0.4,1.8
566572,1.0,1.2
567067,1.4,2.0
567268,1.2,1.2
564838,1.6,1.6
564936,1.0,2.4
565028,1.2,0.4
565126,2.0,1.0
565228,2.4,1.0
565515,0.6,1.2
565710,1.0,2.6
566477,0.6,1.2
566573,1.0,1.0
567163,1.4,2.2
564839,0.8,1.6
565029,1.2,1.0
565127,1.4,1.8
565711,1.0,1.0
565806,1.4,1.6
565900,1.8,1.0
566378,2.4,2.0
566478,0.6,0.6
566769,0.6,3.4
566871,1.0,1.4
567164,1.4,2.6
567366,1.0,1.4
567462,2.8,1.0
564840,0.8,1.8
565030,1.0,1.4
565128,1.4,1.6
565229,2.6,0.8
565712,1.2,1.2
565807,1.6,1.4
565901,1.8,1.2
566379,2.0,2.0
566479,0.6,0.4
566872,1.0,2.4
566966,2.6,0.6
567165,1.4,1.8
567367,0.4,1.4
567463,2.4,1.4
564841,0.8,1.6
565031,1.2,1.0
565230,2.6,1.0
565713,1.4,1.2
565808,1.8,1.6
565902,2.0,1.0
566380,1.2,2.0
566480,0.6,0.6
566771,0.8,3.2
566873,0.8,2.2
566967,2.2,0.6
567166,1.4,1.4
567368,0.8,1.2
567464,1.2,1.2
565032,1.2,1.0
565809,2.2,2.4
566282,1.8,0.4
566381,1.2,0.6
566772,1.0,1.2
566968,2.0,1.2
567068,1.0,0.8
567269,1.2,2.0
567369,1.0,1.2
567559,1.4,1.6
565516,0.8,1.0
565810,2.0,1.6
565903,1.6,0.6
566094,3.2,2.0
566283,2.0,0.8
566382,1.4,0.8
566671,2.4,1.0
566773,1.4,1.0
566969,2.0,1.4
567069,0.8,1.0
567167,1.8,0.8
567270,1.2,2.0
567370,1.0,1.2
567465,1.0,0.8
567560,1.6,2.0
565517,0.8,1.0
565811,1.6,1.2
565904,1.0,1.0
566095,2.8,2.4
566383,1.2,0.6
566672,2.0,0.8
566774,1.8,0.6
566970,1.4,0.8
567070,1.4,1.0
567168,1.8,1.0
567271,2.0,1.6
567371,1.0,1.2
567466,1.4,0.6
567561,2.2,1.8
564741,0.8,1.0
565419,1.2,1.6
565518,0.4,1.4
565905,1.8,1.2
566284,1.6,1.0
566673,2.0,0.6
566971,1.2,0.6
567169,1.4,1.0
567467,1.2,1.6
567562,2.0,1.2
564742,1.0,1.4
565130,1.4,1.2
565420,1.6,1.8
565519,0.4,2.0
566096,2.0,1.2
566186,1.0,1.2
566285,1.4,1.2
566574,2.2,1.0
566674,1.4,0.8
566775,1.6,1.8
567372,1.0,1.6
567468,1.0,1.8
567563,1.8,1.4
564743,1.2,2.0
564937,0.8,1.6
564938,1.4,2.8
565131,0.6,1.2
565322,0.6,1.6
565323,0.6,1.4
565421,1.8,1.4
566097,1.0,1.0
566187,0.6,1.0
566286,1.2,1.2
566575,2.4,1.2
566675,1.6,1.2
566776,1.6,1.6
567373,0.4,1.4
567469,1.2,1.2
567564,2.2,1.2
564744,1.0,2.4
564939,1.6,3.2
565132,0.6,1.2
565324,0.6,1.2
565422,2.0,1.6
565521,0.8,2.0
566098,0.6,1.4
566188,0.8,1.0
566287,1.0,1.2
566576,1.8,1.0
566676,1.8,1.2
