Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2010-04-18,BOS,TB,1,7,-135,125,-137,127,8.5,8.5,8.5,8.5,-110,-110,100,-120
2010-04-18,CLE,CHW,7,4,-120,110,-108,-102,7.5,7.5,7.5,7.5,100,-120,-110,-110
2010-04-18,MIN,KC,5,10,-190,180,-185,175,9.5,9.5,9.5,9.5,-125,105,110,-130
2010-04-18,NYY,TEX,5,2,-155,145,-166,156,9.0,9.0,9.0,9.0,-110,-110,-110,-110
2010-04-18,OAK,BAL,3,8,-168,158,-180,170,7.0,7.0,7.0,7.0,-110,-110,-120,100
2010-04-18,SEA,DET,2,4,110,-120,115,-125,8.0,8.0,8.0,8.0,-110,-110,-125,105
2010-04-18,TOR,LAA,1,3,-133,123,-135,125,9.0,9.0,8.5,8.5,-110,-110,-115,-105
2010-04-18,ATL,COL,4,3,-150,140,-140,130,9.0,9.0,8.5,8.5,-120,100,-120,100
2010-04-18,CHC,HOU,2,3,-178,168,-190,180,7.0,7.0,7.0,7.0,-105,-115,-120,100
2010-04-18,LAD,SF,2,1,-163,153,-170,160,8.5,8.5,8.5,8.5,100,-120,-110,-110
2010-04-18,PHI,FLO,0,2,-205,188,-185,175,10.0,10.0,9.5,9.5,-120,100,-105,-115
2010-04-18,PIT,CIN,5,3,108,-118,106,-116,7.5,7.5,8.0,8.0,100,-120,-105,-115
2010-04-18,SD,ARI,5,3,-114,104,-107,-103,8.0,8.0,8.0,8.0,-105,-115,-105,-115
2010-04-18,SLC,NYM,5,3,-245,225,-275,250,8.0,8.0,7.5,7.5,-110,-110,100,-120
2010-04-18,WAS,MIL,7,11,-118,108,-117,110,9.5,9.5,9.5,9.5,-110,-110,108,-119
