Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2010-06-19,BOS,LAD,5,4,-136,126,-150,140,10.5,10.5,11.0,11.0,105,-125,-110,-110
2010-06-19,DET,ARI,5,6,-138,128,-135,125,9.5,9.5,9.5,9.5,-115,-105,-108,-102
2010-06-19,NYY,NYM,5,3,-175,165,-192,181,9.0,9.0,8.5,8.5,-130,110,-119,109
2010-06-19,SEA,CIN,5,1,-172,162,-180,170,7.0,7.0,7.0,7.0,100,-120,-125,115
2010-06-19,TOR,SF,3,0,133,-143,144,-154,8.5,8.5,8.5,8.5,-110,-110,-110,100
2010-06-19,ATL,KC,5,4,-135,125,-143,133,8.0,8.0,7.5,7.5,-120,100,-110,100
2010-06-19,CHC,LAA,0,12,-110,100,-103,-107,9.5,9.5,9.0,9.0,-120,100,100,-110
2010-06-19,COL,MIL,8,7,-116,106,-102,-104,9.0,9.0,8.5,8.5,100,-120,100,-110
2010-06-19,FLO,TB,8,9,128,-138,135,-145,9.0,9.0,9.0,9.0,-110,-110,-103,-107
2010-06-19,HOU,TEX,1,5,152,-162,190,-210,9.0,9.0,9.0,9.0,-120,100,106,-116
2010-06-19,PHI,MIN,10,13,-145,135,-156,146,9.5,9.5,9.0,9.0,-115,-105,-110,-110
2010-06-19,PIT,CLE,6,4,-117,107,-120,110,9.0,9.0,9.0,9.0,-110,-110,-103,-107
2010-06-19,SD,BAL,4,5,-180,170,-200,185,6.5,6.5,6.5,6.5,-105,-115,-107,-103
2010-06-19,SLC,OAK,4,3,-200,185,-220,200,7.5,7.5,7.0,7.0,-120,100,-120,110
2010-06-19,WAS,CHW,0,1,106,-116,109,-119,8.5,8.5,8.5,8.5,-115,-105,-103,-107
