Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
564.0,Max Scherzer,40.0,TOR,AL,0.0,0.0,0.0,,6.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,75.0,11.08,1.0,9.0,6.0,0.0,3.0,,
565.0,Evan Sisk*,28.0,KCR,AL,0.1,0.0,0.0,,0.0,3.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,7.0,0.0,1.0,0.0,14.0,,1.42,1.667,6.0,0.0,9.0,21.0,2.33,
566.0,Randy Wynne,32.0,CIN,NL,0.0,0.0,0.0,,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,13.0,165.0,6.42,1.333,9.0,3.0,3.0,9.0,3.0,
567.0,Elvis Alvarado,26.0,ATH,AL,-0.1,0.0,0.0,,10.13,2.0,0.0,1.0,0.0,0.0,0.0,2.2,4.0,3.0,3.0,1.0,2.0,0.0,4.0,2.0,0.0,0.0,16.0,47.0,9.46,2.25,13.5,3.4,6.8,13.5,2.0,
568.0,Noah Davis,28.0,LAD,NL,-0.3,0.0,1.0,0.0,10.13,3.0,0.0,2.0,0.0,0.0,0.0,2.2,3.0,4.0,3.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,13.0,44.0,9.08,1.875,10.1,3.4,6.8,10.1,1.5,
569.0,Michael Fulmer,32.0,BOS,AL,-0.1,0.0,0.0,,10.13,1.0,0.0,0.0,0.0,0.0,0.0,2.2,4.0,3.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,13.0,46.0,8.71,2.25,13.5,3.4,6.8,6.8,1.0,
570.0,Tommy Henry*,27.0,ARI,NL,0.1,0.0,0.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.2,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,,3.46,0.375,3.4,0.0,0.0,3.4,,
571.0,Jaden Hill,25.0,COL,NL,0.0,0.0,0.0,,3.38,3.0,0.0,1.0,0.0,0.0,0.0,2.2,3.0,1.0,1.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,13.0,152.0,1.58,1.875,10.1,0.0,6.8,16.9,2.5,
572.0,Riley O'Brien,30.0,STL,NL,-0.1,0.0,0.0,,10.13,3.0,0.0,0.0,0.0,0.0,0.0,2.2,3.0,3.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,13.0,46.0,9.83,1.875,10.1,3.4,6.8,6.8,1.0,
573.0,Cody Poteet,30.0,BAL,AL,-0.2,0.0,0.0,,16.88,1.0,0.0,0.0,0.0,0.0,0.0,2.2,6.0,5.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,16.0,26.0,4.58,3.0,20.3,0.0,6.8,3.4,0.5,
574.0,Connor Seabold,29.0,TBR,AL,0.0,0.0,0.0,,3.38,1.0,0.0,1.0,0.0,0.0,0.0,2.2,5.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13.0,132.0,3.46,2.25,16.9,0.0,3.4,3.4,1.0,
575.0,Hunter Strickland,36.0,LAA,AL,0.3,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.2,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,,5.33,1.125,3.4,0.0,6.8,0.0,0.0,
576.0,Albert SuÃ¡rez,35.0,BAL,AL,-0.1,0.0,0.0,,3.38,1.0,0.0,0.0,0.0,0.0,0.0,2.2,5.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,11.0,128.0,1.58,1.875,16.9,0.0,0.0,6.8,,
