Rk,Player,Age,Team,Lg,WAR,W,L,W-L%,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,Awards
1.0,Garrett Crochet*,26.0,BOS,AL,2.2,4.0,3.0,0.571,1.98,11.0,11.0,0.0,0.0,0.0,0.0,68.1,51.0,18.0,15.0,5.0,22.0,0.0,78.0,0.0,2.0,0.0,272.0,210.0,2.71,1.068,6.7,0.7,2.9,10.3,3.55,
2.0,Logan Webb,28.0,SFG,NL,1.1,5.0,4.0,0.556,2.67,11.0,11.0,0.0,0.0,0.0,0.0,67.1,65.0,24.0,20.0,3.0,16.0,0.0,74.0,0.0,0.0,1.0,275.0,144.0,2.17,1.203,8.7,0.4,2.1,9.9,4.63,
3.0,Zack Wheeler,35.0,PHI,NL,2.3,5.0,1.0,0.833,2.67,10.0,10.0,0.0,0.0,0.0,0.0,64.0,45.0,19.0,19.0,8.0,12.0,0.0,80.0,2.0,0.0,0.0,244.0,155.0,2.86,0.891,6.3,1.1,1.7,11.3,6.67,
4.0,Framber Valdez*,31.0,HOU,AL,1.2,3.0,4.0,0.429,3.57,10.0,10.0,0.0,1.0,0.0,0.0,63.0,52.0,25.0,25.0,5.0,19.0,0.0,59.0,3.0,0.0,2.0,253.0,112.0,3.28,1.127,7.4,0.7,2.7,8.4,3.11,
5.0,Max Fried*,31.0,NYY,AL,2.4,6.0,0.0,1.0,1.29,10.0,10.0,0.0,0.0,0.0,0.0,62.2,43.0,14.0,9.0,3.0,15.0,0.0,60.0,4.0,0.0,3.0,251.0,306.0,2.69,0.926,6.2,0.4,2.2,8.6,4.0,
6.0,Paul Skenes,23.0,PIT,NL,2.0,3.0,5.0,0.375,2.44,10.0,10.0,0.0,1.0,0.0,0.0,62.2,43.0,19.0,17.0,4.0,16.0,0.0,62.0,1.0,0.0,1.0,243.0,173.0,2.74,0.941,6.2,0.6,2.3,8.9,3.88,
7.0,Hunter Brown,26.0,HOU,AL,2.1,6.0,3.0,0.667,2.04,10.0,10.0,0.0,1.0,0.0,0.0,61.2,40.0,15.0,14.0,5.0,16.0,0.0,71.0,0.0,0.0,0.0,232.0,195.0,2.61,0.908,5.8,0.7,2.3,10.4,4.44,
8.0,Kris Bubic*,27.0,KCR,AL,2.8,5.0,2.0,0.714,1.47,10.0,10.0,0.0,0.0,0.0,0.0,61.1,47.0,12.0,10.0,3.0,18.0,1.0,61.0,2.0,0.0,0.0,244.0,280.0,2.7,1.06,6.9,0.4,2.6,9.0,3.39,
9.0,Nathan Eovaldi,35.0,TEX,AL,2.1,4.0,2.0,0.667,1.61,10.0,10.0,0.0,1.0,1.0,0.0,61.1,39.0,13.0,11.0,3.0,8.0,0.0,65.0,4.0,0.0,4.0,232.0,237.0,2.18,0.766,5.7,0.4,1.2,9.5,8.13,
10.0,Spencer Schwellenbach,25.0,ATL,NL,0.6,3.0,3.0,0.5,3.52,10.0,10.0,0.0,0.0,0.0,0.0,61.1,53.0,27.0,24.0,7.0,12.0,1.0,49.0,2.0,0.0,1.0,248.0,118.0,3.65,1.06,7.8,1.0,1.8,7.2,4.08,
11.0,Jake Irvin,28.0,WSN,NL,1.5,3.0,1.0,0.75,3.88,10.0,10.0,0.0,0.0,0.0,0.0,60.1,53.0,26.0,26.0,10.0,17.0,0.0,40.0,1.0,0.0,1.0,249.0,105.0,4.8,1.16,7.9,1.5,2.5,6.0,2.35,
12.0,JesÃºs Luzardo*,27.0,PHI,NL,2.9,5.0,0.0,1.0,1.95,10.0,10.0,0.0,0.0,0.0,0.0,60.0,51.0,16.0,13.0,2.0,18.0,0.0,67.0,1.0,0.0,1.0,242.0,213.0,2.23,1.15,7.7,0.3,2.7,10.1,3.72,
13.0,Carlos RodÃ³n*,32.0,NYY,AL,1.5,5.0,3.0,0.625,3.17,10.0,10.0,0.0,0.0,0.0,0.0,59.2,35.0,23.0,21.0,8.0,24.0,0.0,72.0,0.0,0.0,1.0,236.0,125.0,3.61,0.989,5.3,1.2,3.6,10.9,3.0,
14.0,Luis Severino,31.0,ATH,AL,1.6,1.0,4.0,0.2,4.22,10.0,10.0,0.0,0.0,0.0,0.0,59.2,56.0,29.0,28.0,4.0,20.0,1.0,45.0,2.0,0.0,1.0,255.0,99.0,3.55,1.274,8.4,0.6,3.0,6.8,2.25,
15.0,Tarik Skubal*,28.0,DET,AL,1.6,4.0,2.0,0.667,2.87,10.0,10.0,0.0,0.0,0.0,0.0,59.2,49.0,19.0,19.0,6.0,7.0,0.0,79.0,2.0,1.0,1.0,234.0,139.0,2.19,0.939,7.4,0.9,1.1,11.9,11.29,
16.0,Zack Littell,29.0,TBR,AL,0.3,3.0,5.0,0.375,4.25,10.0,10.0,0.0,0.0,0.0,0.0,59.1,58.0,28.0,28.0,14.0,10.0,1.0,38.0,1.0,0.0,1.0,239.0,93.0,5.42,1.146,8.8,2.1,1.5,5.8,3.8,
17.0,Nick Lodolo*,27.0,CIN,NL,1.4,4.0,4.0,0.5,3.22,10.0,10.0,0.0,0.0,0.0,0.0,58.2,52.0,23.0,21.0,6.0,10.0,0.0,49.0,7.0,1.0,1.0,245.0,138.0,3.61,1.057,8.0,0.9,1.5,7.5,4.9,
18.0,Tomoyuki Sugano,35.0,BAL,AL,1.4,4.0,3.0,0.571,3.07,10.0,10.0,0.0,0.0,0.0,0.0,58.2,50.0,20.0,20.0,10.0,10.0,0.0,32.0,2.0,0.0,1.0,232.0,124.0,4.82,1.023,7.7,1.5,1.5,4.9,3.2,
