game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
530898,2018-08-13,622663.0,594798.0,Luis Severino,Jacob deGrom,New York Yankees,New York Mets,4.0,6.2,7.0,5.0,4.0,3.0,4.0,2.0,1.0,2.0,6.0,12.0,2.0,0.0,9.0,2.903225806451613,2.0,1.129032258064516,98.0,114.0,64.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,27.0,3.0,4.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531033,2018-08-13,657053.0,641154.0,Touki Toussaint,Pablo López,Atlanta Braves,Miami Marlins,6.0,5.1,2.0,6.0,1.0,6.0,1.0,5.0,2.0,2.0,4.0,5.0,0.0,1.0,1.5,8.823529411764707,0.6666666666666666,1.5686274509803924,83.0,96.0,52.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0,22.0,26.0,7.0,7.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531187,2018-08-13,592499.0,625643.0,Artie Lewicki,Reynaldo López,Detroit Tigers,Chicago White Sox,4.2,5.0,6.0,7.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,2.0,0.0,0.0,6.428571428571428,7.2,2.142857142857143,1.6,82.0,91.0,48.0,54.0,1.0,1.0,0.0,1.0,0.0,0.0,22.0,23.0,2.0,6.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531188,2018-08-13,456701.0,605182.0,Homer Bailey,Mike Clevinger,Cincinnati Reds,Cleveland Indians,5.1,5.0,10.0,5.0,5.0,2.0,5.0,2.0,2.0,6.0,5.0,4.0,1.0,2.0,8.823529411764707,3.6,2.3529411764705883,2.2,102.0,101.0,69.0,54.0,0.0,0.0,0.0,1.0,1.0,0.0,28.0,25.0,5.0,6.0,6.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531189,2018-08-13,453385.0,571760.0,Clayton Richard,Andrew Heaney,San Diego Padres,Los Angeles Angels,8.0,7.1,4.0,4.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,6.0,1.0,1.0,2.25,2.535211267605634,0.5,0.7042253521126761,86.0,99.0,56.0,68.0,1.0,0.0,1.0,0.0,0.0,0.0,29.0,27.0,15.0,7.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531190,2018-08-13,592314.0,642571.0,Mike Foltynewicz,Merandy Gonzalez,Atlanta Braves,Miami Marlins,8.0,4.2,5.0,8.0,1.0,3.0,1.0,3.0,3.0,0.0,7.0,3.0,0.0,1.0,1.125,6.428571428571428,1.0,1.9047619047619047,113.0,97.0,71.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,21.0,6.0,5.0,8.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531191,2018-08-13,477132.0,518516.0,Clayton Kershaw,Madison Bumgarner,Los Angeles Dodgers,San Francisco Giants,8.0,6.0,4.0,7.0,1.0,2.0,1.0,2.0,0.0,2.0,9.0,4.0,0.0,1.0,1.125,3.0,0.5,1.5,110.0,97.0,78.0,62.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,26.0,10.0,5.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
531192,2018-08-13,640455.0,594835.0,Sean Manaea,Marco Gonzales,Oakland Athletics,Seattle Mariners,7.2,5.0,5.0,8.0,2.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,0.0,0.0,2.5,7.2,0.9722222222222222,2.2,89.0,97.0,61.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,25.0,11.0,6.0,7.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531193,2018-08-13,641745.0,656887.0,Brad Keller,Sean Reid-Foley,Kansas City Royals,Toronto Blue Jays,7.0,5.0,4.0,6.0,1.0,3.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,1.0,1.2857142857142858,5.4,0.8571428571428571,1.8,101.0,97.0,57.0,62.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,22.0,6.0,3.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
531194,2018-08-13,571945.0,543548.0,Miles Mikolas,Tommy Milone,St. Louis Cardinals,Washington Nationals,7.0,4.1,4.0,10.0,4.0,2.0,4.0,2.0,1.0,1.0,4.0,1.0,2.0,0.0,5.142857142857143,4.390243902439025,0.7142857142857143,2.682926829268293,103.0,77.0,64.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,26.0,24.0,6.0,3.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
