game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,venue,game_time_utc,status
822786,2026-07-19T16:15:00Z,141,145,Toronto Blue Jays,Chicago White Sox,702056,Trey Yesavage,680732,Sean Burke,Rogers Centre,2026-07-19T16:15:00Z,Pre-Game
823523,2026-07-19T16:35:00Z,147,119,New York Yankees,Los Angeles Dodgers,693645,Cam Schlittler,808967,Yoshinobu Yamamoto,Yankee Stadium,2026-07-19T16:35:00Z,Pre-Game
823521,2026-07-19T23:20:00Z,147,119,New York Yankees,Los Angeles Dodgers,,,,,Yankee Stadium,2026-07-19T23:20:00Z,Scheduled
824739,2026-07-19T17:35:00Z,111,139,Boston Red Sox,Tampa Bay Rays,543243,Sonny Gray,663556,Shane McClanahan,Fenway Park,2026-07-19T17:35:00Z,Pre-Game
823439,2026-07-19T17:35:00Z,143,121,Philadelphia Phillies,New York Mets,660604,Alan Rangel,690997,Nolan McLean,Citizens Bank Park,2026-07-19T17:35:00Z,Scheduled
824897,2026-07-19T17:35:00Z,144,140,Atlanta Braves,Texas Rangers,656550,Grant Holmes,543135,Nathan Eovaldi,Truist Park,2026-07-19T17:35:00Z,Scheduled
824411,2026-07-19T17:40:00Z,114,134,Cleveland Guardians,Pittsburgh Pirates,676282,Joey Cantillo,694973,Paul Skenes,Progressive Field,2026-07-19T17:40:00Z,Scheduled
824168,2026-07-19T18:10:00Z,117,110,Houston Astros,Baltimore Orioles,686613,Hunter Brown,687064,Brandon Young,Daikin Park,2026-07-19T18:10:00Z,Scheduled
824086,2026-07-19T18:10:00Z,118,135,Kansas City Royals,San Diego Padres,702070,Noah Cameron,608566,Germán Márquez,Kauffman Stadium,2026-07-19T18:10:00Z,Scheduled
823764,2026-07-19T18:10:00Z,158,146,Milwaukee Brewers,Miami Marlins,688107,Robert Gasser,691587,Eury Pérez,American Family Field,2026-07-19T18:10:00Z,Scheduled
824653,2026-07-19T18:20:00Z,112,142,Chicago Cubs,Minnesota Twins,684007,Shota Imanaga,805673,Zebby Matthews,Wrigley Field,2026-07-19T18:20:00Z,Scheduled
824330,2026-07-19T19:10:00Z,115,113,Colorado Rockies,Cincinnati Reds,663372,Ryan Feltner,668881,Hunter Greene,Coors Field,2026-07-19T19:10:00Z,Scheduled
824978,2026-07-19T20:05:00Z,133,120,Athletics,Washington Nationals,682052,Jacob Lopez,656492,Foster Griffin,Sutter Health Park,2026-07-19T20:05:00Z,Scheduled
824007,2026-07-19T20:07:00Z,108,116,Los Angeles Angels,Detroit Tigers,696270,Ryan Johnson,663554,Casey Mize,Angel Stadium,2026-07-19T20:07:00Z,Scheduled
823113,2026-07-19T20:10:00Z,136,137,Seattle Mariners,San Francisco Giants,669302,Logan Gilbert,592662,Robbie Ray,T-Mobile Park,2026-07-19T20:10:00Z,Scheduled
825057,2026-07-19T20:10:00Z,109,138,Arizona Diamondbacks,St. Louis Cardinals,593958,Eduardo Rodriguez,669467,Andre Pallante,Chase Field,2026-07-19T20:10:00Z,Scheduled
