game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,venue,game_time_utc,status
824457,2026-04-07T17:10:00Z,114,118,Cleveland Guardians,Kansas City Royals,668909,Gavin Williams,702070,Noah Cameron,Progressive Field,2026-04-07T17:10:00Z,Pre-Game
824618,2026-04-07T19:10:00Z,145,110,Chicago White Sox,Baltimore Orioles,681343,Shane Smith,669432,Trevor Rogers,Rate Field,2026-04-07T19:10:00Z,Scheduled
823648,2026-04-07T20:10:00Z,121,109,New York Mets,Arizona Diamondbacks,642547,Freddy Peralta,668678,Zac Gallen,Citi Field,2026-04-07T20:10:00Z,Scheduled
823402,2026-04-07T22:40:00Z,134,135,Pittsburgh Pirates,San Diego Padres,694973,Paul Skenes,601713,Nick Pivetta,PNC Park,2026-04-07T22:40:00Z,Scheduled
822999,2026-04-07T22:40:00Z,139,112,Tampa Bay Rays,Chicago Cubs,656876,Drew Rasmussen,665871,Javier Assad,Tropicana Field,2026-04-07T22:40:00Z,Scheduled
823887,2026-04-07T22:40:00Z,146,113,Miami Marlins,Cincinnati Reds,645261,Sandy Alcantara,671096,Andrew Abbott,loanDepot park,2026-04-07T22:40:00Z,Scheduled
822754,2026-04-07T22:45:00Z,120,138,Washington Nationals,St. Louis Cardinals,676917,Cade Cavalli,669461,Matthew Liberatore,Nationals Park,2026-04-07T22:45:00Z,Scheduled
824780,2026-04-07T22:45:00Z,111,158,Boston Red Sox,Milwaukee Brewers,676979,Garrett Crochet,694819,Jacob Misiorowski,Fenway Park,2026-04-07T22:45:00Z,Scheduled
823567,2026-04-07T23:05:00Z,147,133,New York Yankees,Athletics,693645,Cam Schlittler,650644,Aaron Civale,Yankee Stadium,2026-04-07T23:05:00Z,Scheduled
822831,2026-04-07T23:07:00Z,141,119,Toronto Blue Jays,Los Angeles Dodgers,592332,Kevin Gausman,808967,Yoshinobu Yamamoto,Rogers Centre,2026-04-07T23:07:00Z,Scheduled
823727,2026-04-07T23:40:00Z,142,116,Minnesota Twins,Detroit Tigers,671737,Taj Bradley,669373,Tarik Skubal,Target Field,2026-04-07T23:40:00Z,Scheduled
822916,2026-04-08T00:05:00Z,140,136,Texas Rangers,Seattle Mariners,543135,Nathan Eovaldi,669923,George Kirby,Globe Life Field,2026-04-08T00:05:00Z,Scheduled
824375,2026-04-08T00:40:00Z,115,117,Colorado Rockies,Houston Astros,607536,Kyle Freeland,681347,Mike Burrows,Coors Field,2026-04-08T00:40:00Z,Scheduled
824051,2026-04-08T01:38:00Z,108,144,Los Angeles Angels,Atlanta Braves,579328,Yusei Kikuchi,625643,Reynaldo López,Angel Stadium,2026-04-08T01:38:00Z,Scheduled
823235,2026-04-08T01:45:00Z,137,143,San Francisco Giants,Philadelphia Phillies,592662,Robbie Ray,650911,Cristopher Sánchez,Oracle Park,2026-04-08T01:45:00Z,Scheduled
