game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_probable_pitcher_id,home_probable_pitcher_name,away_probable_pitcher_id,away_probable_pitcher_name,venue,game_time_utc,status
823202,2026-07-08T19:45:00Z,137,141,San Francisco Giants,Toronto Blue Jays,657277,Logan Webb,656302,Dylan Cease,Oracle Park,2026-07-08T19:45:00Z,Scheduled
824815,2026-07-08T22:35:00Z,110,112,Baltimore Orioles,Chicago Cubs,665152,Dean Kremer,607067,Colin Rea,Oriole Park at Camden Yards,2026-07-08T22:35:00Z,Scheduled
824253,2026-07-08T22:40:00Z,116,133,Detroit Tigers,Athletics,675512,Troy Melton,605488,Jeffrey Springs,Comerica Park,2026-07-08T22:40:00Z,Scheduled
823360,2026-07-08T22:40:00Z,134,144,Pittsburgh Pirates,Atlanta Braves,683003,Jared Jones,656550,Grant Holmes,PNC Park,2026-07-08T22:40:00Z,Scheduled
823848,2026-07-08T22:40:00Z,146,136,Miami Marlins,Seattle Mariners,663969,Tyler Phillips,669923,George Kirby,loanDepot park,2026-07-08T22:40:00Z,Scheduled
822957,2026-07-08T22:40:00Z,139,147,Tampa Bay Rays,New York Yankees,663556,Shane McClanahan,543037,Gerrit Cole,Tropicana Field,2026-07-08T22:40:00Z,Scheduled
822710,2026-07-08T22:45:00Z,120,117,Washington Nationals,Houston Astros,656492,Foster Griffin,681293,Spencer Arrighetti,Nationals Park,2026-07-08T22:45:00Z,Scheduled
823605,2026-07-08T23:10:00Z,121,118,New York Mets,Kansas City Royals,681035,Christian Scott,674444,Steven Cruz,Citi Field,2026-07-08T23:10:00Z,Scheduled
824496,2026-07-08T23:10:00Z,113,143,Cincinnati Reds,Philadelphia Phillies,695505,Chase Burns,,Alan Rangel,Great American Ball Park,2026-07-08T23:10:00Z,Scheduled
823684,2026-07-08T23:40:00Z,142,114,Minnesota Twins,Cleveland Guardians,687570,Connor Prielipp,677944,Slade Cecconi,Target Field,2026-07-08T23:40:00Z,Scheduled
824578,2026-07-08T23:40:00Z,145,111,Chicago White Sox,Boston Red Sox,663436,Davis Martin,687562,Jake Bennett,Rate Field,2026-07-08T23:40:00Z,Scheduled
823032,2026-07-08T23:45:00Z,138,158,St. Louis Cardinals,Milwaukee Brewers,700241,Michael McGreevy,690986,Kyle Harrison,Busch Stadium,2026-07-08T23:45:00Z,Scheduled
822880,2026-07-09T00:05:00Z,140,108,Texas Rangers,Los Angeles Angels,669022,MacKenzie Gore,700712,Walbert Ureña,Globe Life Field,2026-07-09T00:05:00Z,Scheduled
823928,2026-07-09T02:10:00Z,119,115,Los Angeles Dodgers,Colorado Rockies,808963,Roki Sasaki,687312,Gabriel Hughes,UNIQLO Field at Dodger Stadium,2026-07-09T02:10:00Z,Scheduled
823279,2026-07-09T02:10:00Z,135,109,San Diego Padres,Arizona Diamondbacks,650633,Michael King,703615,Jose Cabrera,Petco Park,2026-07-09T02:10:00Z,Scheduled
