game_pk,id,season,date,postseason,season_type,status,venue,conference_play,home_team_id,away_team_id,home_team_slug,away_team_slug,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_short_display_name,away_team_short_display_name,home_team_name,away_team_name,home_team_location,away_team_location,home_team_league,away_team_league,home_team_division,away_team_division,home_team_score,away_team_score,favorite_id,underdog_id,favorite_abbreviation,underdog_abbreviation,favorite_display_name,underdog_display_name
264717,22205,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Wrigley Field,False,5,6,chicago-cubs,chicago-white-sox,CHC,CHW,Chicago Cubs,Chicago White Sox,Cubs,White Sox,Cubs,White Sox,Chicago,Chicago,National,American,Central,Central,5,10,,,,,,
264718,22212,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Tropicana Field,False,27,15,tampa-bay-rays,miami-marlins,TB,MIA,Tampa Bay Rays,Miami Marlins,Rays,Marlins,Rays,Marlins,Tampa Bay,Miami,American,National,East,East,9,14,,,,,,
264719,22209,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Yankee Stadium,False,19,11,new-york-yankees,houston-astros,NYY,HOU,New York Yankees,Houston Astros,Yankees,Astros,Yankees,Astros,New York,Houston,American,American,East,West,4,3,,,,,,
264720,22211,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Great American Ball Park,False,7,12,cincinnati-reds,kansas-city-royals,CIN,KC,Cincinnati Reds,Kansas City Royals,Reds,Royals,Reds,Royals,Cincinnati,Kansas City,National,American,Central,Central,5,6,,,,,,
264722,22206,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Oriole Park at Camden Yards,False,3,18,baltimore-orioles,new-york-mets,BAL,NYM,Baltimore Orioles,New York Mets,Orioles,Mets,Orioles,Mets,Baltimore,New York,American,National,East,East,1,5,,,,,,
264723,22210,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Fenway Park,False,4,21,boston-red-sox,philadelphia-phillies,BOS,PHI,Boston Red Sox,Philadelphia Phillies,Red Sox,Phillies,Red Sox,Phillies,Boston,Philadelphia,American,National,East,East,12,2,,,,,,
264724,22208,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Comerica Park,False,10,22,detroit-tigers,pittsburgh-pirates,DET,PIT,Detroit Tigers,Pittsburgh Pirates,Tigers,Pirates,Tigers,Pirates,Detroit,Pittsburgh,American,National,Central,Central,6,2,,,,,,
264725,22217,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Petco Park,False,23,25,san-diego-padres,seattle-mariners,SD,SEA,San Diego Padres,Seattle Mariners,Padres,Mariners,Padres,Mariners,San Diego,Seattle,National,American,West,West,4,3,,,,,,
264726,22216,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Chase Field,False,1,26,arizona-diamondbacks,st-louis-cardinals,ARI,STL,Arizona Diamondbacks,St. Louis Cardinals,Diamondbacks,Cardinals,Diamondbacks,Cardinals,Arizona,St. Louis,National,National,West,Central,2,5,,,,,,
264727,22213,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Miller Park,False,16,28,milwaukee-brewers,texas-rangers,MIL,TEX,Milwaukee Brewers,Texas Rangers,Brewers,Rangers,Brewers,Rangers,Milwaukee,Texas,National,American,Central,West,6,2,,,,,,
264728,22215,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Coors Field,False,9,29,colorado-rockies,toronto-blue-jays,COL,TOR,Colorado Rockies,Toronto Blue Jays,Rockies,Blue Jays,Rockies,Blue Jays,Colorado,Toronto,National,American,West,East,5,3,,,,,,
264729,22207,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Progressive Field,False,8,30,cleveland-guardians,washington-nationals,CLE,WSH,Cleveland Guardians,Washington Nationals,Guardians,Nationals,Guardians,Nationals,Cleveland,Washington,American,National,Central,East,7,2,,,,,,
264730,22214,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Target Field,False,17,2,minnesota-twins,atlanta-braves,MIN,ATL,Minnesota Twins,Atlanta Braves,Twins,Braves,Twins,Braves,Minnesota,Atlanta,American,National,Central,East,2,1,,,,,,
264731,22219,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Oracle Park,False,24,20,san-francisco-giants,oakland-athletics,SF,OAK,San Francisco Giants,Oakland Athletics,Giants,Athletics,Giants,Athletics,San Francisco,Oakland,National,American,West,West,6,2,,,,,,
264855,22218,2010,2010-06-11T00:00:00.000Z,False,regular,STATUS_FINAL,Dodger Stadium,False,14,13,los-angeles-dodgers,los-angeles-angels,LAD,LAA,Los Angeles Dodgers,Los Angeles Angels,Dodgers,Angels,Dodgers,Angels,Los Angeles,Los Angeles,National,American,West,West,1,10,,,,,,
