fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
HOU,LAA,-1.5,1.5,0.439,0.58,+128,-138,1,2025-08-29T20:10:00-04:00,HOU -1.5,2025-08-29T16:44:10.127+00:00
CIN,STL,-1.5,1.5,0.375,0.64,+167,-178,1,2025-08-29T18:40:00-04:00,CIN -1.5,2025-08-29T16:34:15.77+00:00
LAD,ARI,-1.5,1.5,0.47,0.55,+113,-122,0,2025-08-29T22:10:00-04:00,LAD -1.5,2025-08-29T16:47:30.661+00:00
SEA,CLE,-1.5,1.5,0.469,0.559,+113,-127,0,2025-08-29T19:10:00-04:00,CLE +1.5,2025-08-29T16:28:25.983+00:00
KAN,DET,-1.5,1.5,0.368,0.654,+172,-189,1,2025-08-29T20:10:00-04:00,KAN -1.5,2025-08-29T16:46:30.547+00:00
OAK,TEX,-1.5,1.5,0.415,0.607,+141,-154,1,2025-08-29T22:05:00-04:00,OAK -1.5,2025-08-29T16:28:34.616+00:00
CHC,COL,-1.5,1.5,0.597,0.42,-148,+138,0,2025-08-29T20:40:00-04:00,COL +1.5,2025-08-29T16:37:37.308+00:00
NYM,MIA,-1.5,1.5,0.444,0.575,+125,-135,0,2025-08-29T19:10:00-04:00,NYM -1.5,2025-08-29T16:28:39.88+00:00
NYY,CWS,-1.5,1.5,0.558,0.457,-126,+119,0,2025-08-29T19:40:00-04:00,CWS +1.5,2025-08-29T16:28:50.488+00:00
TOR,MIL,-1.5,1.5,0.365,0.649,+174,-185,1,2025-08-29T19:07:00-04:00,TOR -1.5,2025-08-29T16:41:08.561+00:00
PHI,ATL,-1.5,1.5,0.468,0.552,+114,-123,1,2025-08-29T18:45:00-04:00,PHI -1.5,2025-08-29T16:44:14.973+00:00
TB,WAS,-1.5,1.5,0.451,0.561,+122,-128,0,2025-08-29T18:45:00-04:00,WAS +1.5,2025-08-29T16:39:58.675+00:00
SD,MIN,-1.5,1.5,0.439,0.592,+128,-145,0,2025-08-29T20:10:00-04:00,MIN +1.5,2025-08-29T16:29:03.168+00:00
SF,BAL,-1.5,1.5,0.389,0.635,+157,-174,0,2025-08-29T22:15:00-04:00,SF -1.5,2025-08-29T16:46:06.689+00:00
PIT,BOS,-1.5,1.5,0.368,0.653,+172,-188,0,2025-08-29T19:10:00-04:00,BOS +1.5,2025-08-29T16:33:58.516+00:00
