fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
HOU,NYY,-0.5,0.5,0.465,0.572,+115,-134,0,2025-08-09T14:05:00-04:00,NYY +0.5 1H,2025-08-09T16:39:05.935+00:00
HOU,NYY,-1.5,1.5,0.394,0.615,+154,-160,0,2025-08-09T14:05:00-04:00,NYY +1.5,2025-08-09T16:49:20.629+00:00
DET,LAA,-0.5,0.5,0.472,0.587,+112,-142,1,2025-08-09T18:10:00-04:00,DET -0.5 1H,2025-08-09T16:37:38.767+00:00
DET,LAA,-1.5,1.5,0.379,0.635,+164,-174,1,2025-08-09T18:10:00-04:00,DET -1.5,2025-08-09T16:36:43.253+00:00
OAK,BAL,-0.5,0.5,0.451,0.61,+122,-156,0,2025-08-09T19:05:00-04:00,BAL +0.5 1H,2025-08-09T15:15:00.474+00:00
BAL,OAK,-1.5,1.5,0.36,0.67,+178,-203,1,2025-08-09T19:05:00-04:00,BAL -1.5,2025-08-09T16:49:08.015+00:00
SF,WAS,-0.5,0.5,0.522,0.53,-109,-113,0,2025-08-09T16:05:00-04:00,SF -0.5 1H,2025-08-09T16:22:33.199+00:00
SF,WAS,-1.5,1.5,0.418,0.6,+139,-150,0,2025-08-09T16:05:00-04:00,SF -1.5,2025-08-09T16:22:33.199+00:00
TEX,PHI,-0.5,0.5,0.521,0.54,-109,-117,1,2025-08-09T19:15:00-04:00,TEX -0.5 1H,2025-08-09T16:42:33.558+00:00
TEX,PHI,-1.5,1.5,0.375,0.649,+167,-185,1,2025-08-09T19:15:00-04:00,TEX -1.5,2025-08-09T16:48:58.289+00:00
STL,CHC,-0.5,0.5,0.463,0.598,+116,-149,0,2025-08-09T19:15:00-04:00,STL -0.5 1H,2025-08-09T16:02:31.097+00:00
STL,CHC,-1.5,1.5,0.336,0.676,+198,-209,0,2025-08-09T19:15:00-04:00,STL -1.5,2025-08-09T16:30:48.675+00:00
SD,BOS,-0.5,0.5,0.462,,+116,N/A,0,2025-08-09T20:40:00-04:00,SD -0.5 1H,2025-08-09T16:44:23.154+00:00
SD,BOS,-1.5,1.5,0.38,0.644,+163,-181,0,2025-08-09T20:40:00-04:00,SD -1.5,2025-08-09T16:20:00.583+00:00
ARI,COL,-1.5,1.5,0.522,0.498,-109,+101,1,2025-08-09T20:10:00-04:00,ARI -1.5,2025-08-09T16:35:13.979+00:00
KAN,MIN,-0.5,0.5,0.475,0.586,+111,-142,0,2025-08-09T19:10:00-04:00,MIN +0.5 1H,2025-08-09T16:12:31.353+00:00
KAN,MIN,-1.5,1.5,0.4,0.618,+150,-162,0,2025-08-09T19:10:00-04:00,MIN +1.5,2025-08-09T16:36:09.139+00:00
CIN,PIT,-1.5,1.5,0.379,0.638,+164,-176,0,2025-08-09T18:40:00-04:00,PIT +1.5,2025-08-09T16:32:33.996+00:00
CIN,PIT,-0.5,0.5,0.452,0.609,+121,-156,0,2025-08-09T18:40:00-04:00,PIT +0.5 1H,2025-08-09T16:47:21.593+00:00
CLE,CWS,-0.5,0.5,0.458,0.603,+118,-152,0,2025-08-09T19:10:00-04:00,CWS +0.5 1H,2025-08-09T15:22:28.899+00:00
CLE,CWS,-1.5,1.5,0.426,0.594,+135,-146,0,2025-08-09T19:10:00-04:00,CWS +1.5,2025-08-09T16:45:51.849+00:00
SEA,TB,-1.5,1.5,0.394,0.636,+154,-175,1,2025-08-09T21:40:00-04:00,SEA -1.5,2025-08-09T16:32:33.996+00:00
SEA,TB,-0.5,0.5,0.497,0.539,+101,-117,1,2025-08-09T21:40:00-04:00,SEA -0.5 1H,2025-08-09T16:32:33.996+00:00
ATL,MIA,-1.5,1.5,0.351,0.661,+185,-195,1,2025-08-09T13:15:00-04:00,ATL -1.5,2025-08-09T16:48:19.137+00:00
ATL,MIA,-0.5,0.5,0.446,0.589,+124,-143,1,2025-08-09T13:15:00-04:00,ATL -0.5 1H,2025-08-09T16:32:33.996+00:00
MIL,NYM,-1.5,1.5,0.37,0.656,+170,-191,1,2025-08-09T19:10:00-04:00,MIL -1.5,2025-08-09T16:42:11.312+00:00
MIL,NYM,-0.5,0.5,0.475,0.586,+111,-142,1,2025-08-09T19:10:00-04:00,MIL -0.5 1H,2025-08-09T15:35:21.791+00:00
LAD,TOR,-1.5,1.5,0.433,0.597,+131,-148,0,2025-08-09T21:10:00-04:00,LAD -1.5,2025-08-09T16:49:06.997+00:00
LAD,TOR,-0.5,0.5,0.555,0.506,-125,-102,0,2025-08-09T21:10:00-04:00,LAD -0.5 1H,2025-08-09T15:52:30.92+00:00
