fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
OAK,LAA,-1.5,1.5,0.429,0.605,+133,-153,0,2025-09-07T16:07:00-04:00,LAA +1.5,2025-09-07T16:41:26.212+00:00
NYY,TOR,-1.5,1.5,0.45,0.576,+122,-136,0,2025-09-07T13:35:00-04:00,NYY -1.5,2025-09-07T16:43:07.623+00:00
MIL,PIT,-1.5,1.5,0.437,0.589,+129,-143,0,2025-09-07T13:35:00-04:00,PIT +1.5,2025-09-07T16:41:55.056+00:00
CIN,NYM,-1.5,1.5,0.366,0.664,+173,-198,1,2025-09-07T13:40:00-04:00,CIN -1.5,2025-09-07T16:29:52.15+00:00
LAD,BAL,-1.5,1.5,0.497,0.517,+101,-107,0,2025-09-07T13:35:00-04:00,BAL +1.5,2025-09-07T16:41:42.31+00:00
PHI,MIA,-1.5,1.5,0.444,0.574,+125,-135,0,2025-09-07T13:40:00-04:00,MIA +1.5,2025-09-07T16:42:22.217+00:00
CHC,WAS,-1.5,1.5,0.456,0.563,+119,-129,0,2025-09-07T14:20:00-04:00,CHC -1.5,2025-09-07T16:42:52.33+00:00
STL,SF,-1.5,1.5,0.388,0.625,+158,-167,0,2025-09-07T14:15:00-04:00,STL -1.5,2025-09-07T16:38:37.394+00:00
HOU,TEX,-1.5,1.5,0.441,0.583,+127,-140,0,2025-09-07T14:35:00-04:00,TEX +1.5,2025-09-07T16:32:13.501+00:00
DET,CWS,-1.5,1.5,0.461,0.566,+117,-130,1,2025-09-07T13:40:00-04:00,DET -1.5,2025-09-07T16:23:46.618+00:00
SD,COL,-1.5,1.5,0.598,0.414,-149,+142,0,2025-09-07T15:10:00-04:00,COL +1.5,2025-09-07T16:37:06.653+00:00
ARI,BOS,-1.5,1.5,0.349,0.677,+187,-210,1,2025-09-07T16:10:00-04:00,ARI -1.5,2025-09-07T16:40:56.4+00:00
KAN,MIN,-1.5,1.5,0.371,0.657,+170,-192,1,2025-09-07T14:10:00-04:00,KAN -1.5,2025-09-07T16:30:59.594+00:00
