fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
KAN,LAA,-1.5,1.5,0.488,0.522,+105,-109,0,2025-09-23T21:38:00-04:00,LAA +1.5,2025-09-23T16:45:42.437+00:00
CHC,NYM,-1.5,1.5,0.337,0.671,+197,-204,0,2025-09-23T19:40:00-04:00,CHC -1.5,2025-09-23T16:47:15.928+00:00
LAD,ARI,-1.5,1.5,0.476,0.541,+110,-118,0,2025-09-23T21:40:00-04:00,ARI +1.5,2025-09-23T16:45:54.77+00:00
TOR,BOS,-1.5,1.5,0.422,0.601,+137,-151,1,2025-09-23T19:07:00-04:00,TOR -1.5,2025-09-23T16:45:22.238+00:00
ATL,WAS,-1.5,1.5,0.483,0.526,+107,-111,1,2025-09-23T19:15:00-04:00,ATL -1.5,2025-09-23T16:39:23.317+00:00
OAK,HOU,-1.5,1.5,0.359,0.672,+179,-205,1,2025-09-23T22:05:00-04:00,OAK -1.5,2025-09-23T16:47:40.155+00:00
CIN,PIT,-1.5,1.5,0.426,0.578,+135,-137,1,2025-09-23T18:40:00-04:00,CIN -1.5,2025-09-23T16:47:40.155+00:00
SF,STL,-1.5,1.5,0.452,0.567,+121,-131,0,2025-09-23T21:45:00-04:00,SF -1.5,2025-09-23T16:33:34.833+00:00
DET,CLE,-1.5,1.5,0.437,0.578,+129,-137,0,2025-09-23T18:40:00-04:00,CLE +1.5,2025-09-23T16:45:38.158+00:00
TB,BAL,-1.5,1.5,0.405,0.619,+147,-162,0,2025-09-23T18:35:00-04:00,BAL +1.5,2025-09-23T16:47:02.003+00:00
NYY,CWS,-1.5,1.5,0.519,0.488,-108,+105,0,2025-09-23T19:05:00-04:00,NYY -1.5,2025-09-23T16:44:38.071+00:00
PHI,MIA,-1.5,1.5,0.513,0.495,-105,+102,1,2025-09-23T18:45:00-04:00,PHI -1.5,2025-09-23T16:45:05.308+00:00
TEX,MIN,-1.5,1.5,0.389,0.631,+157,-171,1,2025-09-23T20:05:00-04:00,TEX -1.5,2025-09-23T16:45:28.441+00:00
SD,MIL,-1.5,1.5,0.349,0.683,+187,-215,0,2025-09-23T21:40:00-04:00,SD -1.5,2025-09-23T16:45:38.158+00:00
SEA,COL,-1.5,1.5,0.558,0.457,-126,+119,1,2025-09-23T21:40:00-04:00,SEA -1.5,2025-09-23T16:46:05.148+00:00
