fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
DET,TOR,-1.5,1.5,0.346,0.661,+189,-195,1,2025-07-27T13:40:00-04:00,DET -1.5,2025-07-27T16:41:14.203+00:00
LAD,BOS,-1.5,1.5,0.413,0.602,+142,-151,0,2025-07-27T13:35:00-04:00,BOS +1.5,2025-07-27T16:46:05.503+00:00
PIT,ARI,-1.5,1.5,0.399,0.615,+151,-160,1,2025-07-27T13:35:00-04:00,PIT -1.5,2025-07-27T16:48:21.971+00:00
PHI,NYY,-1.5,1.5,0.431,0.595,+132,-147,0,2025-07-27T13:35:00-04:00,NYY +1.5,2025-07-27T16:47:32.318+00:00
BAL,COL,-1.5,1.5,0.512,0.5,-105,+100,1,2025-07-27T13:35:00-04:00,BAL -1.5,2025-07-27T16:49:35.503+00:00
MIN,WAS,-1.5,1.5,0.442,0.576,+126,-136,1,2025-07-27T14:10:00-04:00,MIN -1.5,2025-07-27T16:47:35.46+00:00
CHC,CWS,-1.5,1.5,0.485,0.524,+106,-110,0,2025-07-27T14:10:00-04:00,CWS +1.5,2025-07-27T16:49:02.493+00:00
HOU,OAK,-1.5,1.5,0.375,0.631,+167,-171,1,2025-07-27T14:10:00-04:00,HOU -1.5,2025-07-27T16:45:41.712+00:00
KAN,CLE,-1.5,1.5,0.38,0.642,+163,-179,1,2025-07-27T14:10:00-04:00,KAN -1.5,2025-07-27T16:49:03.494+00:00
STL,SD,-1.5,1.5,0.375,0.649,+167,-185,0,2025-07-27T14:15:00-04:00,STL -1.5,2025-07-27T16:49:34.292+00:00
MIL,MIA,-1.5,1.5,0.397,0.612,+152,-158,1,2025-07-27T14:10:00-04:00,MIL -1.5,2025-07-27T16:47:17.93+00:00
TEX,ATL,-1.5,1.5,0.374,0.639,+167,-177,1,2025-07-27T14:35:00-04:00,TEX -1.5,2025-07-27T16:41:21.876+00:00
SEA,LAA,-1.5,1.5,0.499,0.535,+100,-115,0,2025-07-27T16:07:00-04:00,LAA +1.5,2025-07-27T16:46:02.456+00:00
NYM,SF,-1.5,1.5,0.421,0.603,+138,-152,0,2025-07-27T19:10:00-04:00,SF +1.5,2025-07-27T16:48:07.771+00:00
CIN,TB,-1.5,1.5,0.351,0.659,+185,-193,1,2025-07-27T13:40:00-04:00,CIN -1.5,2025-07-27T16:26:33.83+00:00
