fav_team,dog_team,fav_line,dog_line,fav_price,dog_price,fav_price_american,dog_price_american,home_favorite,game_time_est,market,market_timestamp
LAD,TB,-1.5,1.5,0.415,0.608,+141,-155,0,2025-08-02T13:10:00-04:00,TB +1.5,2025-08-02T16:51:23.67+00:00
CHC,BAL,-1.5,1.5,0.505,0.505,-102,-102,0,2025-08-02T14:20:00-04:00,CHC -1.5,2025-08-02T16:48:55.505+00:00
BOS,HOU,-1.5,1.5,0.37,0.644,+170,-181,1,2025-08-02T16:10:00-04:00,BOS -1.5,2025-08-02T16:30:07.749+00:00
TOR,KAN,-1.5,1.5,0.397,0.621,+152,-164,1,2025-08-02T15:07:00-04:00,TOR -1.5,2025-08-02T16:48:04.759+00:00
MIL,WAS,-1.5,1.5,0.527,0.485,-111,+106,0,2025-08-02T16:05:00-04:00,WAS +1.5,2025-08-02T16:50:05.702+00:00
PIT,COL,-1.5,1.5,0.6,0.43,-150,+133,0,2025-08-02T15:10:00-04:00,COL +1.5,2025-08-02T16:48:34.22+00:00
SEA,TEX,-1.5,1.5,0.35,0.659,+186,-193,1,2025-08-02T16:10:00-04:00,SEA -1.5,2025-08-02T16:47:07.629+00:00
ATL,CIN,-1.5,1.5,0.412,0.616,+143,-160,0,2025-08-02T19:15:00-04:00,CIN +1.5,2025-08-02T16:48:11.186+00:00
SD,STL,-1.5,1.5,0.399,0.619,+151,-162,0,2025-08-02T22:10:00-04:00,SD -1.5,2025-08-02T16:32:39.181+00:00
LAA,CWS,-1.5,1.5,0.402,0.611,+149,-157,0,2025-08-02T22:07:00-04:00,LAA -1.5,2025-08-02T16:48:57.768+00:00
DET,PHI,-1.5,1.5,0.344,0.668,+191,-201,0,2025-08-02T16:05:00-04:00,PHI +1.5,2025-08-02T16:48:57.768+00:00
NYY,MIA,-1.5,1.5,0.372,0.64,+169,-178,0,2025-08-02T16:10:00-04:00,MIA +1.5,2025-08-02T16:47:37.225+00:00
CLE,MIN,-1.5,1.5,0.4,0.614,+150,-159,1,2025-08-02T16:10:00-04:00,CLE -1.5,2025-08-02T16:44:37.738+00:00
OAK,ARI,-1.5,1.5,0.372,0.653,+169,-188,1,2025-08-02T22:05:00-04:00,OAK -1.5,2025-08-02T16:50:57.198+00:00
NYM,SF,-1.5,1.5,0.472,0.545,+112,-120,0,2025-08-02T16:10:00-04:00,NYM -1.5,2025-08-02T16:51:05.725+00:00
