balldontlie_game_id,id,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_postseason,away_postseason,home_season_type,away_season_type,home_season,away_season,home_gp,away_gp,home_batting_ab,away_batting_ab,home_batting_r,away_batting_r,home_batting_h,away_batting_h,home_batting_2b,away_batting_2b,home_batting_3b,away_batting_3b,home_batting_hr,away_batting_hr,home_batting_rbi,away_batting_rbi,home_batting_tb,away_batting_tb,home_batting_bb,away_batting_bb,home_batting_so,away_batting_so,home_batting_sb,away_batting_sb,home_batting_avg,away_batting_avg,home_batting_obp,away_batting_obp,home_batting_slg,away_batting_slg,home_batting_ops,away_batting_ops,home_pitching_w,away_pitching_w,home_pitching_l,away_pitching_l,home_pitching_era,away_pitching_era,home_pitching_ip,away_pitching_ip,home_pitching_h,away_pitching_h,home_pitching_er,away_pitching_er,home_pitching_hr,away_pitching_hr,home_pitching_bb,away_pitching_bb,home_pitching_k,away_pitching_k,home_pitching_oba,away_pitching_oba,home_pitching_whip,away_pitching_whip,home_fielding_e,away_fielding_e,date_dt
1940662,777642,2025-06-05,138,118,STL,KC,St. Louis Cardinals,Kansas City Royals,Cardinals,Royals,0,0,regular,regular,2025,2025,65,63,35,40,6,5,8,12,1,2,0,0,1,1,6,5,12,17,3,2,3,4,0,1,0.258,0.249,0.329,0.302,0.396,0.364,0.725,0.666,1,0,0,1,3.88,3.2,10.0,9.3333,12,8,4,4,1,1,2,3,4,3,0.3,0.228,1.25,1.19,0,1,2025-06-05
23082,777640,2025-06-05,144,109,ATL,AZ,Atlanta Braves,Arizona Diamondbacks,Braves,D-backs,0,0,regular,regular,2025,2025,64,62,37,37,10,11,13,12,5,3,0,0,3,3,10,11,27,24,4,6,9,7,0,0,0.245,0.255,0.318,0.333,0.389,0.448,0.707,0.781,0,1,1,0,3.82,4.77,9.0,9.0,12,13,11,10,3,3,6,4,7,9,0.324,0.351,1.26,1.33,1,0,2025-06-05
1940662,777642,2025-06-05,138,118,STL,KC,St. Louis Cardinals,Kansas City Royals,Cardinals,Royals,0,0,regular,regular,2025,2025,66,64,35,40,6,5,8,12,1,2,0,0,1,1,6,5,12,17,3,2,3,4,0,1,0.258,0.249,0.329,0.302,0.396,0.364,0.725,0.666,1,0,0,1,3.88,3.2,10.0,9.3333,12,8,4,4,1,1,2,3,4,3,0.3,0.228,1.25,1.19,0,1,2025-06-05
23089,777635,2025-06-05,138,118,STL,KC,St. Louis Cardinals,Kansas City Royals,Cardinals,Royals,0,0,regular,regular,2025,2025,67,65,33,38,5,7,7,12,1,3,0,0,1,2,5,7,11,21,4,3,13,6,1,2,0.257,0.25,0.329,0.303,0.395,0.367,0.724,0.67,0,1,1,0,3.93,3.23,9.0,9.0,12,7,7,5,2,1,3,4,6,13,0.315,0.212,1.26,1.19,0,0,2025-06-05
23088,777634,2025-06-05,145,116,CWS,DET,Chicago White Sox,Detroit Tigers,White Sox,Tigers,0,0,regular,regular,2025,2025,63,66,33,36,3,2,11,8,1,0,0,0,0,1,3,2,12,11,6,4,5,9,0,1,0.223,0.251,0.296,0.323,0.342,0.408,0.638,0.731,1,0,0,1,4.16,3.19,10.0,9.3333,8,11,2,2,1,0,4,6,9,5,0.222,0.333,1.37,1.17,0,0,2025-06-05
23086,777637,2025-06-05,141,143,TOR,PHI,Toronto Blue Jays,Philadelphia Phillies,Blue Jays,Phillies,0,0,regular,regular,2025,2025,64,64,37,32,9,1,14,5,4,2,0,0,1,0,9,1,21,7,2,2,4,8,1,0,0.254,0.254,0.326,0.33,0.396,0.402,0.722,0.732,1,0,0,1,3.98,4.04,9.0,8.0,5,14,1,9,0,1,2,2,8,4,0.156,0.378,1.2,1.31,0,0,2025-06-05
64729,777636,2025-06-05,133,142,ATH,MIN,Athletics,Minnesota Twins,Athletics,Twins,0,0,regular,regular,2025,2025,64,65,41,30,14,3,17,5,3,1,0,0,4,1,14,3,32,9,6,5,9,7,1,0,0.256,0.241,0.323,0.311,0.421,0.384,0.744,0.695,1,0,0,1,5.79,3.47,9.0,8.0,5,17,3,14,1,4,5,6,7,9,0.166,0.414,1.54,1.18,1,0,2025-06-05
23090,777628,2025-06-05,136,110,SEA,BAL,Seattle Mariners,Baltimore Orioles,Mariners,Orioles,0,0,regular,regular,2025,2025,61,66,36,33,3,4,9,6,2,1,0,0,1,2,3,3,14,13,0,2,12,10,1,0,0.236,0.237,0.318,0.302,0.392,0.386,0.71,0.688,0,1,1,0,3.87,5.1,9.0,9.0,6,9,4,3,2,1,2,0,10,12,0.181,0.25,1.32,1.43,0,0,2025-06-05
23093,777633,2025-06-05,137,135,SF,SD,San Francisco Giants,San Diego Padres,Giants,Padres,0,0,regular,regular,2025,2025,63,61,29,33,3,2,6,7,2,0,0,0,0,1,3,2,8,10,4,1,11,12,2,0,0.231,0.249,0.309,0.314,0.371,0.38,0.68,0.694,1,0,0,1,3.04,3.55,9.0,8.0,7,6,2,3,1,0,1,4,12,11,0.212,0.206,1.2,1.2,0,0,2025-06-05
23092,777631,2025-06-05,119,121,LAD,NYM,Los Angeles Dodgers,New York Mets,Dodgers,Mets,0,0,regular,regular,2025,2025,63,64,32,36,6,5,9,11,2,1,0,0,0,3,5,5,11,21,4,7,7,7,0,2,0.266,0.244,0.341,0.328,0.465,0.413,0.806,0.741,1,0,0,1,4.13,2.85,9.0,8.0,11,9,5,4,3,0,7,4,7,7,0.305,0.281,1.3,1.23,0,1,2025-06-05
