game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
415321,2015-08-09,147,141,NYY,TOR,New York Yankees,Toronto Blue Jays,Yankees,Blue Jays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2015,2015,109,112,61,60,48,52,0.56,0.536,529,595,466,468,63,127,4.85,5.31,4.28,4.18,0.58,1.13,0.0,0.0,0.0,0.0,0.579,0.526,0.565,0.543,32,36,20,21,29,24,28,31,L2,W7,0,0,0.0,0.0,0.0,0.0,61-48,60-52,32-20,36-21,29-28,24-31,26-20,25-21,55-40,51-46,4-6,9-1,True
415320,2015-08-09,136,140,SEA,TEX,Seattle Mariners,Texas Rangers,Mariners,Rangers,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2015,2015,111,109,51,55,60,54,0.459,0.505,415,491,475,521,-60,-30,3.74,4.5,4.28,4.78,-0.54,-0.28,0.0,0.0,0.0,0.0,0.468,0.5,0.5,0.4,23,23,32,29,28,32,28,25,L1,W1,0,0,0.0,0.0,0.0,0.0,51-60,55-54,23-32,23-29,28-28,32-25,22-22,18-27,44-50,46-46,5-5,8-2,True
415319,2015-08-09,158,138,MIL,STL,Milwaukee Brewers,St. Louis Cardinals,Brewers,Cardinals,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2015,2015,112,110,47,71,65,39,0.42,0.645,438,436,495,314,-57,122,3.91,3.96,4.42,2.85,-0.51,1.11,0.0,0.0,0.0,0.0,0.415,0.667,0.419,0.652,23,40,36,16,24,31,29,23,L2,W4,0,0,0.0,0.0,0.0,0.0,47-65,71-39,23-36,40-16,24-29,31-23,18-25,30-16,39-55,60-30,3-7,7-3,True
415318,2015-08-09,112,137,CHC,SF,Chicago Cubs,San Francisco Giants,Cubs,Giants,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2015,2015,109,110,61,59,48,51,0.56,0.536,430,485,413,431,17,54,3.94,4.41,3.79,3.92,0.16,0.49,0.0,0.0,0.0,0.0,0.573,0.516,0.542,0.54,30,30,24,23,31,29,24,28,W3,L3,0,0,0.0,0.0,0.0,0.0,61-48,59-51,30-24,30-23,31-24,29-28,26-22,27-23,55-41,49-46,9-1,4-6,False
415317,2015-08-09,135,143,SD,PHI,San Diego Padres,Philadelphia Phillies,Padres,Phillies,National League,National League,NL,NL,NL West,NL East,NL West,NL East,2015,2015,111,111,52,44,59,67,0.468,0.396,433,413,492,538,-59,-125,3.9,3.72,4.43,4.85,-0.53,-1.13,0.0,0.0,0.0,0.0,0.489,0.385,0.511,0.409,24,27,27,29,28,17,32,38,L5,W2,0,0,0.0,0.0,0.0,0.0,52-59,44-67,24-27,27-29,28-32,17-38,24-23,18-26,46-48,37-59,4-6,6-4,False
415316,2015-08-09,139,121,TB,NYM,Tampa Bay Rays,New York Mets,Rays,Mets,American League,National League,AL,NL,AL East,NL East,AL East,NL East,2015,2015,111,110,55,59,56,51,0.495,0.536,412,406,422,391,-10,15,3.71,3.69,3.8,3.55,-0.09,0.14,0.0,0.0,0.0,0.0,0.485,0.535,0.48,0.638,27,38,29,18,28,21,27,33,W1,L1,0,0,0.0,0.0,0.0,0.0,55-56,59-51,27-29,38-18,28-27,21-33,24-26,30-17,47-50,53-46,5-5,7-3,False
415315,2015-08-09,114,142,CLE,MIN,Cleveland Guardians,Minnesota Twins,Guardians,Twins,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2015,2015,109,110,50,55,59,55,0.459,0.5,434,464,462,492,-28,-28,3.98,4.22,4.24,4.47,-0.26,-0.25,0.0,0.0,0.0,0.0,0.435,0.522,0.356,0.511,21,34,33,22,29,21,26,33,W1,L1,0,0,0.0,0.0,0.0,0.0,50-59,55-55,21-33,34-22,29-26,21-33,16-29,24-23,40-52,47-43,5-5,3-7,True
415312,2015-08-09,133,117,OAK,HOU,Oakland Athletics,Houston Astros,Athletics,Astros,American League,American League,AL,AL,AL West,AL West,AL West,AL West,2015,2015,112,112,50,61,62,51,0.446,0.545,458,495,424,416,34,79,4.09,4.42,3.79,3.71,0.3,0.71,0.0,0.0,0.0,0.0,0.44,0.51,0.479,0.56,26,38,34,18,24,23,28,33,W2,L2,0,0,0.0,0.0,0.0,0.0,50-62,61-51,26-34,38-18,24-28,23-33,23-25,28-22,44-56,51-49,5-5,4-6,True
415313,2015-08-09,134,119,PIT,LAD,Pittsburgh Pirates,Los Angeles Dodgers,Pirates,Dodgers,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2015,2015,108,110,64,62,44,48,0.593,0.564,447,461,396,397,51,64,4.14,4.19,3.67,3.61,0.47,0.58,0.0,0.0,0.0,0.0,0.58,0.551,0.426,0.592,38,37,18,18,26,25,26,30,W3,L2,0,0,0.0,0.0,0.0,0.0,64-44,62-48,38-18,37-18,26-26,25-30,20-27,29-20,51-37,54-44,7-3,6-4,False
415311,2015-08-09,120,115,WSH,COL,Washington Nationals,Colorado Rockies,Nationals,Rockies,National League,National League,NL,NL,NL East,NL West,NL East,NL West,2015,2015,109,108,57,46,52,62,0.523,0.426,455,493,426,563,29,-70,4.17,4.56,3.91,5.21,0.27,-0.65,0.0,0.0,0.0,0.0,0.533,0.473,0.574,0.37,31,25,22,29,26,21,30,33,W1,L1,0,0,0.0,0.0,0.0,0.0,57-52,46-62,31-22,25-29,26-30,21-33,27-20,17-29,49-43,43-48,4-6,3-7,False
