game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds,pitcher_id,pitcher_name,team_id,team_abbreviation,opponent_id,opponent_abbreviation,home_away,win,loss,save,ip,h,r,er,bb,so,hr,era,pitches,strikes,date_dt
414688,2015-06-21,431148.0,572070.0,Scott Kazmir,Garrett Richards,Oakland Athletics,Los Angeles Angels,7.1,6.0,6.0,8.0,1.0,3.0,1.0,3.0,3.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,105.0,79.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,27.0,7.0,8.0,7.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414689,2015-06-21,571577.0,501957.0,Scott Copeland,Chris Tillman,Toronto Blue Jays,Baltimore Orioles,1.1,1.1,8.0,6.0,7.0,6.0,7.0,6.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,42.0,38.0,30.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414690,2015-06-21,432934.0,489119.0,Chris Young,Wade Miley,Kansas City Royals,Boston Red Sox,4.2,6.0,7.0,5.0,7.0,0.0,7.0,0.0,3.0,3.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,86.0,101.0,52.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,3.0,7.0,9.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414691,2015-06-21,502043.0,453562.0,Kyle Gibson,Jake Arrieta,Minnesota Twins,Chicago Cubs,5.0,9.0,6.0,4.0,2.0,0.0,2.0,0.0,3.0,0.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,102.0,122.0,56.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,31.0,6.0,10.0,3.0,10.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414692,2015-06-21,547888.0,434671.0,Masahiro Tanaka,Aníbal Sánchez,New York Yankees,Detroit Tigers,5.0,7.0,10.0,7.0,7.0,3.0,5.0,3.0,2.0,2.0,6.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,90.0,106.0,65.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,4.0,8.0,6.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414693,2015-06-21,457918.0,592826.0,J.A. Happ,Vince Velasquez,Seattle Mariners,Houston Astros,5.0,3.1,7.0,2.0,3.0,1.0,2.0,1.0,2.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,93.0,60.0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,16.0,7.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414694,2015-06-21,547179.0,475479.0,Michael Lorenzen,David Phelps,Cincinnati Reds,Miami Marlins,7.0,5.2,8.0,8.0,2.0,5.0,2.0,5.0,1.0,2.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,99.0,104.0,62.0,68.0,0.0,1.0,0.0,0.0,0.0,0.0,29.0,26.0,8.0,7.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414695,2015-06-21,543734.0,490063.0,Chris Rusin,Matt Garza,Colorado Rockies,Milwaukee Brewers,6.0,5.1,7.0,13.0,3.0,10.0,3.0,7.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,84.0,93.0,61.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,28.0,9.0,8.0,5.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414696,2015-06-21,527054.0,518774.0,Julio Teheran,Matt Harvey,Atlanta Braves,New York Mets,7.0,6.2,1.0,6.0,0.0,1.0,0.0,1.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,115.0,50.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,27.0,7.0,8.0,8.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414697,2015-06-21,461829.0,450203.0,Gio Gonzalez,Charlie Morton,Washington Nationals,Pittsburgh Pirates,7.0,0.2,4.0,8.0,0.0,9.0,0.0,9.0,2.0,1.0,4.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,85.0,43.0,50.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,11.0,13.0,0.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414698,2015-06-21,476451.0,488768.0,Jeremy Hellickson,Andrew Cashner,Arizona Diamondbacks,San Diego Padres,6.0,4.0,6.0,4.0,2.0,7.0,2.0,3.0,0.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,81.0,61.0,47.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,21.0,3.0,5.0,8.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414699,2015-06-21,474463.0,453311.0,Brett Anderson,Tim Lincecum,Los Angeles Dodgers,San Francisco Giants,6.0,1.1,5.0,7.0,1.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,53.0,50.0,35.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,12.0,11.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414700,2015-06-21,605388.0,608379.0,Adam Morgan,Michael Wacha,Philadelphia Phillies,St. Louis Cardinals,5.2,5.0,6.0,8.0,1.0,5.0,1.0,5.0,2.0,1.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,81.0,54.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,3.0,3.0,7.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414701,2015-06-21,594736.0,517008.0,Cody Anderson,Alex Colomé,Cleveland Indians,Tampa Bay Rays,7.2,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,87.0,61.0,49.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,23.0,11.0,9.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
414702,2015-06-21,500779.0,451596.0,Jose Quintana,Yovani Gallardo,Chicago White Sox,Texas Rangers,7.0,5.0,5.0,5.0,2.0,0.0,2.0,0.0,2.0,1.0,5.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,108.0,98.0,69.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20.0,8.0,3.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
