game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
414995,2015-07-18,519455.0,502211.0,Jordan Zimmermann,Mike Bolsinger,Washington Nationals,Los Angeles Dodgers,4.0,4.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,4.5,2.25,1.0,1.0,63.0,66.0,43.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,2.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415004,2015-07-18,456034.0,501957.0,David Price,Chris Tillman,Detroit Tigers,Baltimore Orioles,7.0,8.0,6.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,12.0,8.0,1.0,0.0,1.2857142857142858,0.0,1.0,0.25,113.0,106.0,79.0,70.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,26.0,7.0,7.0,2.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415005,2015-07-18,572070.0,519144.0,Garrett Richards,Rick Porcello,Los Angeles Angels,Boston Red Sox,9.0,5.0,2.0,4.0,0.0,3.0,0.0,2.0,1.0,3.0,6.0,5.0,0.0,2.0,0.0,3.6,0.3333333333333333,1.4,113.0,102.0,79.0,57.0,0.0,0.0,0.0,1.0,0.0,0.0,30.0,23.0,11.0,7.0,10.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
415006,2015-07-18,544365.0,452657.0,Manny Banuelos,Jon Lester,Atlanta Braves,Chicago Cubs,4.2,7.1,6.0,2.0,2.0,0.0,1.0,0.0,3.0,1.0,4.0,7.0,0.0,0.0,2.142857142857143,0.0,2.142857142857143,0.4225352112676057,88.0,110.0,52.0,63.0,0.0,1.0,0.0,0.0,0.0,0.0,23.0,26.0,3.0,10.0,7.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415007,2015-07-18,543101.0,446372.0,Anthony DeSclafani,Corey Kluber,Cincinnati Reds,Cleveland Indians,5.0,7.2,8.0,7.0,6.0,3.0,6.0,3.0,0.0,1.0,4.0,5.0,2.0,0.0,10.8,3.75,1.6,1.1111111111111112,74.0,109.0,55.0,73.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,30.0,6.0,6.0,5.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415008,2015-07-18,475115.0,518452.0,Tyson Ross,Chad Bettis,San Diego Padres,Colorado Rockies,6.2,6.0,6.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,6.0,5.0,0.0,1.0,4.354838709677419,4.5,1.2903225806451613,1.0,104.0,80.0,65.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,23.0,7.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415009,2015-07-18,500779.0,425386.0,Jose Quintana,Jeremy Guthrie,Chicago White Sox,Kansas City Royals,5.1,5.0,10.0,9.0,4.0,3.0,4.0,3.0,1.0,1.0,4.0,3.0,0.0,0.0,7.058823529411765,5.4,2.1568627450980395,2.0,107.0,88.0,70.0,59.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,26.0,6.0,4.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415010,2015-07-18,450729.0,477132.0,Doug Fister,Clayton Kershaw,Washington Nationals,Los Angeles Dodgers,5.0,8.0,9.0,3.0,4.0,0.0,4.0,0.0,2.0,0.0,1.0,14.0,0.0,0.0,7.2,0.0,2.2,0.375,91.0,101.0,58.0,73.0,1.0,0.0,0.0,0.0,0.0,0.0,25.0,27.0,5.0,7.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415011,2015-07-18,451532.0,543408.0,Chad Billingsley,Tom Koehler,Philadelphia Phillies,Miami Marlins,5.0,6.0,4.0,3.0,0.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,0.8333333333333334,70.0,89.0,41.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,24.0,5.0,11.0,6.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
415012,2015-07-18,431148.0,461833.0,Scott Kazmir,Phil Hughes,Oakland Athletics,Minnesota Twins,8.1,7.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,1.1111111111111112,1.2857142857142858,0.7407407407407408,1.0,112.0,100.0,75.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,8.0,8.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415013,2015-07-18,407793.0,112526.0,John Lackey,Bartolo Colon,St. Louis Cardinals,New York Mets,7.0,4.1,10.0,8.0,1.0,7.0,1.0,7.0,1.0,3.0,3.0,5.0,1.0,0.0,1.2857142857142858,15.365853658536588,1.5714285714285714,2.682926829268293,100.0,89.0,69.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,31.0,25.0,8.0,3.0,9.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
415014,2015-07-18,519076.0,474699.0,Jimmy Nelson,Vance Worley,Milwaukee Brewers,Pittsburgh Pirates,6.1,4.0,6.0,7.0,4.0,5.0,3.0,4.0,3.0,1.0,8.0,4.0,0.0,1.0,4.426229508196721,9.0,1.475409836065574,2.0,98.0,81.0,65.0,52.0,1.0,1.0,1.0,0.0,0.0,0.0,29.0,21.0,5.0,7.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
415015,2015-07-18,501381.0,547874.0,Michael Pineda,Hisashi Iwakuma,New York Yankees,Seattle Mariners,6.0,5.2,6.0,5.0,4.0,2.0,4.0,2.0,2.0,0.0,2.0,5.0,2.0,1.0,6.0,3.461538461538461,1.3333333333333333,0.9615384615384616,105.0,76.0,63.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,22.0,10.0,10.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
