game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
264779,2010-06-16,2.0,1.0,2,0,0,0,1,0,1,1,0,0,0.0,0.0,1.5,0.0,4.5,9.0,1.0,0.0,0.0,0.0,4.5,0.0
264780,2010-06-16,3.8,1.0,3,1,0,0,1,0,1,0,0,0,0.0,0.0,1.05,1.0,2.37,0.0,1.0,0.0,0.0,0.0,2.37,0.0
264781,2010-06-16,3.8,2.0,0,2,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1.0,9.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264782,2010-06-16,3.0,1.9,2,2,1,1,0,1,2,1,1,1,3.0,4.74,0.67,1.58,6.0,4.74,0.0,1.0,3.0,4.74,0.0,4.74
264783,2010-06-16,1.0,3.9,0,2,0,0,1,0,1,4,0,0,0.0,0.0,1.0,0.51,9.0,9.23,1.0,0.0,0.0,0.0,9.0,0.0
264784,2010-06-16,3.8,2.0,1,1,0,1,0,3,1,1,0,0,0.0,4.5,0.26,2.0,2.37,4.5,0.0,0.33,0.0,0.0,0.0,13.5
264785,2010-06-16,2.8,3.0,1,1,0,0,0,3,3,5,0,0,0.0,0.0,0.36,1.33,9.64,15.0,0.0,1.67,0.0,0.0,0.0,9.0
264786,2010-06-16,5.9,1.0,0,2,0,1,1,1,6,3,0,0,0.0,9.0,0.17,3.0,9.15,27.0,6.0,3.0,0.0,0.0,1.53,9.0
264787,2010-06-16,2.0,3.0,2,6,2,3,2,1,3,5,0,1,9.0,9.0,2.0,2.33,13.5,15.0,1.5,5.0,0.0,3.0,9.0,3.0
264788,2010-06-16,3.0,6.9,4,4,3,2,3,1,2,5,1,0,9.0,2.61,2.33,0.72,6.0,6.52,0.67,5.0,3.0,0.0,9.0,1.3
264789,2010-06-16,4.0,3.0,2,2,2,0,2,0,3,3,0,0,4.5,0.0,1.0,0.67,6.75,9.0,1.5,0.0,0.0,0.0,4.5,0.0
264790,2010-06-16,1.0,1.8,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
264791,2010-06-16,3.0,2.0,3,3,1,2,2,1,5,0,0,0,3.0,9.0,1.67,2.0,15.0,0.0,2.5,0.0,0.0,0.0,6.0,4.5
264792,2010-06-16,2.0,3.0,1,1,0,0,0,1,1,0,0,0,0.0,0.0,0.5,0.67,4.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0
264793,2010-06-16,2.0,1.8,1,1,0,0,2,0,2,2,0,0,0.0,0.0,1.5,0.56,9.0,10.0,1.0,0.0,0.0,0.0,9.0,0.0
