game_pk,date,home_bullpen_ip,home_bullpen_hits,home_bullpen_earned_runs,home_bullpen_walks,home_bullpen_strikeouts,home_bullpen_homeruns,home_bullpen_era,home_bullpen_whip,home_bullpen_k_per_9,home_bullpen_k_bb_ratio,home_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_ip,away_bullpen_hits,away_bullpen_earned_runs,away_bullpen_walks,away_bullpen_strikeouts,away_bullpen_homeruns,away_bullpen_era,away_bullpen_whip,away_bullpen_k_per_9,away_bullpen_k_bb_ratio,away_bullpen_hr_per_9,away_bullpen_bb_per_9
264184,2010-05-03,3.3333,4,4,2,2,0,10.8,1.8,5.4,1.0,0.0,5.4,4.0,11,10,2,3,2,22.5,3.25,6.75,1.5,4.5,4.5
264185,2010-05-03,1.0,0,0,1,1,0,0.0,1.0,9.0,1.0,0.0,9.0,1.0,0,0,0,1,0,0.0,0.0,9.0,0.0,0.0,0.0
264186,2010-05-03,3.0,3,2,2,2,0,6.0,1.67,6.0,1.0,0.0,6.0,2.0,2,1,0,2,0,4.5,1.0,9.0,0.0,0.0,0.0
264187,2010-05-03,2.0,2,1,0,0,1,4.5,1.0,0.0,0.0,4.5,0.0,3.0,2,0,0,2,0,0.0,0.67,6.0,0.0,0.0,0.0
264188,2010-05-03,5.0,5,0,0,5,0,0.0,1.0,9.0,0.0,0.0,0.0,4.3333,4,1,1,2,1,2.08,1.15,4.15,2.0,2.08,2.08
264189,2010-05-03,2.3333,4,2,1,2,0,7.71,2.14,7.71,2.0,0.0,3.86,3.0,2,2,0,5,2,6.0,0.67,15.0,0.0,6.0,0.0
264190,2010-05-03,2.0,2,1,0,1,1,4.5,1.0,4.5,0.0,4.5,0.0,2.0,4,2,1,3,1,9.0,2.5,13.5,3.0,4.5,4.5
264191,2010-05-03,1.0,0,0,1,1,0,0.0,1.0,9.0,1.0,0.0,9.0,1.0,1,0,1,1,0,0.0,2.0,9.0,1.0,0.0,9.0
264192,2010-05-03,3.0,7,5,2,2,0,15.0,3.0,6.0,1.0,0.0,6.0,4.0,3,0,0,4,0,0.0,0.75,9.0,0.0,0.0,0.0
264193,2010-05-03,2.0,2,1,1,2,0,4.5,1.5,9.0,2.0,0.0,4.5,3.6667,4,0,0,1,0,0.0,1.09,2.45,0.0,0.0,0.0
