game_pk,date,home_bullpen_ip,away_bullpen_ip,home_bullpen_hits,away_bullpen_hits,home_bullpen_earned_runs,away_bullpen_earned_runs,home_bullpen_walks,away_bullpen_walks,home_bullpen_strikeouts,away_bullpen_strikeouts,home_bullpen_homeruns,away_bullpen_homeruns,home_bullpen_era,away_bullpen_era,home_bullpen_whip,away_bullpen_whip,home_bullpen_k_per_9,away_bullpen_k_per_9,home_bullpen_k_bb_ratio,away_bullpen_k_bb_ratio,home_bullpen_hr_per_9,away_bullpen_hr_per_9,home_bullpen_bb_per_9,away_bullpen_bb_per_9
265655,2010-08-22,3.0,3.0,6,6,7,2,3,0,2,1,1,0,21.0,6.0,3.0,2.0,6.0,3.0,0.67,0.0,3.0,0.0,9.0,0.0
265656,2010-08-22,2.0,3.2,1,2,0,1,1,1,0,5,0,0,0.0,2.81,1.0,0.94,0.0,14.06,0.0,5.0,0.0,0.0,4.5,2.81
265657,2010-08-22,2.0,2.0,3,0,2,0,2,0,1,1,0,0,9.0,0.0,2.5,0.0,4.5,4.5,0.5,0.0,0.0,0.0,9.0,0.0
265658,2010-08-22,1.0,5.0,0,1,0,0,0,0,1,5,0,0,0.0,0.0,0.0,0.2,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
265659,2010-08-22,2.0,1.8,3,0,1,0,2,0,2,0,0,0,4.5,0.0,2.5,0.0,9.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0
265660,2010-08-22,4.0,3.0,2,2,1,0,2,0,6,2,1,0,2.25,0.0,1.0,0.67,13.5,6.0,3.0,0.0,2.25,0.0,4.5,0.0
265661,2010-08-22,2.0,0.0,1,0,0,0,1,0,1,0,0,0,0.0,0.0,1.0,0.0,4.5,0.0,1.0,0.0,0.0,0.0,4.5,0.0
265662,2010-08-22,3.0,3.9,1,3,0,1,0,1,4,2,0,0,0.0,2.31,0.33,1.03,12.0,4.62,0.0,2.0,0.0,0.0,0.0,2.31
265663,2010-08-22,3.0,3.0,3,5,0,4,1,3,0,2,0,1,0.0,12.0,1.33,2.67,0.0,6.0,0.0,0.67,0.0,3.0,3.0,9.0
265664,2010-08-22,3.0,1.8,1,2,0,1,0,0,4,2,0,0,0.0,5.0,0.33,1.11,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
265665,2010-08-22,3.0,1.0,3,1,0,1,2,0,2,3,0,1,0.0,9.0,1.67,1.0,6.0,27.0,1.0,0.0,0.0,9.0,6.0,0.0
265666,2010-08-22,3.0,1.0,1,3,0,2,1,1,4,2,0,0,0.0,18.0,0.67,4.0,12.0,18.0,4.0,2.0,0.0,0.0,3.0,9.0
265667,2010-08-22,2.0,2.0,0,3,0,2,0,1,3,1,0,1,0.0,9.0,0.0,2.0,13.5,4.5,0.0,1.0,0.0,4.5,0.0,4.5
265668,2010-08-22,2.0,2.0,1,1,0,0,1,1,3,2,0,0,0.0,0.0,1.0,1.0,13.5,9.0,3.0,2.0,0.0,0.0,4.5,4.5
265669,2010-08-22,0.0,4.8,0,8,0,4,0,5,0,2,0,0,0.0,7.5,0.0,2.71,0.0,3.75,0.0,0.4,0.0,0.0,0.0,9.38
