Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.5,66.0,312.0,286.0,36.0,78.0,17.0,7.0,4.0,37.0,13.0,5.0,19.0,70.0,0.273,0.327,0.423,0.75,108.0,0.339,113.0,121.0,3.0,5.0,0.0,2.0,0.0,*7/89,
2.0,Rafael Devers*,28.0,BOS,AL,2.4,67.0,307.0,251.0,43.0,71.0,18.0,0.0,14.0,57.0,1.0,1.0,51.0,68.0,0.283,0.407,0.522,0.929,158.0,0.402,162.0,131.0,4.0,3.0,0.0,2.0,5.0,*D,
3.0,Shohei Ohtani*,30.0,LAD,NL,3.1,64.0,299.0,256.0,66.0,75.0,10.0,4.0,23.0,39.0,11.0,4.0,40.0,73.0,0.293,0.388,0.633,1.021,186.0,0.425,180.0,162.0,3.0,1.0,0.0,2.0,8.0,*D,
4.0,Bo Bichette,27.0,TOR,AL,1.0,65.0,294.0,274.0,28.0,74.0,17.0,1.0,8.0,37.0,4.0,3.0,17.0,48.0,0.27,0.316,0.427,0.743,107.0,0.331,110.0,117.0,6.0,2.0,0.0,1.0,1.0,*6/DH,
5.0,Francisco Lindor#,31.0,NYM,NL,2.5,64.0,294.0,258.0,42.0,73.0,11.0,0.0,14.0,38.0,13.0,2.0,23.0,51.0,0.283,0.354,0.488,0.842,141.0,0.373,140.0,126.0,4.0,8.0,0.0,5.0,2.0,*6/H,
6.0,Brent Rooker,30.0,ATH,AL,1.2,67.0,294.0,266.0,41.0,72.0,13.0,1.0,13.0,37.0,2.0,1.0,26.0,64.0,0.271,0.34,0.474,0.814,128.0,0.359,132.0,126.0,7.0,2.0,0.0,0.0,0.0,*D/97H,
7.0,Juan Soto*,26.0,NYM,NL,2.5,65.0,294.0,234.0,46.0,57.0,12.0,0.0,11.0,31.0,7.0,0.0,55.0,46.0,0.244,0.384,0.436,0.82,138.0,0.376,144.0,102.0,13.0,1.0,0.0,4.0,5.0,*9/D,
8.0,Pete Alonso,30.0,NYM,NL,2.9,66.0,293.0,249.0,41.0,75.0,20.0,1.0,17.0,61.0,0.0,2.0,33.0,62.0,0.301,0.396,0.594,0.99,183.0,0.417,180.0,148.0,11.0,8.0,0.0,3.0,2.0,*3,
9.0,Jackson Chourio,21.0,MIL,NL,0.6,65.0,292.0,280.0,39.0,71.0,18.0,1.0,10.0,37.0,13.0,4.0,10.0,59.0,0.254,0.281,0.432,0.713,100.0,0.322,102.0,121.0,7.0,1.0,0.0,1.0,0.0,*879/D,
10.0,Lars Nootbaar*,27.0,STL,NL,1.5,63.0,291.0,248.0,39.0,60.0,12.0,0.0,8.0,28.0,4.0,3.0,38.0,58.0,0.242,0.347,0.387,0.734,107.0,0.329,108.0,96.0,3.0,3.0,0.0,2.0,2.0,*79/8DH,
11.0,Bobby Witt Jr.,25.0,KCR,AL,3.4,66.0,289.0,258.0,35.0,75.0,22.0,3.0,8.0,37.0,21.0,5.0,23.0,55.0,0.291,0.349,0.492,0.842,135.0,0.374,136.0,127.0,1.0,3.0,0.0,5.0,6.0,*6/D,
12.0,Aaron Judge,33.0,NYY,AL,5.2,64.0,288.0,240.0,62.0,95.0,17.0,2.0,23.0,55.0,5.0,3.0,44.0,64.0,0.396,0.493,0.771,1.264,250.0,0.519,257.0,185.0,7.0,3.0,0.0,1.0,14.0,*9D,
13.0,Kyle Tucker*,28.0,CHC,NL,2.7,64.0,288.0,241.0,45.0,67.0,12.0,4.0,12.0,40.0,16.0,1.0,43.0,35.0,0.278,0.389,0.51,0.899,159.0,0.401,158.0,123.0,5.0,2.0,0.0,2.0,6.0,*9/DH,
14.0,Vladimir Guerrero Jr.,26.0,TOR,AL,1.7,65.0,287.0,242.0,40.0,66.0,11.0,0.0,8.0,29.0,1.0,1.0,39.0,41.0,0.273,0.38,0.417,0.797,124.0,0.349,123.0,101.0,3.0,4.0,0.0,2.0,4.0,*3/DH,
15.0,Corbin Carroll*,24.0,ARI,NL,2.5,64.0,286.0,255.0,49.0,66.0,12.0,6.0,18.0,40.0,10.0,4.0,25.0,68.0,0.259,0.339,0.565,0.904,149.0,0.389,148.0,144.0,2.0,6.0,0.0,0.0,1.0,*9/H,
16.0,Kyle Schwarber*,32.0,PHI,NL,2.1,65.0,286.0,238.0,45.0,60.0,9.0,1.0,20.0,46.0,4.0,1.0,44.0,73.0,0.252,0.378,0.55,0.928,155.0,0.402,156.0,131.0,1.0,4.0,0.0,0.0,3.0,*D/7,
17.0,James Wood*,22.0,WSN,NL,2.4,65.0,284.0,244.0,38.0,66.0,16.0,0.0,16.0,45.0,9.0,3.0,37.0,78.0,0.27,0.366,0.533,0.899,156.0,0.388,154.0,130.0,4.0,1.0,0.0,2.0,2.0,*7D,
18.0,Austin Riley,28.0,ATL,NL,1.4,64.0,283.0,262.0,35.0,73.0,12.0,0.0,11.0,35.0,2.0,1.0,18.0,79.0,0.279,0.332,0.45,0.783,119.0,0.345,119.0,118.0,5.0,3.0,0.0,0.0,1.0,*5,
19.0,Tyler Soderstrom*,23.0,ATH,AL,1.5,67.0,283.0,250.0,35.0,65.0,11.0,1.0,14.0,44.0,3.0,0.0,28.0,71.0,0.26,0.343,0.48,0.823,130.0,0.357,128.0,120.0,10.0,4.0,0.0,1.0,1.0,37/DH,
20.0,Trea Turner,32.0,PHI,NL,1.8,63.0,283.0,260.0,44.0,78.0,13.0,2.0,7.0,30.0,17.0,5.0,19.0,50.0,0.3,0.353,0.446,0.8,122.0,0.358,121.0,116.0,3.0,3.0,0.0,1.0,0.0,*6/H,
21.0,Elly De La Cruz#,23.0,CIN,NL,1.7,66.0,282.0,249.0,49.0,63.0,12.0,0.0,12.0,43.0,19.0,6.0,30.0,77.0,0.253,0.337,0.446,0.783,112.0,0.347,109.0,111.0,2.0,2.0,0.0,1.0,4.0,*6/DH,
22.0,Julio RodrÃ­guez,24.0,SEA,AL,2.8,63.0,282.0,257.0,41.0,64.0,6.0,3.0,10.0,33.0,11.0,3.0,20.0,55.0,0.249,0.316,0.412,0.728,113.0,0.331,118.0,106.0,7.0,5.0,0.0,0.0,1.0,*8/H,
23.0,Willy Adames,29.0,SFG,NL,-0.5,65.0,279.0,244.0,31.0,47.0,10.0,1.0,5.0,26.0,3.0,2.0,30.0,75.0,0.193,0.281,0.303,0.584,70.0,0.269,71.0,74.0,2.0,1.0,0.0,3.0,1.0,*6/D,
24.0,Lawrence Butler*,24.0,ATH,AL,1.7,63.0,279.0,253.0,41.0,69.0,22.0,1.0,9.0,29.0,10.0,2.0,26.0,74.0,0.273,0.341,0.474,0.815,128.0,0.358,127.0,120.0,2.0,0.0,0.0,0.0,0.0,*9/8H,
