Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.1,61.0,287.0,266.0,33.0,72.0,15.0,6.0,4.0,34.0,13.0,5.0,16.0,63.0,0.271,0.317,0.417,0.734,104.0,0.333,109.0,111.0,2.0,3.0,0.0,2.0,0.0,*7/89,
2.0,Rafael Devers*,28.0,BOS,AL,2.3,62.0,282.0,231.0,38.0,66.0,17.0,0.0,12.0,53.0,1.0,1.0,48.0,64.0,0.286,0.408,0.515,0.923,157.0,0.401,162.0,119.0,4.0,1.0,0.0,2.0,4.0,*D,
3.0,Francisco Lindor#,31.0,NYM,NL,2.1,59.0,273.0,239.0,39.0,68.0,10.0,0.0,14.0,36.0,11.0,2.0,22.0,47.0,0.285,0.355,0.502,0.857,144.0,0.377,143.0,120.0,4.0,7.0,0.0,5.0,2.0,*6,
4.0,Shohei Ohtani*,30.0,LAD,NL,3.0,58.0,272.0,233.0,64.0,68.0,9.0,4.0,23.0,39.0,11.0,4.0,37.0,68.0,0.292,0.386,0.661,1.047,192.0,0.433,186.0,154.0,2.0,0.0,0.0,2.0,7.0,*D,
5.0,Jackson Chourio,21.0,MIL,NL,0.6,60.0,271.0,260.0,37.0,67.0,18.0,1.0,9.0,35.0,11.0,4.0,9.0,57.0,0.258,0.284,0.438,0.723,100.0,0.325,102.0,114.0,6.0,1.0,0.0,1.0,0.0,*879/D,
6.0,Kyle Tucker*,28.0,CHC,NL,2.4,59.0,269.0,225.0,44.0,64.0,10.0,4.0,12.0,39.0,16.0,1.0,40.0,32.0,0.284,0.394,0.524,0.918,162.0,0.408,162.0,118.0,5.0,2.0,0.0,2.0,6.0,*9/D,
7.0,Bo Bichette,27.0,TOR,AL,1.0,59.0,268.0,249.0,26.0,69.0,17.0,0.0,7.0,32.0,4.0,2.0,16.0,43.0,0.277,0.325,0.43,0.754,111.0,0.335,113.0,107.0,5.0,2.0,0.0,1.0,1.0,*6/DH,
8.0,Brent Rooker,30.0,ATH,AL,1.1,61.0,268.0,244.0,37.0,65.0,11.0,1.0,13.0,32.0,2.0,1.0,22.0,61.0,0.266,0.332,0.48,0.812,127.0,0.358,131.0,117.0,6.0,2.0,0.0,0.0,0.0,*D/97H,
9.0,Corbin Carroll*,24.0,ARI,NL,2.1,59.0,266.0,240.0,44.0,61.0,11.0,6.0,16.0,35.0,10.0,3.0,21.0,66.0,0.254,0.327,0.55,0.877,139.0,0.379,137.0,132.0,2.0,5.0,0.0,0.0,1.0,*9/H,
10.0,Elly De La Cruz#,23.0,CIN,NL,1.6,61.0,264.0,237.0,46.0,61.0,10.0,0.0,12.0,43.0,17.0,5.0,24.0,73.0,0.257,0.33,0.451,0.781,110.0,0.346,107.0,107.0,2.0,2.0,0.0,1.0,3.0,*6/D,
11.0,Juan Soto*,26.0,NYM,NL,1.7,59.0,264.0,214.0,38.0,50.0,12.0,0.0,10.0,28.0,7.0,0.0,45.0,42.0,0.234,0.364,0.43,0.794,128.0,0.364,134.0,92.0,13.0,1.0,0.0,4.0,4.0,*9/D,
12.0,Pete Alonso,30.0,NYM,NL,1.9,60.0,263.0,222.0,32.0,63.0,18.0,1.0,12.0,46.0,0.0,2.0,31.0,55.0,0.284,0.384,0.536,0.92,162.0,0.39,159.0,119.0,9.0,7.0,0.0,3.0,2.0,*3,
13.0,Lars Nootbaar*,27.0,STL,NL,1.5,57.0,263.0,225.0,36.0,56.0,12.0,0.0,8.0,28.0,4.0,3.0,34.0,51.0,0.249,0.35,0.409,0.759,113.0,0.337,114.0,92.0,3.0,2.0,0.0,2.0,2.0,*79/8DH,
14.0,Aaron Judge,33.0,NYY,AL,4.7,58.0,262.0,220.0,55.0,86.0,15.0,2.0,21.0,50.0,4.0,2.0,39.0,57.0,0.391,0.485,0.764,1.248,248.0,0.516,254.0,168.0,7.0,2.0,0.0,1.0,12.0,*9D,
15.0,James Wood*,22.0,WSN,NL,2.8,59.0,262.0,224.0,38.0,64.0,15.0,0.0,16.0,44.0,9.0,3.0,36.0,72.0,0.286,0.385,0.567,0.952,168.0,0.41,167.0,127.0,4.0,1.0,0.0,1.0,2.0,*7D,
16.0,Vladimir Guerrero Jr.,26.0,TOR,AL,1.7,59.0,261.0,219.0,35.0,62.0,10.0,0.0,8.0,28.0,0.0,1.0,37.0,40.0,0.283,0.391,0.438,0.829,134.0,0.36,133.0,96.0,3.0,3.0,0.0,2.0,4.0,*3/DH,
17.0,Kyle Schwarber*,32.0,PHI,NL,2.4,59.0,261.0,214.0,44.0,57.0,9.0,1.0,19.0,44.0,4.0,1.0,43.0,61.0,0.266,0.398,0.584,0.983,170.0,0.424,171.0,125.0,1.0,4.0,0.0,0.0,2.0,*D/7,
18.0,Bobby Witt Jr.,25.0,KCR,AL,2.7,60.0,261.0,233.0,30.0,66.0,22.0,3.0,6.0,31.0,20.0,5.0,20.0,47.0,0.283,0.341,0.481,0.822,129.0,0.367,130.0,112.0,1.0,3.0,0.0,5.0,5.0,*6/D,
19.0,Willy Adames,29.0,SFG,NL,-0.1,60.0,260.0,228.0,30.0,47.0,10.0,1.0,5.0,25.0,3.0,2.0,28.0,68.0,0.206,0.293,0.325,0.618,77.0,0.283,79.0,74.0,2.0,1.0,0.0,2.0,1.0,*6/D,
20.0,Julio RodrÃ­guez,24.0,SEA,AL,2.2,57.0,259.0,234.0,38.0,57.0,6.0,2.0,10.0,32.0,8.0,3.0,20.0,49.0,0.244,0.317,0.415,0.731,114.0,0.328,118.0,97.0,6.0,5.0,0.0,0.0,1.0,*8/H,
21.0,Austin Riley,28.0,ATL,NL,1.2,58.0,257.0,236.0,31.0,65.0,10.0,0.0,10.0,33.0,2.0,1.0,18.0,71.0,0.275,0.335,0.445,0.78,117.0,0.344,117.0,105.0,5.0,3.0,0.0,0.0,1.0,*5,
22.0,Tyler Soderstrom*,23.0,ATH,AL,1.2,61.0,257.0,229.0,31.0,59.0,11.0,0.0,12.0,36.0,2.0,0.0,23.0,67.0,0.258,0.335,0.463,0.798,124.0,0.346,121.0,106.0,9.0,4.0,0.0,1.0,1.0,37/DH,
23.0,Trea Turner,32.0,PHI,NL,1.5,57.0,257.0,234.0,39.0,70.0,10.0,2.0,5.0,25.0,16.0,5.0,19.0,45.0,0.299,0.358,0.423,0.781,117.0,0.353,118.0,99.0,3.0,3.0,0.0,1.0,0.0,*6/H,
24.0,TJ Friedl*,29.0,CIN,NL,1.5,57.0,254.0,220.0,35.0,67.0,11.0,2.0,4.0,20.0,9.0,3.0,29.0,41.0,0.305,0.387,0.427,0.815,122.0,0.371,127.0,94.0,3.0,2.0,1.0,2.0,0.0,*8/DH,
25.0,Bryan Reynolds#,30.0,PIT,NL,-0.2,57.0,254.0,227.0,21.0,54.0,9.0,1.0,7.0,34.0,3.0,2.0,22.0,64.0,0.238,0.307,0.379,0.686,91.0,0.306,89.0,86.0,6.0,2.0,0.0,3.0,1.0,*9D,
26.0,Cal Raleigh#,28.0,SEA,AL,3.4,58.0,253.0,212.0,39.0,56.0,10.0,0.0,23.0,45.0,6.0,1.0,37.0,69.0,0.264,0.379,0.637,1.016,194.0,0.431,193.0,135.0,2.0,3.0,0.0,1.0,3.0,*2D/H,
27.0,Matt Olson*,31.0,ATL,NL,2.2,58.0,252.0,218.0,32.0,52.0,12.0,0.0,12.0,31.0,0.0,0.0,31.0,59.0,0.239,0.333,0.459,0.792,120.0,0.346,118.0,100.0,8.0,1.0,0.0,2.0,0.0,*3,
28.0,Isaac Paredes,26.0,HOU,AL,1.7,58.0,252.0,218.0,30.0,55.0,7.0,1.0,11.0,32.0,0.0,1.0,30.0,41.0,0.252,0.349,0.445,0.794,123.0,0.351,126.0,97.0,6.0,3.0,0.0,1.0,0.0,*5/D,
29.0,Heliot Ramos,25.0,SFG,NL,1.3,58.0,252.0,224.0,38.0,66.0,11.0,1.0,10.0,29.0,5.0,2.0,19.0,59.0,0.295,0.361,0.487,0.848,141.0,0.368,139.0,109.0,6.0,6.0,0.0,3.0,1.0,*7/D,
30.0,Lawrence Butler*,24.0,ATH,AL,1.3,57.0,251.0,227.0,32.0,59.0,17.0,1.0,9.0,27.0,9.0,2.0,24.0,64.0,0.26,0.331,0.463,0.793,123.0,0.349,121.0,105.0,2.0,0.0,0.0,0.0,0.0,*9/8H,
31.0,Geraldo Perdomo#,25.0,ARI,NL,2.2,58.0,251.0,205.0,29.0,58.0,13.0,0.0,6.0,41.0,11.0,0.0,34.0,28.0,0.283,0.382,0.434,0.816,127.0,0.373,128.0,89.0,2.0,3.0,2.0,7.0,0.0,*6/H,
32.0,Ozzie Albies#,28.0,ATL,NL,0.4,58.0,250.0,226.0,30.0,53.0,8.0,0.0,6.0,22.0,6.0,1.0,21.0,39.0,0.235,0.304,0.35,0.654,83.0,0.299,82.0,79.0,1.0,2.0,0.0,1.0,0.0,*4,
33.0,Nathaniel Lowe*,29.0,WSN,NL,-0.2,59.0,250.0,226.0,24.0,52.0,10.0,0.0,8.0,40.0,1.0,0.0,22.0,67.0,0.23,0.3,0.381,0.681,93.0,0.303,90.0,86.0,4.0,1.0,0.0,1.0,0.0,*3/DH,
34.0,Jeremy PeÃ±a,27.0,HOU,AL,3.6,59.0,250.0,223.0,31.0,69.0,9.0,1.0,9.0,30.0,10.0,1.0,16.0,34.0,0.309,0.373,0.48,0.853,140.0,0.38,141.0,107.0,4.0,8.0,1.0,2.0,1.0,*6/H,
35.0,Brice Turang*,25.0,MIL,NL,2.1,58.0,250.0,218.0,40.0,59.0,6.0,0.0,4.0,25.0,14.0,4.0,27.0,55.0,0.271,0.349,0.353,0.703,99.0,0.339,110.0,77.0,1.0,1.0,1.0,3.0,0.0,*4/H,
36.0,Pete Crow-Armstrong*,23.0,CHC,NL,3.6,59.0,249.0,232.0,46.0,65.0,14.0,3.0,15.0,51.0,19.0,3.0,11.0,62.0,0.28,0.313,0.56,0.873,146.0,0.391,148.0,130.0,0.0,1.0,3.0,2.0,0.0,*8,
37.0,Dansby Swanson,31.0,CHC,NL,1.7,59.0,249.0,226.0,38.0,55.0,8.0,1.0,11.0,32.0,7.0,2.0,20.0,66.0,0.243,0.302,0.434,0.736,109.0,0.328,110.0,98.0,2.0,0.0,1.0,2.0,1.0,*6,
