Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.7,69.0,326.0,299.0,38.0,81.0,18.0,7.0,5.0,38.0,14.0,5.0,20.0,76.0,0.271,0.325,0.428,0.753,109.0,0.34,113.0,128.0,3.0,5.0,0.0,2.0,0.0,*7/89,
2.0,Rafael Devers*,28.0,BOS,AL,2.4,70.0,321.0,261.0,46.0,72.0,18.0,0.0,14.0,57.0,1.0,1.0,54.0,73.0,0.276,0.405,0.506,0.911,154.0,0.395,157.0,132.0,4.0,4.0,0.0,2.0,6.0,*D,
3.0,Shohei Ohtani*,30.0,LAD,NL,3.2,67.0,313.0,269.0,68.0,78.0,11.0,5.0,23.0,39.0,11.0,4.0,41.0,77.0,0.29,0.383,0.625,1.008,183.0,0.423,179.0,168.0,3.0,1.0,0.0,2.0,8.0,*D,
4.0,Bo Bichette,27.0,TOR,AL,1.1,68.0,309.0,287.0,31.0,79.0,17.0,1.0,8.0,40.0,4.0,3.0,18.0,50.0,0.275,0.32,0.425,0.745,107.0,0.331,110.0,122.0,6.0,2.0,0.0,2.0,1.0,*6/DH,
5.0,Brent Rooker,30.0,ATH,AL,1.4,70.0,307.0,279.0,44.0,77.0,15.0,1.0,15.0,41.0,2.0,1.0,26.0,64.0,0.276,0.342,0.498,0.84,133.0,0.368,137.0,139.0,7.0,2.0,0.0,0.0,0.0,*D/97H,
6.0,Jackson Chourio,21.0,MIL,NL,0.7,68.0,304.0,292.0,40.0,75.0,18.0,2.0,11.0,39.0,13.0,5.0,10.0,63.0,0.257,0.283,0.445,0.728,103.0,0.325,105.0,130.0,8.0,1.0,0.0,1.0,0.0,*879/D,
7.0,Francisco Lindor#,31.0,NYM,NL,2.5,66.0,302.0,266.0,43.0,75.0,12.0,0.0,14.0,38.0,13.0,2.0,23.0,53.0,0.282,0.351,0.485,0.836,139.0,0.37,138.0,129.0,4.0,8.0,0.0,5.0,2.0,*6/H,
8.0,Juan Soto*,26.0,NYM,NL,2.9,67.0,302.0,242.0,49.0,61.0,13.0,0.0,13.0,35.0,7.0,0.0,55.0,49.0,0.252,0.387,0.467,0.854,146.0,0.386,151.0,113.0,13.0,1.0,0.0,4.0,5.0,*9/D,
9.0,Kyle Tucker*,28.0,CHC,NL,2.8,67.0,302.0,252.0,47.0,69.0,12.0,4.0,13.0,43.0,17.0,1.0,46.0,41.0,0.274,0.387,0.508,0.895,157.0,0.399,156.0,128.0,5.0,2.0,0.0,2.0,6.0,*9/DH,
10.0,Pete Alonso,30.0,NYM,NL,3.0,68.0,301.0,255.0,41.0,77.0,21.0,1.0,17.0,63.0,0.0,2.0,34.0,62.0,0.302,0.399,0.592,0.991,182.0,0.417,180.0,151.0,11.0,9.0,0.0,3.0,2.0,*3,
