Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.5,57.0,268.0,247.0,31.0,69.0,13.0,6.0,4.0,34.0,13.0,5.0,16.0,60.0,0.279,0.328,0.429,0.758,112.0,0.345,118.0,106.0,2.0,3.0,0.0,2.0,0.0,*7/89,
2.0,Rafael Devers*,28.0,BOS,AL,2.3,58.0,264.0,216.0,36.0,62.0,15.0,0.0,12.0,50.0,1.0,1.0,45.0,60.0,0.287,0.409,0.523,0.932,161.0,0.405,166.0,113.0,4.0,1.0,0.0,2.0,4.0,*D,
3.0,Kyle Tucker*,28.0,CHC,NL,2.3,56.0,258.0,217.0,42.0,61.0,9.0,4.0,12.0,39.0,15.0,0.0,39.0,31.0,0.281,0.388,0.525,0.913,159.0,0.407,157.0,114.0,4.0,0.0,0.0,2.0,6.0,*9/D,
4.0,Corbin Carroll*,24.0,ARI,NL,2.1,56.0,256.0,232.0,42.0,60.0,10.0,6.0,16.0,35.0,9.0,3.0,20.0,65.0,0.259,0.328,0.56,0.888,143.0,0.382,141.0,130.0,2.0,4.0,0.0,0.0,1.0,*9/H,
5.0,Francisco Lindor#,31.0,NYM,NL,1.4,55.0,255.0,223.0,32.0,60.0,10.0,0.0,10.0,31.0,10.0,2.0,20.0,45.0,0.269,0.341,0.448,0.79,125.0,0.351,124.0,100.0,4.0,7.0,0.0,5.0,2.0,*6,
6.0,Shohei Ohtani*,30.0,LAD,NL,2.8,54.0,254.0,216.0,59.0,63.0,9.0,4.0,20.0,35.0,11.0,4.0,37.0,62.0,0.292,0.394,0.648,1.042,191.0,0.433,185.0,140.0,2.0,0.0,0.0,1.0,7.0,*D,
7.0,Jackson Chourio,21.0,MIL,NL,0.2,56.0,252.0,241.0,31.0,58.0,16.0,1.0,8.0,29.0,9.0,3.0,9.0,55.0,0.241,0.27,0.415,0.685,89.0,0.311,91.0,100.0,6.0,1.0,0.0,1.0,0.0,*879/D,
8.0,Lars Nootbaar*,27.0,STL,NL,1.8,54.0,251.0,214.0,35.0,54.0,11.0,0.0,8.0,27.0,4.0,2.0,33.0,46.0,0.252,0.355,0.416,0.77,116.0,0.344,117.0,89.0,3.0,2.0,0.0,2.0,2.0,*79/D8H,
9.0,Bo Bichette,27.0,TOR,AL,0.7,55.0,249.0,231.0,23.0,63.0,16.0,0.0,5.0,27.0,4.0,2.0,15.0,41.0,0.273,0.321,0.407,0.728,106.0,0.326,108.0,94.0,5.0,2.0,0.0,1.0,1.0,*6/DH,
10.0,Elly De La Cruz#,23.0,CIN,NL,1.3,57.0,249.0,223.0,42.0,57.0,9.0,0.0,11.0,40.0,17.0,5.0,23.0,70.0,0.256,0.329,0.444,0.773,108.0,0.344,104.0,99.0,2.0,2.0,0.0,1.0,3.0,*6/D,
11.0,Bobby Witt Jr.,25.0,KCR,AL,2.7,57.0,249.0,221.0,29.0,64.0,21.0,3.0,5.0,30.0,20.0,5.0,20.0,45.0,0.29,0.349,0.48,0.829,132.0,0.372,134.0,106.0,1.0,3.0,0.0,5.0,5.0,*6/D,
