Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.3,58.0,273.0,252.0,31.0,69.0,13.0,6.0,4.0,34.0,13.0,5.0,16.0,61.0,0.274,0.322,0.421,0.743,107.0,0.338,112.0,106.0,2.0,3.0,0.0,2.0,0.0,*7/89,
2.0,Rafael Devers*,28.0,BOS,AL,2.3,59.0,269.0,220.0,36.0,64.0,15.0,0.0,12.0,52.0,1.0,1.0,46.0,61.0,0.291,0.413,0.523,0.935,161.0,0.407,166.0,115.0,4.0,1.0,0.0,2.0,4.0,*D,
3.0,Kyle Tucker*,28.0,CHC,NL,2.3,57.0,262.0,220.0,42.0,61.0,9.0,4.0,12.0,39.0,15.0,0.0,40.0,31.0,0.277,0.385,0.518,0.904,158.0,0.403,156.0,114.0,5.0,0.0,0.0,2.0,6.0,*9/D,
4.0,Corbin Carroll*,24.0,ARI,NL,2.2,57.0,261.0,236.0,44.0,61.0,11.0,6.0,16.0,35.0,10.0,3.0,20.0,66.0,0.258,0.33,0.559,0.889,142.0,0.384,140.0,132.0,2.0,5.0,0.0,0.0,1.0,*9/H,
5.0,Bo Bichette,27.0,TOR,AL,1.1,57.0,259.0,240.0,25.0,67.0,17.0,0.0,6.0,31.0,4.0,2.0,16.0,41.0,0.279,0.328,0.425,0.753,111.0,0.336,114.0,102.0,5.0,2.0,0.0,1.0,1.0,*6/DH,
6.0,Francisco Lindor#,31.0,NYM,NL,1.7,56.0,259.0,227.0,35.0,63.0,10.0,0.0,12.0,33.0,10.0,2.0,20.0,45.0,0.278,0.347,0.48,0.828,136.0,0.364,134.0,109.0,4.0,7.0,0.0,5.0,2.0,*6,
7.0,Shohei Ohtani*,30.0,LAD,NL,3.0,55.0,259.0,221.0,61.0,65.0,9.0,4.0,22.0,37.0,11.0,4.0,37.0,63.0,0.294,0.394,0.67,1.064,197.0,0.44,190.0,148.0,2.0,0.0,0.0,1.0,7.0,*D,
8.0,Jackson Chourio,21.0,MIL,NL,0.3,57.0,257.0,246.0,33.0,60.0,17.0,1.0,8.0,29.0,10.0,3.0,9.0,55.0,0.244,0.272,0.419,0.691,91.0,0.314,93.0,103.0,6.0,1.0,0.0,1.0,0.0,*879/D,
9.0,Lars Nootbaar*,27.0,STL,NL,1.7,55.0,255.0,218.0,35.0,55.0,12.0,0.0,8.0,28.0,4.0,2.0,33.0,48.0,0.252,0.353,0.417,0.77,115.0,0.344,116.0,91.0,3.0,2.0,0.0,2.0,2.0,*79/D8H,
10.0,Bobby Witt Jr.,25.0,KCR,AL,2.8,58.0,254.0,226.0,30.0,65.0,21.0,3.0,6.0,31.0,20.0,5.0,20.0,45.0,0.288,0.346,0.487,0.833,132.0,0.373,134.0,110.0,1.0,3.0,0.0,5.0,5.0,*6/D,
11.0,Elly De La Cruz#,23.0,CIN,NL,1.4,58.0,253.0,227.0,43.0,58.0,10.0,0.0,11.0,40.0,17.0,5.0,23.0,71.0,0.256,0.328,0.445,0.773,108.0,0.343,104.0,101.0,2.0,2.0,0.0,1.0,3.0,*6/D,
12.0,Aaron Judge,33.0,NYY,AL,4.3,56.0,253.0,212.0,52.0,83.0,15.0,2.0,19.0,48.0,4.0,2.0,38.0,55.0,0.392,0.486,0.75,1.236,245.0,0.512,252.0,159.0,6.0,2.0,0.0,1.0,12.0,*9D,
13.0,Brent Rooker,30.0,ATH,AL,0.9,58.0,253.0,231.0,34.0,59.0,11.0,1.0,12.0,29.0,2.0,1.0,20.0,59.0,0.255,0.32,0.468,0.788,120.0,0.349,124.0,108.0,6.0,2.0,0.0,0.0,0.0,*D/97H,
14.0,Kyle Schwarber*,32.0,PHI,NL,2.3,57.0,253.0,206.0,43.0,53.0,7.0,1.0,19.0,42.0,4.0,1.0,43.0,59.0,0.257,0.395,0.578,0.973,168.0,0.42,169.0,119.0,1.0,4.0,0.0,0.0,2.0,*D/7,
15.0,Vladimir Guerrero Jr.,26.0,TOR,AL,1.5,57.0,252.0,211.0,33.0,59.0,8.0,0.0,8.0,26.0,0.0,1.0,37.0,39.0,0.28,0.389,0.431,0.82,132.0,0.357,130.0,91.0,3.0,2.0,0.0,2.0,4.0,*3/DH,
16.0,James Wood*,22.0,WSN,NL,2.5,57.0,252.0,216.0,37.0,62.0,15.0,0.0,16.0,43.0,9.0,3.0,34.0,68.0,0.287,0.385,0.579,0.964,171.0,0.413,169.0,125.0,4.0,1.0,0.0,1.0,2.0,*7D,
17.0,Juan Soto*,26.0,NYM,NL,1.4,56.0,251.0,205.0,34.0,47.0,11.0,0.0,8.0,26.0,7.0,0.0,42.0,42.0,0.229,0.355,0.4,0.755,117.0,0.352,124.0,82.0,11.0,0.0,0.0,4.0,3.0,*9/D,
18.0,Pete Alonso,30.0,NYM,NL,1.8,57.0,250.0,211.0,31.0,61.0,18.0,1.0,11.0,43.0,0.0,2.0,30.0,53.0,0.289,0.388,0.54,0.928,164.0,0.393,161.0,114.0,9.0,6.0,0.0,3.0,2.0,*3,
19.0,Julio RodrÃ­guez,24.0,SEA,AL,2.1,55.0,250.0,226.0,37.0,54.0,6.0,2.0,10.0,32.0,7.0,2.0,19.0,45.0,0.239,0.312,0.416,0.728,113.0,0.328,117.0,94.0,6.0,5.0,0.0,0.0,1.0,*8/H,
