Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
1.0,Jarren Duran*,28.0,BOS,AL,1.3,63.0,297.0,274.0,34.0,75.0,17.0,6.0,4.0,35.0,13.0,5.0,18.0,64.0,0.274,0.323,0.423,0.747,107.0,0.338,111.0,116.0,3.0,3.0,0.0,2.0,0.0,*7/89,
2.0,Rafael Devers*,28.0,BOS,AL,2.3,64.0,292.0,239.0,39.0,68.0,17.0,0.0,12.0,54.0,1.0,1.0,50.0,66.0,0.285,0.408,0.506,0.914,154.0,0.397,158.0,121.0,4.0,1.0,0.0,2.0,5.0,*D,
3.0,Shohei Ohtani*,30.0,LAD,NL,3.0,61.0,285.0,244.0,65.0,72.0,9.0,4.0,23.0,39.0,11.0,4.0,39.0,73.0,0.295,0.389,0.648,1.037,191.0,0.43,184.0,158.0,2.0,0.0,0.0,2.0,8.0,*D,
4.0,Francisco Lindor#,31.0,NYM,NL,2.2,61.0,283.0,247.0,42.0,69.0,10.0,0.0,14.0,36.0,11.0,2.0,23.0,49.0,0.279,0.353,0.49,0.843,141.0,0.372,140.0,121.0,4.0,8.0,0.0,5.0,2.0,*6,
5.0,Bo Bichette,27.0,TOR,AL,1.0,62.0,281.0,262.0,27.0,73.0,17.0,1.0,8.0,35.0,4.0,2.0,16.0,44.0,0.279,0.324,0.443,0.767,114.0,0.339,116.0,116.0,6.0,2.0,0.0,1.0,1.0,*6/DH,
6.0,Corbin Carroll*,24.0,ARI,NL,2.4,62.0,281.0,251.0,49.0,65.0,12.0,6.0,18.0,39.0,10.0,4.0,24.0,67.0,0.259,0.338,0.57,0.908,149.0,0.389,148.0,143.0,2.0,6.0,0.0,0.0,1.0,*9/H,
7.0,Brent Rooker,30.0,ATH,AL,1.3,64.0,281.0,254.0,40.0,69.0,12.0,1.0,13.0,36.0,2.0,1.0,25.0,63.0,0.272,0.342,0.48,0.822,130.0,0.363,134.0,122.0,6.0,2.0,0.0,0.0,0.0,*D/97H,
8.0,Jackson Chourio,21.0,MIL,NL,0.8,62.0,280.0,269.0,39.0,70.0,18.0,1.0,10.0,37.0,12.0,4.0,9.0,58.0,0.26,0.286,0.446,0.732,103.0,0.329,106.0,120.0,6.0,1.0,0.0,1.0,0.0,*879/D,
9.0,Lars Nootbaar*,27.0,STL,NL,1.6,60.0,278.0,236.0,38.0,59.0,12.0,0.0,8.0,28.0,4.0,3.0,37.0,53.0,0.25,0.356,0.403,0.759,114.0,0.339,115.0,95.0,3.0,3.0,0.0,2.0,2.0,*79/8DH,
10.0,Juan Soto*,26.0,NYM,NL,2.0,62.0,278.0,223.0,40.0,51.0,12.0,0.0,11.0,31.0,7.0,0.0,50.0,44.0,0.229,0.367,0.43,0.797,130.0,0.365,135.0,96.0,13.0,1.0,0.0,4.0,5.0,*9/D,
