Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2017-08-21,ATL,SEA,5,6,-123,113,106,-115,10.0,10.0,9.5,9.5,-105,-115,-113,102
2017-08-21,LAA,TEX,3,5,-126,116,-154,142,9.0,9.0,8.5,8.5,100,-120,-102,-108
2017-08-21,CHW,MIN,7,6,127,-137,110,-119,10.5,10.5,10.0,10.0,100,-120,-106,-104
2017-08-21,PIT,LAD,5,6,153,-163,115,-124,8.5,8.5,8.0,8.0,-110,-110,-105,-105
2017-08-21,SF,MIL,2,0,120,-130,108,-117,8.5,8.5,8.5,8.5,-110,-110,-106,-104
2017-08-21,NYM,ARI,2,3,110,-120,115,-124,9.5,9.5,9.0,9.0,-105,-115,100,-110
2017-08-21,CLE,BOS,5,4,-130,120,-111,103,9.5,9.5,9.0,9.0,-110,-110,111,-123
2017-08-21,BAL,OAK,7,3,-168,158,-178,164,10.5,10.5,11.0,11.0,-110,-110,-102,-108
