Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2023-05-09,CLE,DET,2,0,-225,180,-200,165,7.5,7.5,7.5,7.5,-115,-105,-105,-115
2023-05-09,BAL,TB,4,2,105,-125,110,-130,9.0,9.0,8.0,8.0,100,-120,-110,-110
2023-05-09,PIT,COL,1,10,-165,140,-175,145,8.5,8.5,8.5,8.5,-120,100,-120,100
2023-05-09,CIN,NYM,7,6,170,-210,140,-165,9.5,9.5,11.0,11.0,100,-120,-105,-115
2023-05-09,PHI,TOR,8,4,-135,110,-135,110,8.5,8.5,9.0,9.0,-115,-105,-105,-115
2023-05-09,NYY,OAK,10,5,-225,180,-275,220,9.0,9.0,9.0,9.0,-110,-110,100,-120
2023-05-09,ATL,BOS,9,3,-185,150,-185,150,9.0,9.0,9.5,9.5,-120,100,-115,-105
2023-05-09,MIN,SD,1,6,-110,-110,-115,-105,9.0,9.0,9.0,9.0,-115,-105,-120,100
2023-05-09,MIL,LAD,2,6,-105,-115,100,-120,9.0,9.0,9.5,9.5,-120,100,-110,-110
2023-05-09,CHC,STL,4,6,-130,105,-120,100,8.0,8.0,7.5,7.5,-105,-115,-120,100
2023-05-09,KC,CHW,2,4,125,-155,125,-150,9.0,9.0,9.0,9.0,-115,-105,-105,-115
2023-05-09,LAA,HOU,1,3,-140,115,-140,115,7.5,7.5,7.5,7.5,-110,-110,-120,100
2023-05-09,SEA,TEX,5,0,-160,135,-160,135,7.5,7.5,7.5,7.5,-120,100,-105,-115
2023-05-09,ARI,MIA,2,6,-120,100,-115,-105,9.0,9.0,9.0,9.0,-115,-105,-120,100
2023-05-09,SF,WAS,4,1,-250,190,-225,180,8.0,8.0,8.5,8.5,-115,-105,-115,-105
