Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,New York Mets,45,24,0.652,W 6,4.6,3.2,1.4,-0.2,1.1,45-24,0.0,12-4,9-4,13-6,11-10,27-7,18-17,4-3,15-10,35-17,10-7,23-15,22-9,8-2,16-4,20-10
2.0,Detroit Tigers,45,25,0.643,W 1,4.8,3.5,1.3,-0.1,1.2,45-25,0.0,12-3,13-8,7-6,13-8,23-9,22-16,2-4,12-7,31-21,14-4,18-16,27-9,6-4,12-8,19-11
3.0,New York Yankees,42,25,0.627,W 3,5.5,3.9,1.6,0.0,1.6,44-23,-2.0,8-8,10-5,10-2,14-10,21-12,21-13,1-3,12-11,32-19,10-6,20-17,22-8,7-3,14-6,21-9
4.0,Chicago Cubs,42,27,0.609,W 1,5.5,4.0,1.5,-0.1,1.4,44-25,-2.0,9-9,9-4,15-11,9-3,21-11,21-16,3-4,10-5,31-17,11-10,22-22,20-5,5-5,13-7,20-10
5.0,Los Angeles Dodgers,41,28,0.594,W 1,5.5,4.5,1.0,0.0,1.0,41-28,0.0,15-10,6-7,9-4,11-7,23-11,18-17,6-3,11-9,32-17,9-11,21-18,20-10,5-5,11-9,15-15
6.0,San Francisco Giants,40,29,0.58,L 1,4.3,3.6,0.7,-0.2,0.5,40-29,0.0,9-4,8-5,8-8,15-12,22-11,18-18,5-3,17-13,32-17,8-12,18-20,22-9,7-3,11-9,16-14
7.0,Philadelphia Phillies,39,29,0.574,W 1,4.6,4.3,0.3,-0.2,0.1,36-32,3.0,9-9,9-12,13-4,8-4,21-13,18-16,5-4,12-8,30-17,9-12,18-19,21-10,3-7,9-11,17-13
8.0,San Diego Padres,38,29,0.567,L 1,4.2,3.8,0.4,-0.1,0.3,36-31,2.0,8-2,10-5,10-5,10-17,21-12,17-17,3-4,14-9,27-19,11-10,16-20,22-9,5-5,11-9,14-16
9.0,Houston Astros,38,30,0.559,W 2,4.1,3.6,0.4,0.0,0.5,38-30,0.0,6-4,12-9,10-6,10-11,24-13,14-17,3-0,11-7,33-28,5-2,20-17,18-13,7-3,13-7,19-11
10.0,Toronto Blue Jays,38,30,0.559,W 3,4.4,4.3,0.1,0.0,0.1,34-34,4.0,10-12,4-5,11-8,13-5,22-13,16-17,5-2,11-8,29-24,9-6,14-19,24-11,8-2,14-6,20-10
11.0,Minnesota Twins,36,32,0.529,L 1,4.3,4.0,0.2,-0.1,0.1,36-32,0.0,10-5,10-12,9-7,7-8,20-12,16-20,3-4,7-10,31-27,5-5,13-17,23-15,5-5,9-11,18-12
12.0,Tampa Bay Rays,36,32,0.529,L 2,4.4,3.7,0.7,0.0,0.7,39-29,-3.0,10-9,2-4,8-8,16-11,23-20,13-12,4-2,12-12,26-22,10-10,21-14,15-18,6-4,14-6,19-11
13.0,Milwaukee Brewers,37,33,0.529,W 1,4.4,4.0,0.3,0.0,0.4,37-33,0.0,4-2,10-8,5-8,18-15,21-14,16-19,3-2,10-9,24-24,13-9,21-24,16-9,5-5,13-7,18-12
14.0,Cleveland Guardians,35,32,0.522,W 1,4.0,4.2,-0.2,0.1,-0.1,32-35,3.0,7-8,14-5,4-5,10-14,19-15,16-17,4-1,8-6,30-19,5-13,18-22,17-10,4-6,10-10,13-17
15.0,St. Louis Cardinals,36,33,0.522,L 5,4.6,4.3,0.2,0.1,0.4,36-33,0.0,10-9,8-6,5-1,13-17,22-14,14-19,1-5,12-10,24-21,12-12,21-18,15-15,3-7,9-11,16-14
16.0,Cincinnati Reds,35,34,0.507,L 1,4.5,4.0,0.5,-0.1,0.4,38-31,-3.0,3-7,10-13,9-3,13-11,18-16,17-18,1-5,7-10,27-20,8-14,18-17,17-17,6-4,10-10,16-14
17.0,Arizona Diamondbacks,34,34,0.5,W 3,5.1,5.1,-0.1,0.2,0.1,34-34,0.0,13-11,6-13,7-6,8-4,18-17,16-17,3-5,10-12,25-24,9-10,17-24,17-10,7-3,8-12,14-16
18.0,Kansas City Royals,34,35,0.493,L 3,3.3,3.7,-0.3,0.1,-0.2,32-37,2.0,8-10,13-14,3-3,10-8,19-16,15-19,4-3,12-10,27-30,7-5,21-29,13-6,3-7,7-13,11-19
19.0,Los Angeles Angels,33,34,0.493,W 3,4.3,5.0,-0.7,-0.1,-0.8,29-38,4.0,7-8,6-10,10-8,10-8,15-16,18-18,4-0,13-5,29-28,4-6,17-20,16-14,7-3,11-9,18-12
20.0,Seattle Mariners,33,34,0.493,L 3,4.3,4.6,-0.2,-0.2,-0.4,32-35,1.0,5-10,5-4,15-10,8-10,16-17,17-17,4-6,13-10,22-25,11-9,14-20,19-14,2-8,6-14,11-19
21.0,Boston Red Sox,34,36,0.486,W 2,4.9,4.7,0.3,0.0,0.3,37-33,-3.0,12-11,9-10,5-8,8-7,19-17,15-19,4-8,7-17,27-27,7-9,16-18,18-18,6-4,9-11,14-16
22.0,Texas Rangers,33,36,0.478,W 1,3.7,3.4,0.3,0.0,0.3,37-32,-4.0,8-11,5-4,8-12,12-9,20-13,13-23,0-0,9-13,27-26,6-10,17-20,16-16,5-5,8-12,15-15
23.0,Washington Nationals,30,38,0.441,L 5,4.1,5.0,-0.9,0.0,-0.9,28-40,2.0,8-14,4-9,9-6,9-9,15-18,15-20,2-2,11-9,22-27,8-11,15-25,15-13,2-8,9-11,13-17
24.0,Atlanta Braves,29,38,0.433,W 1,4.1,3.9,0.1,0.0,0.2,35-32,-6.0,7-7,8-5,6-19,8-7,17-14,12-24,5-2,9-19,23-31,6-7,19-28,10-10,2-8,5-15,11-19
