team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,82,60,.577,-,66,-,5-5
New York Yankees,Unknown,79,63,.556,3.0,139,+5.0,7-3
Boston Red Sox,Unknown,78,65,.545,4.5,92,+3.5,5-5
Tampa Bay Rays,Unknown,71,71,.500,11.0,56,3.0,7-3
Baltimore Orioles,Unknown,66,76,.465,16.0,-79,8.0,6-4
Detroit Tigers,Unknown,82,61,.573,-,89,-,4-6
Kansas City Royals,Unknown,73,69,.514,8.5,3,1.0,6-4
Cleveland Guardians,Unknown,71,70,.504,10.0,-49,2.5,6-4
Minnesota Twins,Unknown,62,80,.437,19.5,-87,12.0,2-8
Chicago White Sox,Unknown,54,89,.378,28.0,-82,20.5,6-4
Houston Astros,Unknown,78,65,.545,-,21,-,5-5
Seattle Mariners,Unknown,74,68,.521,3.5,16,-,3-7
Texas Rangers,Unknown,73,70,.510,5.0,80,1.5,7-3
Los Angeles Angels,Unknown,66,76,.465,11.5,-121,8.0,4-6
Athletics,Unknown,66,77,.462,12.0,-69,8.5,5-5
Philadelphia Phillies,Unknown,83,59,.585,-,108,-,7-3
New York Mets,Unknown,76,66,.535,7.0,67,-,5-5
Miami Marlins,Unknown,65,77,.458,18.0,-101,11.0,3-7
Atlanta Braves,Unknown,64,78,.451,19.0,-20,12.0,4-6
Washington Nationals,Unknown,57,84,.404,25.5,-175,18.5,4-6
Milwaukee Brewers,Unknown,88,55,.615,-,168,-,5-5
Chicago Cubs,Unknown,81,61,.570,6.5,120,+5.0,5-5
Cincinnati Reds,Unknown,71,71,.500,16.5,29,5.0,3-7
St. Louis Cardinals,Unknown,71,72,.497,17.0,-41,5.5,6-4
Pittsburgh Pirates,Unknown,64,79,.448,24.0,-61,12.5,6-4
Los Angeles Dodgers,Unknown,78,64,.549,-,92,-,3-7
San Diego Padres,Unknown,77,65,.542,1.0,47,+1.0,3-7
San Francisco Giants,Unknown,72,70,.507,6.0,27,4.0,8-2
Arizona Diamondbacks,Unknown,72,71,.503,6.5,28,4.5,8-2
Colorado Rockies,Unknown,40,102,.282,38.0,-363,36.0,2-8
