team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,81,59,.579,-,62,-,5-5
New York Yankees,Unknown,77,62,.554,3.5,139,+4.5,8-2
Boston Red Sox,Unknown,78,63,.553,3.5,101,+4.5,7-3
Tampa Bay Rays,Unknown,70,69,.504,10.5,61,2.5,8-2
Baltimore Orioles,Unknown,64,76,.457,17.0,-81,9.0,4-6
Detroit Tigers,Unknown,81,60,.574,-,85,-,3-7
Kansas City Royals,Unknown,70,69,.504,10.0,-8,2.5,4-6
Cleveland Guardians,Unknown,69,69,.500,10.5,-54,3.0,5-5
Minnesota Twins,Unknown,62,77,.446,18.0,-74,10.5,3-7
Chicago White Sox,Unknown,52,88,.371,28.5,-81,21.0,5-5
Houston Astros,Unknown,77,63,.550,-,15,-,5-5
Seattle Mariners,Unknown,73,67,.521,4.0,11,-,4-6
Texas Rangers,Unknown,72,69,.511,5.5,90,1.5,7-3
Los Angeles Angels,Unknown,66,73,.475,10.5,-101,6.5,5-5
Athletics,Unknown,64,77,.454,13.5,-88,9.5,4-6
Philadelphia Phillies,Unknown,80,59,.576,-,98,-,5-5
New York Mets,Unknown,75,65,.536,5.5,69,-,6-4
Miami Marlins,Unknown,65,75,.464,15.5,-93,10.0,4-6
Atlanta Braves,Unknown,63,77,.450,17.5,-15,12.0,4-6
Washington Nationals,Unknown,56,83,.403,24.0,-170,18.5,3-7
Milwaukee Brewers,Unknown,86,54,.614,-,164,-,5-5
Chicago Cubs,Unknown,80,60,.571,6.0,115,+5.0,5-5
Cincinnati Reds,Unknown,70,70,.500,16.0,27,5.0,3-7
St. Louis Cardinals,Unknown,70,71,.496,16.5,-36,5.5,6-4
Pittsburgh Pirates,Unknown,63,77,.450,23.0,-57,12.0,7-3
Los Angeles Dodgers,Unknown,78,61,.561,-,96,-,5-5
San Diego Padres,Unknown,76,64,.543,2.5,48,+1.0,2-8
San Francisco Giants,Unknown,71,69,.507,7.5,22,4.0,9-1
Arizona Diamondbacks,Unknown,70,71,.496,9.0,19,5.5,6-4
Colorado Rockies,Unknown,39,101,.279,39.5,-364,36.0,2-8
