team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,93,68,.578,-,68,-,4-6
New York Yankees,Unknown,93,68,.578,-,163,+6.0,9-1
Boston Red Sox,Unknown,88,73,.547,5.0,109,+1.0,6-4
Tampa Bay Rays,Unknown,77,84,.478,16.0,40,10.0,4-6
Baltimore Orioles,Unknown,75,86,.466,18.0,-110,12.0,4-6
Cleveland Guardians,Unknown,87,74,.540,-,-7,-,7-3
Detroit Tigers,Unknown,87,74,.540,-,68,-,2-8
Kansas City Royals,Unknown,81,80,.503,6.0,7,6.0,6-4
Minnesota Twins,Unknown,70,91,.435,17.0,-94,17.0,4-6
Chicago White Sox,Unknown,59,102,.366,28.0,-103,28.0,2-8
Seattle Mariners,Unknown,90,71,.559,-,77,-,7-3
Houston Astros,Unknown,86,75,.534,4.0,17,1.0,4-6
Texas Rangers,Unknown,81,80,.503,9.0,80,6.0,2-8
Athletics,Unknown,76,85,.472,14.0,-77,11.0,5-5
Los Angeles Angels,Unknown,72,89,.447,18.0,-160,15.0,3-7
Philadelphia Phillies,Unknown,95,66,.590,-,129,-,5-5
New York Mets,Unknown,83,78,.516,12.0,55,-,5-5
Miami Marlins,Unknown,78,83,.484,17.0,-93,5.0,7-3
Atlanta Braves,Unknown,75,86,.466,20.0,-13,8.0,7-3
Washington Nationals,Unknown,66,95,.410,29.0,-204,17.0,4-6
Milwaukee Brewers,Unknown,96,65,.596,-,170,-,4-6
Chicago Cubs,Unknown,91,70,.565,5.0,142,+8.0,4-6
Cincinnati Reds,Unknown,83,78,.516,13.0,37,-,8-2
St. Louis Cardinals,Unknown,78,83,.484,18.0,-63,5.0,5-5
Pittsburgh Pirates,Unknown,71,90,.441,25.0,-59,12.0,6-4
Los Angeles Dodgers,Unknown,92,69,.571,-,137,-,8-2
San Diego Padres,Unknown,89,72,.553,3.0,73,+6.0,7-3
Arizona Diamondbacks,Unknown,80,81,.497,12.0,14,3.0,4-6
San Francisco Giants,Unknown,80,81,.497,12.0,17,3.0,5-5
Colorado Rockies,Unknown,43,118,.267,49.0,-420,40.0,2-8
