Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,46,25,0.648,W 2,4.9,3.5,1.3,-0.1,1.2,46-25,0.0,12-3,13-8,7-6,14-8,24-9,22-16,2-4,12-7,32-21,14-4,21-17,25-8,6-4,13-7,20-10
2.0,New York Mets,45,25,0.643,L 1,4.6,3.3,1.3,-0.2,1.1,46-24,-1.0,12-4,9-4,13-6,11-11,27-8,18-17,4-3,15-10,35-18,10-7,23-16,22-9,7-3,15-5,20-10
3.0,New York Yankees,42,26,0.618,L 1,5.4,3.8,1.6,0.0,1.5,44-24,-2.0,8-9,10-5,10-2,14-10,21-12,21-14,1-4,12-12,32-19,10-7,22-18,20-8,6-4,13-7,20-10
4.0,Chicago Cubs,42,28,0.6,L 1,5.4,4.0,1.5,-0.1,1.4,45-25,-3.0,9-9,9-5,15-11,9-3,21-12,21-16,3-5,10-6,31-18,11-10,22-22,20-6,4-6,12-8,19-11
5.0,San Francisco Giants,41,29,0.586,W 1,4.3,3.5,0.7,-0.2,0.6,41-29,0.0,9-4,8-5,9-8,15-12,22-11,19-18,5-3,17-13,33-17,8-12,22-20,19-9,8-2,12-8,17-13
6.0,Los Angeles Dodgers,41,29,0.586,L 1,5.5,4.6,0.9,0.1,1.0,41-29,0.0,15-10,6-7,9-5,11-7,23-12,18-17,6-3,11-9,32-18,9-11,21-19,20-10,5-5,10-10,15-15
7.0,Philadelphia Phillies,40,29,0.58,W 2,4.6,4.3,0.4,-0.2,0.2,37-32,3.0,9-9,9-12,13-4,9-4,22-13,18-16,5-4,12-8,31-17,9-12,19-19,21-10,4-6,9-11,17-13
8.0,Houston Astros,39,30,0.565,W 3,4.2,3.6,0.5,0.0,0.6,39-30,0.0,6-4,13-9,10-6,10-11,25-13,14-17,3-0,11-7,34-28,5-2,25-20,14-10,7-3,14-6,19-11
9.0,San Diego Padres,38,30,0.559,L 2,4.1,3.8,0.3,0.0,0.3,36-32,2.0,8-2,10-5,10-6,10-17,21-12,17-18,3-4,14-9,27-20,11-10,16-24,22-6,4-6,11-9,13-17
10.0,Toronto Blue Jays,38,31,0.551,L 1,4.3,4.3,-0.1,0.0,0.0,34-35,4.0,10-12,4-5,11-8,13-6,22-13,16-18,5-2,11-8,29-24,9-7,18-22,20-9,7-3,13-7,19-11
11.0,Tampa Bay Rays,37,32,0.536,W 1,4.5,3.8,0.7,0.0,0.7,40-29,-3.0,10-9,2-4,8-8,17-11,23-20,14-12,4-2,12-12,27-22,10-10,22-14,15-18,7-3,14-6,19-11
12.0,Milwaukee Brewers,38,33,0.535,W 2,4.3,4.0,0.3,0.0,0.4,38-33,0.0,4-2,11-8,5-8,18-15,22-14,16-19,3-2,11-9,25-24,13-9,22-24,16-9,5-5,13-7,18-12
13.0,Minnesota Twins,36,33,0.522,L 2,4.2,4.1,0.1,-0.1,0.0,35-34,1.0,10-5,10-12,9-8,7-8,20-12,16-21,3-4,7-10,31-27,5-6,14-20,22-13,4-6,9-11,17-13
14.0,Cleveland Guardians,35,33,0.515,L 1,3.9,4.2,-0.3,0.1,-0.2,32-36,3.0,7-8,14-5,4-6,10-14,19-15,16-18,4-1,8-6,30-20,5-13,18-23,17-10,3-7,9-11,12-18
15.0,St. Louis Cardinals,36,34,0.514,L 6,4.5,4.3,0.2,0.1,0.4,37-33,-1.0,10-9,8-7,5-1,13-17,22-14,14-20,1-5,12-11,24-22,12-12,21-19,15-15,3-7,9-11,15-15
16.0,Arizona Diamondbacks,35,34,0.507,W 4,5.1,5.1,0.0,0.2,0.2,35-34,0.0,13-11,6-13,8-6,8-4,19-17,16-17,3-5,10-12,26-24,9-10,21-24,14-10,7-3,9-11,15-15
17.0,Seattle Mariners,34,34,0.5,W 1,4.4,4.5,-0.1,-0.2,-0.3,33-35,1.0,5-10,6-4,15-10,8-10,17-17,17-17,4-6,13-10,23-25,11-9,15-20,19-14,2-8,6-14,12-18
18.0,Cincinnati Reds,35,35,0.5,L 2,4.5,4.1,0.4,-0.1,0.3,38-32,-3.0,3-7,10-13,9-3,13-12,18-16,17-19,1-5,7-10,27-20,8-15,19-20,16-15,6-4,10-10,16-14
19.0,Boston Red Sox,35,36,0.493,W 3,4.9,4.6,0.3,0.1,0.3,37-34,-2.0,13-11,9-10,5-8,8-7,20-17,15-19,5-8,8-17,27-27,8-9,18-20,17-16,6-4,10-10,14-16
20.0,Texas Rangers,34,36,0.486,W 2,3.7,3.3,0.4,0.0,0.3,38-32,-4.0,8-11,6-4,8-12,12-9,21-13,13-23,0-0,9-13,28-26,6-10,18-25,16-11,5-5,9-11,15-15
21.0,Kansas City Royals,34,36,0.486,L 4,3.4,3.7,-0.3,0.1,-0.2,32-38,2.0,8-10,13-14,3-4,10-8,19-17,15-19,4-3,12-10,27-31,7-5,21-29,13-7,3-7,7-13,10-20
22.0,Los Angeles Angels,33,35,0.485,L 1,4.2,5.0,-0.8,-0.1,-0.9,29-39,4.0,7-9,6-10,10-8,10-8,15-16,18-19,4-0,13-5,29-29,4-6,19-23,14-12,7-3,10-10,17-13
23.0,Atlanta Braves,30,38,0.441,W 2,4.2,3.9,0.3,0.0,0.3,36-32,-6.0,7-7,8-5,7-19,8-7,18-14,12-24,5-2,9-19,24-31,6-7,19-28,11-10,3-7,6-14,12-18
24.0,Washington Nationals,30,39,0.435,L 6,4.2,5.1,-0.9,0.0,-0.9,29-40,1.0,8-15,4-9,9-6,9-9,15-19,15-20,2-2,11-9,22-28,8-11,17-26,13-13,2-8,8-12,13-17
