team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
New York Yankees,Unknown,47,35,.573,-,106,-,5-5
Tampa Bay Rays,Unknown,47,36,.566,0.5,75,+4.5,7-3
Toronto Blue Jays,Unknown,44,38,.537,3.0,-6,+2.0,5-5
Boston Red Sox,Unknown,41,43,.488,7.0,12,2.0,3-7
Baltimore Orioles,Unknown,35,47,.427,12.0,-81,7.0,4-6
Detroit Tigers,Unknown,52,32,.619,-,96,-,5-5
Cleveland Guardians,Unknown,40,41,.494,10.5,-40,1.5,4-6
Minnesota Twins,Unknown,40,43,.482,11.5,-11,2.5,4-6
Kansas City Royals,Unknown,39,44,.470,12.5,-29,3.5,4-6
Chicago White Sox,Unknown,27,56,.325,24.5,-83,15.5,4-6
Houston Astros,Unknown,49,34,.590,-,44,-,7-3
Seattle Mariners,Unknown,42,40,.512,6.5,11,-,5-5
Los Angeles Angels,Unknown,41,41,.500,7.5,-46,1.0,6-4
Texas Rangers,Unknown,41,42,.494,8.0,18,1.5,5-5
Athletics,Unknown,34,51,.400,16.0,-135,9.5,4-6
Philadelphia Phillies,Unknown,48,35,.578,-,45,-,5-5
New York Mets,Unknown,48,36,.571,0.5,50,+2.0,3-7
Atlanta Braves,Unknown,38,44,.463,9.5,13,7.0,5-5
Miami Marlins,Unknown,36,45,.444,11.0,-76,8.5,7-3
Washington Nationals,Unknown,34,49,.410,14.0,-71,11.5,4-6
Chicago Cubs,Unknown,49,34,.590,-,106,-,4-6
Milwaukee Brewers,Unknown,47,36,.566,2.0,57,+1.5,8-2
St. Louis Cardinals,Unknown,46,38,.548,3.5,38,-,7-3
Cincinnati Reds,Unknown,43,40,.518,6.0,39,2.5,5-5
Pittsburgh Pirates,Unknown,34,50,.405,15.5,-53,12.0,5-5
Los Angeles Dodgers,Unknown,52,32,.619,-,86,-,7-3
San Diego Padres,Unknown,45,37,.549,6.0,18,-,6-4
San Francisco Giants,Unknown,45,38,.542,6.5,35,0.5,4-6
Arizona Diamondbacks,Unknown,41,41,.500,10.0,4,4.0,5-5
Colorado Rockies,Unknown,18,65,.217,33.5,-222,27.5,2-8
