team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,66,48,.579,-,30,-,4-6
Boston Red Sox,Unknown,63,51,.553,3.0,81,+2.5,8-2
New York Yankees,Unknown,60,53,.531,5.5,89,-,4-6
Tampa Bay Rays,Unknown,55,59,.482,11.0,42,5.5,2-8
Baltimore Orioles,Unknown,51,62,.451,14.5,-79,9.0,6-4
Detroit Tigers,Unknown,66,48,.579,-,83,-,6-4
Cleveland Guardians,Unknown,57,55,.509,8.0,-27,2.5,6-4
Kansas City Royals,Unknown,56,57,.496,9.5,-14,4.0,6-4
Minnesota Twins,Unknown,52,60,.464,13.0,-37,7.5,3-7
Chicago White Sox,Unknown,42,70,.375,23.0,-63,17.5,6-4
Houston Astros,Unknown,63,50,.558,-,45,-,3-7
Seattle Mariners,Unknown,60,53,.531,3.0,22,-,5-5
Texas Rangers,Unknown,59,55,.518,4.5,69,1.5,5-5
Los Angeles Angels,Unknown,55,58,.487,8.0,-63,5.0,6-4
Athletics,Unknown,49,65,.430,14.5,-120,11.5,7-3
Philadelphia Phillies,Unknown,64,48,.571,-,78,-,6-4
New York Mets,Unknown,63,50,.558,1.5,39,+1.0,4-6
Miami Marlins,Unknown,55,56,.495,8.5,-46,6.0,7-3
Atlanta Braves,Unknown,47,64,.423,16.5,-24,14.0,3-7
Washington Nationals,Unknown,44,67,.396,19.5,-134,17.0,3-7
Milwaukee Brewers,Unknown,68,44,.607,-,121,-,7-3
Chicago Cubs,Unknown,65,47,.580,3.0,114,+3.5,5-5
Cincinnati Reds,Unknown,59,54,.522,9.5,43,3.0,6-4
St. Louis Cardinals,Unknown,57,57,.500,12.0,-12,5.5,4-6
Pittsburgh Pirates,Unknown,49,64,.434,19.5,-50,13.0,7-3
Los Angeles Dodgers,Unknown,65,48,.575,-,70,-,5-5
San Diego Padres,Unknown,62,51,.549,3.0,32,-,7-3
San Francisco Giants,Unknown,56,57,.496,9.0,7,6.0,2-8
Arizona Diamondbacks,Unknown,54,59,.478,11.0,-5,8.0,4-6
Colorado Rockies,Unknown,30,82,.268,34.5,-291,31.5,4-6
